date	rating
29-May-1904	1512
5-Jun-1904	1497
29-Jun-1904	1485
23-Jul-1904	1463
31-Jul-1904	1454
7-Aug-1904	1449
21-Aug-1904	1430
18-Sep-1904	1405
25-Sep-1904	1392
14-Oct-1904	1380
7-May-1905	1382
21-May-1905	1379
22-Jun-1905	1361
29-Jun-1905	1358
9-Jul-1905	1350
23-Jul-1905	1343
13-Aug-1905	1373
27-Aug-1905	1368
10-Sep-1905	1351
23-Sep-1905	1338
6-May-1906	1354
27-May-1906	1349
10-Jun-1906	1366
1-Jul-1906	1385
22-Jul-1906	1413
12-Aug-1906	1435
30-Sep-1906	1453
13-May-1909	1468
6-Jun-1909	1470
27-Jun-1909	1484
29-Jun-1909	1496
11-Jul-1909	1507
25-Jul-1909	1496
8-Aug-1909	1498
12-Sep-1909	1491
26-Sep-1909	1518
5-Dec-1909	1531
3-May-1910	1547
29-May-1910	1564
17-Jul-1910	1579
31-Jul-1910	1571
7-Aug-1910	1587
14-Aug-1910	1596
28-Aug-1910	1611
18-Sep-1910	1620
25-Sep-1910	1629
2-Oct-1910	1644
3-May-1911	1653
14-May-1911	1661
28-May-1911	1637
16-Jul-1911	1621
8-Apr-1917	1618
21-Apr-1917	1601
3-May-1917	1608
13-May-1917	1588
27-May-1917	1597
10-Jun-1917	1610
1-Jul-1917	1625
8-Jul-1917	1610
22-Jul-1917	1615
5-Aug-1917	1610
12-Aug-1917	1618
2-Sep-1917	1595
16-Sep-1917	1595
4-Nov-1917	1602
11-Nov-1917	1588
18-Nov-1917	1576
14-Apr-1918	1585
12-May-1918	1593
26-May-1918	1609
9-Jun-1918	1616
19-Jun-1918	1614
14-Jul-1918	1623
11-Aug-1918	1630
18-Aug-1918	1623
7-Sep-1918	1627
22-Sep-1918	1634
6-Oct-1918	1643
15-Dec-1918	1627
22-Dec-1918	1631
5-Jan-1919	1626
12-Jan-1919	1611
19-Jan-1919	1595
27-Apr-1919	1602
4-May-1919	1587
1-Jun-1919	1570
29-Jun-1919	1559
20-Jul-1919	1546
10-Aug-1919	1531
24-Aug-1919	1524
31-Aug-1919	1503
7-Sep-1919	1491
12-Oct-1919	1479
19-Oct-1919	1470
26-Oct-1919	1450
16-Nov-1919	1460
30-Nov-1919	1453
7-Dec-1919	1479
21-Apr-1920	1455
9-May-1920	1447
16-May-1920	1439
30-May-1920	1431
27-Jun-1920	1429
11-Jul-1920	1406
18-Jul-1920	1400
1-Aug-1920	1411
15-Aug-1920	1403
29-Aug-1920	1399
12-Sep-1920	1386
19-Sep-1920	1365
17-Oct-1920	1384
24-Oct-1920	1375
15-Nov-1920	1385
21-Nov-1920	1380
5-Dec-1920	1376
24-Apr-1921	1391
8-May-1921	1385
15-May-1921	1387
22-May-1921	1385
5-Jun-1921	1377
19-Jun-1921	1375
26-Jun-1921	1378
3-Jul-1921	1375
24-Jul-1921	1374
31-Jul-1921	1368
28-Aug-1921	1378
11-Sep-1921	1395
18-Sep-1921	1387
2-Oct-1921	1376
9-Oct-1921	1379
16-Oct-1921	1398
1-Nov-1921	1394
15-Nov-1921	1392
20-Nov-1921	1405
11-Dec-1921	1404
18-Dec-1921	1393
24-Dec-1921	1387
23-Apr-1922	1390
7-May-1922	1404
28-May-1922	1401
11-Jun-1922	1416
25-Jun-1922	1408
2-Jul-1922	1401
30-Jul-1922	1415
3-Sep-1922	1413
8-Oct-1922	1426
12-Nov-1922	1425
19-Nov-1922	1433
26-Nov-1922	1427
3-Dec-1922	1435
10-Dec-1922	1447
25-Dec-1922	1442
7-Jan-1923	1441
21-Jan-1923	1462
28-Jan-1923	1479
29-Apr-1923	1490
13-May-1923	1490
20-May-1923	1483
27-May-1923	1499
3-Jun-1923	1496
17-Jun-1923	1507
1-Jul-1923	1485
8-Jul-1923	1483
22-Jul-1923	1490
12-Aug-1923	1488
19-Aug-1923	1495
26-Aug-1923	1479
2-Sep-1923	1460
9-Sep-1923	1450
16-Sep-1923	1432
30-Sep-1923	1429
21-Oct-1923	1414
20-Apr-1924	1398
27-Apr-1924	1404
4-May-1924	1397
13-May-1924	1394
25-May-1924	1383
15-Jun-1924	1408
19-Jun-1924	1402
29-Jun-1924	1416
24-Aug-1924	1411
21-Sep-1924	1429
19-Apr-1925	1421
3-May-1925	1404
13-May-1925	1418
24-May-1925	1429
31-May-1925	1425
14-Jun-1925	1421
21-Jun-1925	1398
