date	rating
5-May-1979	1496
13-May-1979	1493
17-May-1979	1502
20-May-1979	1491
27-May-1979	1481
2-Jun-1979	1464
7-Jun-1979	1452
10-Jun-1979	1448
14-Jun-1979	1443
17-Jun-1979	1439
24-Jun-1979	1449
1-Jul-1979	1450
8-Jul-1979	1440
12-Jul-1979	1438
15-Jul-1979	1426
18-Jul-1979	1420
21-Jul-1979	1409
11-Aug-1979	1407
18-Aug-1979	1407
26-Aug-1979	1393
2-Sep-1979	1382
7-Sep-1979	1366
15-Sep-1979	1354
23-Sep-1979	1346
10-Sep-1980	1344
14-Sep-1980	1355
17-Sep-1980	1359
21-Sep-1980	1355
24-Sep-1980	1353
28-Sep-1980	1350
1-Oct-1980	1343
1-Oct-1980	1349
8-Oct-1980	1345
12-Oct-1980	1340
15-Oct-1980	1333
19-Oct-1980	1320
22-Oct-1980	1322
