date	rating
10-Feb-1998	1521
13-Feb-1998	1501
19-Feb-1998	1523
26-Feb-1998	1517
4-Mar-1998	1534
13-Mar-1998	1525
20-Mar-1998	1536
24-Mar-1998	1561
7-Apr-1998	1552
9-Apr-1998	1562
22-Apr-1998	1571
7-May-1998	1564
29-Sep-1999	1582
5-Oct-1999	1562
7-Oct-1999	1560
27-Oct-1999	1528
9-Nov-1999	1555
16-Nov-1999	1553
16-Feb-2000	1590
1-Mar-2000	1574
14-Mar-2000	1586
5-Apr-2000	1580
12-Apr-2000	1622
19-Apr-2000	1617
2-May-2000	1637
9-May-2000	1656
17-May-2000	1677
25-May-2000	1690
31-May-2000	1668
7-Jun-2000	1697
3-Oct-2001	1708
23-Oct-2001	1683
25-Oct-2001	1673
31-Oct-2001	1684
22-Nov-2001	1695
29-Nov-2001	1701
6-Feb-2002	1711
20-Feb-2002	1722
28-Feb-2002	1734
13-Mar-2002	1731
21-Mar-2002	1737
11-Apr-2002	1742
23-Apr-2002	1749
1-May-2002	1759
7-May-2002	1769
16-May-2002	1778
9-Jul-2002	1756
16-Jul-2002	1758
11-Feb-2004	1771
19-Feb-2004	1761
11-Mar-2004	1777
17-Mar-2004	1791
8-Apr-2004	1801
15-Apr-2004	1767
5-May-2004	1753
11-May-2004	1756
25-Jan-2007	1768
31-Jan-2007	1743
20-Feb-2007	1751
1-Mar-2007	1715
7-Mar-2007	1734
21-Mar-2007	1701
11-Apr-2007	1715
18-Apr-2007	1722
2-May-2007	1738
8-May-2007	1715
16-May-2007	1719
23-May-2007	1707
21-Feb-2008	1717
27-Feb-2008	1698
13-Mar-2008	1710
26-Mar-2008	1687
3-Apr-2008	1701
17-Apr-2008	1670
30-Apr-2008	1655
7-May-2008	1692
15-May-2008	1717
22-May-2008	1702
27-May-2008	1700
3-Jun-2008	1698
16-Feb-2011	1719
24-Feb-2011	1694
2-Mar-2011	1714
23-Mar-2011	1701
6-Apr-2011	1717
20-Apr-2011	1716
