date	rating
7-ago-1971	1500
14-ago-1971	1506
18-ago-1971	1508
25-ago-1971	1505
29-ago-1971	1505
2-set-1971	1513
5-set-1971	1520
9-set-1971	1511
12-set-1971	1497
19-set-1971	1486
26-set-1971	1481
2-out-1971	1475
6-out-1971	1467
9-out-1971	1470
13-out-1971	1495
24-out-1971	1500
27-out-1971	1509
7-nov-1971	1525
13-nov-1971	1516
9-set-1972	1521
13-set-1972	1528
17-set-1972	1532
21-set-1972	1539
24-set-1972	1538
27-set-1972	1553
1-out-1972	1532
4-out-1972	1519
8-out-1972	1499
11-out-1972	1486
15-out-1972	1492
19-out-1972	1498
22-out-1972	1491
25-out-1972	1493
29-out-1972	1496
1-nov-1972	1504
5-nov-1972	1495
8-nov-1972	1483
11-nov-1972	1515
16-nov-1972	1508
19-nov-1972	1505
22-nov-1972	1494
26-nov-1972	1492
29-nov-1972	1498
3-dez-1972	1526
25-ago-1973	1536
29-ago-1973	1554
1-set-1973	1565
6-set-1973	1556
9-set-1973	1548
12-set-1973	1542
16-set-1973	1539
22-set-1973	1540
30-set-1973	1568
3-out-1973	1574
6-out-1973	1575
10-out-1973	1580
14-out-1973	1577
17-out-1973	1565
20-out-1973	1571
25-out-1973	1577
27-out-1973	1586
31-out-1973	1596
4-nov-1973	1595
10-nov-1973	1599
14-nov-1973	1616
17-nov-1973	1615
24-nov-1973	1630
28-nov-1973	1629
2-dez-1973	1630
8-dez-1973	1642
12-dez-1973	1657
15-dez-1973	1668
13-jan-1974	1682
16-jan-1974	1698
20-jan-1974	1711
23-jan-1974	1698
26-jan-1974	1684
30-jan-1974	1696
3-fev-1974	1684
6-fev-1974	1672
10-fev-1974	1669
10-mar-1974	1644
17-mar-1974	1631
20-mar-1974	1643
24-mar-1974	1626
27-mar-1974	1635
30-mar-1974	1636
3-abr-1974	1647
16-abr-1974	1646
24-abr-1974	1629
27-abr-1974	1612
4-mai-1974	1618
8-mai-1974	1603
11-mai-1974	1599
16-mai-1974	1592
18-mai-1974	1597
29-mai-1974	1573
2-jun-1974	1577
8-jun-1974	1590
13-jun-1974	1596
20-ago-1975	1578
31-ago-1975	1572
4-set-1975	1577
6-set-1975	1594
13-set-1975	1594
17-set-1975	1593
21-set-1975	1576
24-set-1975	1582
28-set-1975	1586
5-out-1975	1589
23-out-1975	1599
26-out-1975	1584
2-nov-1975	1570
9-nov-1975	1572
29-ago-1976	1594
1-set-1976	1586
5-set-1976	1576
12-set-1976	1549
18-set-1976	1535
22-set-1976	1541
26-set-1976	1543
29-set-1976	1533
10-out-1976	1506
13-out-1976	1489
21-out-1976	1482
24-out-1976	1495
19-out-1977	1486
30-out-1977	1496
5-nov-1977	1513
9-nov-1977	1517
13-nov-1977	1512
16-nov-1977	1499
20-nov-1977	1493
24-nov-1977	1480
27-nov-1977	1460
1-dez-1977	1482
7-dez-1977	1494
10-dez-1977	1508
14-dez-1977	1487
26-mar-1978	1472
29-mar-1978	1473
2-abr-1978	1464
8-abr-1978	1493
12-abr-1978	1489
15-abr-1978	1485
20-abr-1978	1471
23-abr-1978	1456
26-abr-1978	1439
29-abr-1978	1425
3-mai-1978	1417
9-mai-1978	1414
27-mai-1978	1428
30-mai-1978	1430
4-jun-1978	1433
8-jun-1978	1415
20-jun-1978	1418
22-jun-1978	1404
25-set-1979	1426
30-set-1979	1412
3-out-1979	1427
10-out-1979	1443
17-out-1979	1447
20-out-1979	1472
25-out-1979	1483
27-out-1979	1470
4-nov-1979	1482
8-nov-1979	1496
11-nov-1979	1496
14-nov-1979	1499
18-nov-1979	1489
21-nov-1979	1499
24-nov-1979	1519
28-nov-1979	1518
4-set-1993	1536
12-set-1993	1539
15-set-1993	1556
18-set-1993	1559
22-set-1993	1543
26-set-1993	1532
29-set-1993	1549
6-out-1993	1550
10-out-1993	1528
13-out-1993	1559
16-out-1993	1549
20-out-1993	1551
24-out-1993	1556
27-out-1993	1553
26-jul-1998	1546
2-ago-1998	1545
5-ago-1998	1537
9-ago-1998	1555
12-ago-1998	1578
16-ago-1998	1573
22-ago-1998	1564
25-ago-1998	1557
29-ago-1998	1561
2-set-1998	1575
6-set-1998	1590
13-set-1998	1594
20-set-1998	1583
24-set-1998	1572
27-set-1998	1565
30-set-1998	1556
3-out-1998	1544
10-out-1998	1537
15-out-1998	1546
18-out-1998	1567
24-out-1998	1584
1-nov-1998	1574
12-nov-1998	1582
30-jul-2000	1570
2-ago-2000	1558
16-ago-2000	1548
19-ago-2000	1552
23-ago-2000	1558
2-set-2000	1573
6-set-2000	1602
9-set-2000	1588
14-set-2000	1577
17-set-2000	1589
20-set-2000	1577
23-set-2000	1582
27-set-2000	1575
30-set-2000	1599
4-out-2000	1602
7-out-2000	1609
11-out-2000	1613
18-out-2000	1630
22-out-2000	1617
28-out-2000	1608
4-nov-2000	1624
9-nov-2000	1614
16-nov-2000	1606
19-nov-2000	1618
1-ago-2001	1620
4-ago-2001	1619
9-ago-2001	1609
12-ago-2001	1599
15-ago-2001	1634
18-ago-2001	1621
26-ago-2001	1606
29-ago-2001	1611
2-set-2001	1613
9-set-2001	1617
16-set-2001	1600
20-set-2001	1618
23-set-2001	1604
29-set-2001	1592
2-out-2001	1609
6-out-2001	1595
9-out-2001	1614
13-out-2001	1607
20-out-2001	1607
28-out-2001	1599
3-nov-2001	1588
7-nov-2001	1610
11-nov-2001	1631
15-nov-2001	1614
18-nov-2001	1605
25-nov-2001	1591
2-dez-2001	1592
22-mai-2011	1604
29-mai-2011	1587
5-jun-2011	1575
11-jun-2011	1576
18-jun-2011	1583
29-jun-2011	1577
2-jul-2011	1569
7-jul-2011	1575
10-jul-2011	1559
17-jul-2011	1540
23-jul-2011	1545
27-jul-2011	1551
31-jul-2011	1539
3-ago-2011	1535
7-ago-2011	1570
13-ago-2011	1561
18-ago-2011	1568
21-ago-2011	1572
27-ago-2011	1563
1-set-2011	1565
4-set-2011	1598
7-set-2011	1586
10-set-2011	1586
18-set-2011	1591
21-set-2011	1584
24-set-2011	1576
1-out-2011	1581
8-out-2011	1582
12-out-2011	1607
15-out-2011	1598
22-out-2011	1603
30-out-2011	1590
6-nov-2011	1609
12-nov-2011	1627
16-nov-2011	1643
19-nov-2011	1628
27-nov-2011	1642
4-dez-2011	1621
15-mai-2016	1610
22-mai-2016	1593
25-mai-2016	1593
28-mai-2016	1598
2-jun-2016	1588
5-jun-2016	1603
11-jun-2016	1593
15-jun-2016	1578
18-jun-2016	1594
21-jun-2016	1584
26-jun-2016	1577
29-jun-2016	1571
2-jul-2016	1563
10-jul-2016	1549
17-jul-2016	1526
25-jul-2016	1520
31-jul-2016	1529
3-ago-2016	1536
7-ago-2016	1557
14-ago-2016	1550
19-ago-2016	1541
28-ago-2016	1532
8-set-2016	1522
11-set-2016	1528
14-set-2016	1532
19-set-2016	1549
24-set-2016	1568
3-out-2016	1554
9-out-2016	1548
13-out-2016	1540
16-out-2016	1531
24-out-2016	1551
31-out-2016	1568
6-nov-2016	1553
16-nov-2016	1549
20-nov-2016	1536
26-nov-2016	1541
11-dez-2016	1537
