date	rating
25-ago-1973	1500
29-ago-1973	1505
2-set-1973	1519
5-set-1973	1540
9-set-1973	1540
12-set-1973	1548
16-set-1973	1549
23-set-1973	1562
26-set-1973	1544
30-set-1973	1529
3-out-1973	1532
7-out-1973	1519
14-out-1973	1506
17-out-1973	1524
21-out-1973	1521
24-out-1973	1523
27-out-1973	1542
31-out-1973	1528
7-nov-1973	1512
11-nov-1973	1528
14-nov-1973	1530
18-nov-1973	1520
25-nov-1973	1503
28-nov-1973	1518
2-dez-1973	1508
8-dez-1973	1521
12-dez-1973	1511
16-dez-1973	1525
10-mar-1974	1524
13-mar-1974	1512
17-mar-1974	1529
20-mar-1974	1546
23-mar-1974	1527
27-mar-1974	1505
6-abr-1974	1508
10-abr-1974	1524
20-abr-1974	1516
27-abr-1974	1509
4-mai-1974	1509
11-mai-1974	1525
15-mai-1974	1514
18-mai-1974	1514
22-mai-1974	1505
25-mai-1974	1522
29-mai-1974	1521
5-jun-1974	1510
13-jun-1974	1493
24-ago-1975	1506
27-ago-1975	1490
31-ago-1975	1487
3-set-1975	1502
7-set-1975	1506
14-set-1975	1509
17-set-1975	1527
21-set-1975	1535
24-set-1975	1521
27-set-1975	1541
4-out-1975	1531
8-out-1975	1535
12-out-1975	1564
15-out-1975	1577
18-out-1975	1564
23-out-1975	1552
26-out-1975	1537
29-out-1975	1525
2-nov-1975	1529
5-nov-1975	1525
9-nov-1975	1514
29-ago-1976	1520
1-set-1976	1519
4-set-1976	1534
7-set-1976	1549
15-set-1976	1551
19-set-1976	1546
22-set-1976	1554
30-set-1976	1539
10-out-1976	1523
13-out-1976	1544
17-out-1976	1539
20-out-1976	1541
24-out-1976	1532
15-out-1977	1506
19-out-1977	1505
23-out-1977	1525
26-out-1977	1544
2-nov-1977	1554
6-nov-1977	1557
16-nov-1977	1563
20-nov-1977	1536
24-nov-1977	1520
27-nov-1977	1513
30-nov-1977	1531
4-dez-1977	1552
7-dez-1977	1548
11-dez-1977	1543
18-dez-1977	1565
29-jan-1978	1562
1-fev-1978	1552
15-fev-1978	1557
19-fev-1978	1550
22-fev-1978	1556
26-mar-1978	1569
29-mar-1978	1563
1-abr-1978	1549
5-abr-1978	1549
8-abr-1978	1520
12-abr-1978	1509
23-abr-1978	1508
30-abr-1978	1516
3-mai-1978	1533
6-mai-1978	1542
10-mai-1978	1527
14-mai-1978	1534
21-mai-1978	1533
24-mai-1978	1509
28-mai-1978	1505
13-jun-1978	1491
20-jun-1978	1488
24-jun-1978	1475
30-set-1979	1495
3-out-1979	1507
6-out-1979	1496
14-out-1979	1484
17-out-1979	1472
20-out-1979	1460
24-out-1979	1439
31-out-1979	1421
4-nov-1979	1424
24-fev-1980	1441
27-fev-1980	1445
2-mar-1980	1449
6-mar-1980	1443
9-mar-1980	1417
16-mar-1980	1427
20-mar-1980	1434
23-mar-1980	1418
30-mar-1980	1427
18-jan-1981	1445
21-jan-1981	1453
24-jan-1981	1447
28-jan-1981	1430
1-fev-1981	1445
4-fev-1981	1450
11-fev-1981	1446
14-fev-1981	1436
26-fev-1981	1459
17-jan-1982	1450
20-jan-1982	1444
24-jan-1982	1437
31-jan-1982	1448
3-fev-1982	1441
10-fev-1982	1450
14-fev-1982	1442
17-fev-1982	1439
26-jan-1983	1424
30-jan-1983	1418
2-fev-1983	1432
5-fev-1983	1440
9-fev-1983	1457
19-fev-1983	1452
23-fev-1983	1464
27-fev-1983	1483
13-mar-1983	1474
16-mar-1983	1466
19-mar-1983	1456
26-mar-1983	1449
30-mar-1983	1435
3-abr-1983	1426
6-jul-1997	1433
9-jul-1997	1441
13-jul-1997	1447
16-jul-1997	1473
20-jul-1997	1467
26-jul-1997	1475
3-ago-1997	1495
10-ago-1997	1502
17-ago-1997	1495
20-ago-1997	1503
31-ago-1997	1522
7-set-1997	1511
11-set-1997	1530
14-set-1997	1522
17-set-1997	1527
21-set-1997	1555
28-set-1997	1576
1-out-1997	1579
4-out-1997	1585
12-out-1997	1579
19-out-1997	1593
26-out-1997	1588
2-nov-1997	1578
5-nov-1997	1568
8-nov-1997	1554
26-jul-1998	1540
2-ago-1998	1540
5-ago-1998	1531
9-ago-1998	1538
12-ago-1998	1545
16-ago-1998	1573
19-ago-1998	1564
23-ago-1998	1559
26-ago-1998	1547
30-ago-1998	1549
6-set-1998	1542
9-set-1998	1548
16-set-1998	1533
19-set-1998	1521
27-set-1998	1538
3-out-1998	1532
10-out-1998	1523
18-out-1998	1516
21-out-1998	1536
24-out-1998	1530
28-out-1998	1538
1-nov-1998	1528
12-nov-1998	1524
13-mai-2007	1518
19-mai-2007	1539
26-mai-2007	1532
3-jun-2007	1513
10-jun-2007	1507
17-jun-2007	1510
24-jun-2007	1501
30-jun-2007	1494
3-jul-2007	1484
6-jul-2007	1504
14-jul-2007	1498
18-jul-2007	1485
21-jul-2007	1504
25-jul-2007	1493
29-jul-2007	1490
1-ago-2007	1483
4-ago-2007	1464
9-ago-2007	1454
12-ago-2007	1450
19-ago-2007	1445
26-ago-2007	1440
29-ago-2007	1432
1-set-2007	1418
5-set-2007	1413
9-set-2007	1420
15-set-2007	1415
22-set-2007	1422
30-set-2007	1430
4-out-2007	1449
7-out-2007	1442
13-out-2007	1436
21-out-2007	1429
28-out-2007	1426
31-out-2007	1423
3-nov-2007	1430
10-nov-2007	1421
24-nov-2007	1413
2-dez-2007	1407
