date	rating
25-mai-1958	1509
28-mai-1958	1508
4-jun-1958	1523
8-jun-1958	1519
11-jun-1958	1501
14-jun-1958	1511
18-jun-1958	1533
22-jun-1958	1529
25-jun-1958	1540
28-jun-1958	1539
6-jul-1958	1524
13-jul-1958	1537
27-jul-1958	1532
3-ago-1958	1539
10-ago-1958	1545
17-ago-1958	1530
24-ago-1958	1520
31-ago-1958	1520
11-set-1958	1516
28-set-1958	1506
5-out-1958	1504
9-out-1958	1489
12-out-1958	1485
18-out-1958	1467
19-out-1958	1464
22-out-1958	1452
25-out-1958	1442
1-nov-1958	1440
9-nov-1958	1431
16-nov-1958	1446
23-nov-1958	1462
26-nov-1958	1456
30-nov-1958	1459
3-dez-1958	1459
6-dez-1958	1479
11-dez-1958	1497
14-dez-1958	1488
17-dez-1958	1498
24-mai-1959	1491
31-mai-1959	1500
7-jun-1959	1482
14-jun-1959	1484
21-jun-1959	1469
28-jun-1959	1477
5-jul-1959	1465
12-jul-1959	1482
18-jul-1959	1480
5-ago-1959	1470
9-ago-1959	1464
13-ago-1959	1471
16-ago-1959	1468
22-ago-1959	1478
30-ago-1959	1476
6-set-1959	1470
13-set-1959	1479
19-set-1959	1481
3-out-1959	1463
7-out-1959	1475
10-out-1959	1493
14-out-1959	1489
17-out-1959	1482
28-out-1959	1479
7-nov-1959	1461
11-nov-1959	1442
15-nov-1959	1443
19-nov-1959	1433
22-nov-1959	1417
26-nov-1959	1428
29-nov-1959	1448
2-dez-1959	1448
6-dez-1959	1434
8-dez-1959	1431
17-dez-1959	1446
20-dez-1959	1437
22-dez-1959	1453
30-dez-1959	1472
12-jun-1960	1462
19-jun-1960	1467
26-jun-1960	1467
29-jun-1960	1468
3-jul-1960	1478
6-jul-1960	1487
9-jul-1960	1475
17-jul-1960	1472
24-jul-1960	1456
28-jul-1960	1450
31-jul-1960	1451
7-ago-1960	1445
21-ago-1960	1439
24-ago-1960	1430
7-set-1960	1435
11-set-1960	1425
17-set-1960	1443
22-set-1960	1446
25-set-1960	1432
28-set-1960	1451
6-out-1960	1436
9-out-1960	1455
13-out-1960	1451
16-out-1960	1446
19-out-1960	1467
27-out-1960	1476
30-out-1960	1468
6-nov-1960	1488
13-nov-1960	1492
16-nov-1960	1473
20-nov-1960	1488
1-dez-1960	1505
7-dez-1960	1498
11-dez-1960	1489
5-jul-1964	1506
12-jul-1964	1498
19-jul-1964	1510
22-jul-1964	1530
26-jul-1964	1523
2-ago-1964	1532
9-ago-1964	1541
12-ago-1964	1534
16-ago-1964	1530
22-ago-1964	1516
30-ago-1964	1518
6-set-1964	1524
13-set-1964	1548
20-set-1964	1534
27-set-1964	1542
4-out-1964	1535
11-out-1964	1547
18-out-1964	1540
21-out-1964	1527
25-out-1964	1509
28-out-1964	1532
1-nov-1964	1528
8-nov-1964	1545
14-nov-1964	1531
22-nov-1964	1546
25-nov-1964	1562
29-nov-1964	1551
6-dez-1964	1552
9-dez-1964	1563
13-dez-1964	1570
7-jul-1965	1555
11-jul-1965	1548
14-jul-1965	1544
18-jul-1965	1534
25-jul-1965	1547
31-jul-1965	1552
8-ago-1965	1551
15-ago-1965	1565
18-ago-1965	1576
22-ago-1965	1570
29-ago-1965	1566
4-set-1965	1555
7-set-1965	1565
12-set-1965	1577
18-set-1965	1563
26-set-1965	1562
29-set-1965	1541
3-out-1965	1541
10-out-1965	1529
17-out-1965	1524
20-out-1965	1532
24-out-1965	1527
30-out-1965	1542
3-nov-1965	1560
7-nov-1965	1552
13-nov-1965	1548
20-nov-1965	1557
28-nov-1965	1557
5-dez-1965	1544
12-dez-1965	1558
31-jul-1966	1541
7-ago-1966	1532
14-ago-1966	1527
21-ago-1966	1540
28-ago-1966	1534
4-set-1966	1527
7-set-1966	1542
14-set-1966	1534
18-set-1966	1531
21-set-1966	1545
25-set-1966	1524
28-set-1966	1519
2-out-1966	1508
5-out-1966	1531
15-out-1966	1545
23-out-1966	1541
6-nov-1966	1529
9-nov-1966	1548
13-nov-1966	1544
16-nov-1966	1552
20-nov-1966	1569
23-nov-1966	1548
27-nov-1966	1561
30-nov-1966	1551
3-dez-1966	1527
11-dez-1966	1549
14-dez-1966	1546
17-dez-1966	1569
4-jul-1967	1569
9-jul-1967	1581
16-jul-1967	1591
23-jul-1967	1591
2-ago-1967	1597
6-ago-1967	1610
15-ago-1967	1605
16-ago-1967	1600
20-ago-1967	1613
27-ago-1967	1593
3-set-1967	1606
7-set-1967	1604
10-set-1967	1595
13-set-1967	1580
17-set-1967	1589
20-set-1967	1573
23-set-1967	1582
8-out-1967	1578
15-out-1967	1565
22-out-1967	1571
5-nov-1967	1592
12-nov-1967	1619
15-nov-1967	1606
26-nov-1967	1595
3-dez-1967	1584
10-dez-1967	1582
31-jan-1968	1565
4-fev-1968	1555
11-fev-1968	1565
18-fev-1968	1553
21-fev-1968	1552
25-fev-1968	1558
3-mar-1968	1567
17-mar-1968	1563
24-mar-1968	1555
28-mar-1968	1544
31-mar-1968	1542
4-abr-1968	1524
7-abr-1968	1535
14-abr-1968	1545
