date	rating
17-jan-2007	1488
21-jan-2007	1506
24-jan-2007	1521
28-jan-2007	1517
31-jan-2007	1520
4-fev-2007	1515
7-fev-2007	1504
11-fev-2007	1516
17-fev-2007	1507
25-fev-2007	1518
4-mar-2007	1519
8-mar-2007	1517
11-mar-2007	1526
18-mar-2007	1540
25-mar-2007	1558
28-mar-2007	1558
31-mar-2007	1546
8-abr-2007	1550
11-abr-2007	1538
15-abr-2007	1550
21-abr-2007	1561
28-abr-2007	1563
5-mai-2007	1575
17-jan-2008	1571
20-jan-2008	1583
23-jan-2008	1595
26-jan-2008	1602
1-fev-2008	1611
3-fev-2008	1623
6-fev-2008	1643
12-fev-2008	1654
16-fev-2008	1638
21-fev-2008	1628
24-fev-2008	1634
28-fev-2008	1641
9-mar-2008	1627
13-mar-2008	1626
16-mar-2008	1637
23-mar-2008	1629
27-mar-2008	1641
30-mar-2008	1649
6-abr-2008	1657
12-abr-2008	1647
19-abr-2008	1638
22-jan-2009	1625
25-jan-2009	1621
29-jan-2009	1619
1-fev-2009	1600
5-fev-2009	1606
8-fev-2009	1605
11-fev-2009	1603
14-fev-2009	1618
21-fev-2009	1607
26-fev-2009	1604
1-mar-2009	1613
8-mar-2009	1599
11-mar-2009	1589
14-mar-2009	1570
21-mar-2009	1575
25-mar-2009	1594
29-mar-2009	1594
2-abr-2009	1591
5-abr-2009	1578
16-jan-2011	1588
19-jan-2011	1597
23-jan-2011	1606
26-jan-2011	1599
29-jan-2011	1614
2-fev-2011	1605
5-fev-2011	1604
12-fev-2011	1596
19-fev-2011	1607
26-fev-2011	1594
5-mar-2011	1585
9-mar-2011	1575
13-mar-2011	1559
20-mar-2011	1555
23-mar-2011	1542
27-mar-2011	1555
2-abr-2011	1567
10-abr-2011	1571
17-abr-2011	1559
