date	rating
24-Aug-1975	1518
27-Aug-1975	1511
31-Aug-1975	1523
3-Sep-1975	1517
7-Sep-1975	1529
10-Sep-1975	1522
14-Sep-1975	1500
17-Sep-1975	1482
28-Sep-1975	1465
2-Oct-1975	1459
5-Oct-1975	1448
25-Oct-1975	1440
28-Oct-1975	1431
1-Nov-1975	1454
5-Nov-1975	1465
9-Nov-1975	1442
14-Mar-1976	1430
17-Mar-1976	1426
21-Mar-1976	1436
28-Mar-1976	1438
4-Apr-1976	1440
14-Apr-1976	1449
18-Apr-1976	1446
21-Apr-1976	1444
25-Apr-1976	1450
29-Apr-1976	1445
2-May-1976	1446
5-May-1976	1453
9-May-1976	1442
15-May-1976	1457
6-Jun-1976	1453
12-Jun-1976	1463
17-Jun-1976	1475
27-Jun-1976	1463
4-Jul-1976	1469
17-Jul-1976	1478
24-Jul-1976	1475
29-Jul-1976	1468
1-Aug-1976	1468
4-Aug-1976	1498
8-Aug-1976	1514
11-Aug-1976	1500
15-Aug-1976	1510
1-Sep-1976	1501
5-Sep-1976	1513
8-Sep-1976	1507
15-Sep-1976	1514
18-Sep-1976	1528
22-Sep-1976	1530
25-Sep-1976	1528
29-Sep-1976	1518
10-Oct-1976	1496
17-Oct-1976	1485
21-Oct-1976	1511
24-Oct-1976	1497
27-Mar-1977	1495
3-Apr-1977	1474
10-Apr-1977	1463
13-Apr-1977	1461
21-Apr-1977	1466
24-Apr-1977	1463
27-Apr-1977	1459
1-May-1977	1456
8-May-1977	1469
11-May-1977	1486
15-May-1977	1486
22-May-1977	1495
25-May-1977	1489
29-May-1977	1484
24-Jul-1977	1465
31-Jul-1977	1461
3-Aug-1977	1460
6-Aug-1977	1447
13-Aug-1977	1446
17-Aug-1977	1439
21-Aug-1977	1439
24-Aug-1977	1436
28-Aug-1977	1445
4-Sep-1977	1443
7-Sep-1977	1427
11-Sep-1977	1423
21-Sep-1977	1408
25-Sep-1977	1414
16-Oct-1977	1424
26-Oct-1977	1439
30-Oct-1977	1438
2-Nov-1977	1452
9-Nov-1977	1444
13-Nov-1977	1444
20-Nov-1977	1431
23-Nov-1977	1418
27-Nov-1977	1438
7-Dec-1977	1447
10-Dec-1977	1435
14-Dec-1977	1426
18-Dec-1977	1424
26-Mar-1978	1413
29-Mar-1978	1423
8-Apr-1978	1436
12-Apr-1978	1437
16-Apr-1978	1445
20-Apr-1978	1442
23-Apr-1978	1448
3-May-1978	1445
7-May-1978	1468
10-May-1978	1475
14-May-1978	1476
21-May-1978	1475
25-May-1978	1491
27-May-1978	1490
31-May-1978	1502
17-Jun-1978	1522
2-Jul-1978	1506
5-Jul-1978	1495
9-Jul-1978	1490
13-Jul-1978	1485
16-Jul-1978	1508
20-Jul-1978	1517
23-Jul-1978	1530
4-Feb-1979	1522
11-Feb-1979	1518
14-Feb-1979	1532
18-Feb-1979	1540
4-Mar-1979	1548
7-Mar-1979	1544
10-Mar-1979	1554
14-Mar-1979	1548
17-Mar-1979	1546
23-Mar-1979	1554
1-Apr-1979	1559
8-Apr-1979	1567
