date	rating
12-mai-1907	1500
26-mai-1907	1511
9-jun-1907	1511
24-jun-1907	1525
14-jul-1907	1546
21-jul-1907	1544
18-ago-1907	1556
8-set-1907	1542
1-nov-1907	1527
3-nov-1907	1512
28-mai-1908	1513
14-jun-1908	1527
28-jun-1908	1518
26-jul-1908	1526
23-ago-1908	1538
13-set-1908	1545
12-out-1908	1550
25-out-1908	1552
15-nov-1908	1572
22-nov-1908	1558
30-mai-1909	1549
6-jun-1909	1547
24-jun-1909	1542
11-jul-1909	1531
18-jul-1909	1514
1-ago-1909	1527
19-set-1909	1527
1-nov-1909	1533
7-nov-1909	1536
21-nov-1909	1538
29-mai-1910	1521
12-jun-1910	1527
19-jun-1910	1542
10-jul-1910	1535
24-jul-1910	1548
28-ago-1910	1533
9-out-1910	1541
12-out-1910	1551
16-out-1910	1564
30-out-1910	1574
4-jun-1911	1560
18-jun-1911	1572
29-jun-1911	1582
9-jul-1911	1594
20-ago-1911	1591
27-ago-1911	1601
24-set-1911	1611
29-out-1911	1595
7-abr-1912	1607
20-abr-1912	1612
28-abr-1912	1611
19-mai-1912	1618
9-jun-1912	1617
14-jul-1912	1624
21-jul-1912	1634
11-ago-1912	1648
29-set-1912	1641
12-out-1912	1637
27-out-1912	1648
