date	rating
23-set-1979	1487
26-set-1979	1511
3-out-1979	1512
6-out-1979	1530
14-out-1979	1512
17-out-1979	1497
21-out-1979	1510
25-out-1979	1520
3-nov-1979	1502
24-fev-1980	1508
27-fev-1980	1501
2-mar-1980	1496
9-mar-1980	1496
12-mar-1980	1518
15-mar-1980	1521
23-mar-1980	1542
26-mar-1980	1546
30-mar-1980	1566
3-abr-1980	1557
6-abr-1980	1549
13-abr-1980	1539
27-abr-1980	1555
4-mai-1980	1548
7-mai-1980	1540
31-ago-1986	1549
2-set-1986	1558
7-set-1986	1543
13-set-1986	1558
17-set-1986	1545
24-set-1986	1535
27-set-1986	1542
30-set-1986	1560
2-out-1986	1563
5-out-1986	1548
12-out-1986	1538
16-out-1986	1534
19-out-1986	1519
25-out-1986	1513
26-out-1986	1513
1-nov-1986	1528
8-nov-1986	1530
16-nov-1986	1532
23-nov-1986	1553
26-nov-1986	1540
29-nov-1986	1543
3-dez-1986	1550
6-dez-1986	1557
10-dez-1986	1573
13-dez-1986	1572
28-jan-1987	1562
20-set-1987	1576
23-set-1987	1595
27-set-1987	1581
30-set-1987	1557
4-out-1987	1562
10-out-1987	1579
18-out-1987	1579
21-out-1987	1578
24-out-1987	1560
28-out-1987	1551
1-nov-1987	1542
4-nov-1987	1530
8-nov-1987	1548
11-nov-1987	1548
8-mai-2010	1555
15-mai-2010	1548
22-mai-2010	1542
27-mai-2010	1533
30-mai-2010	1520
2-jun-2010	1511
6-jun-2010	1531
15-jul-2010	1521
18-jul-2010	1517
21-jul-2010	1548
24-jul-2010	1535
31-jul-2010	1535
8-ago-2010	1537
14-ago-2010	1530
22-ago-2010	1537
26-ago-2010	1567
29-ago-2010	1571
2-set-2010	1564
5-set-2010	1592
8-set-2010	1579
11-set-2010	1599
15-set-2010	1587
18-set-2010	1578
22-set-2010	1599
25-set-2010	1619
29-set-2010	1607
2-out-2010	1593
7-out-2010	1579
10-out-2010	1598
17-out-2010	1623
23-out-2010	1633
28-out-2010	1634
3-nov-2010	1626
6-nov-2010	1630
14-nov-2010	1657
21-nov-2010	1632
28-nov-2010	1635
5-dez-2010	1635
22-mai-2011	1648
29-mai-2011	1639
4-jun-2011	1621
12-jun-2011	1643
19-jun-2011	1645
26-jun-2011	1634
30-jun-2011	1620
7-jul-2011	1626
10-jul-2011	1621
16-jul-2011	1607
23-jul-2011	1613
27-jul-2011	1643
31-jul-2011	1646
4-ago-2011	1623
7-ago-2011	1610
13-ago-2011	1634
18-ago-2011	1667
21-ago-2011	1681
27-ago-2011	1689
31-ago-2011	1709
3-set-2011	1697
7-set-2011	1697
11-set-2011	1695
17-set-2011	1705
22-set-2011	1707
25-set-2011	1708
2-out-2011	1731
9-out-2011	1711
12-out-2011	1708
16-out-2011	1733
23-out-2011	1718
30-out-2011	1708
6-nov-2011	1693
13-nov-2011	1679
17-nov-2011	1682
20-nov-2011	1684
27-nov-2011	1683
4-dez-2011	1704
20-mai-2012	1704
26-mai-2012	1700
6-jun-2012	1687
10-jun-2012	1664
17-jun-2012	1646
24-jun-2012	1631
1-jul-2012	1622
7-jul-2012	1609
15-jul-2012	1603
19-jul-2012	1618
22-jul-2012	1604
25-jul-2012	1622
29-jul-2012	1621
4-ago-2012	1613
8-ago-2012	1618
11-ago-2012	1621
15-ago-2012	1628
19-ago-2012	1642
26-ago-2012	1641
29-ago-2012	1625
2-set-2012	1607
5-set-2012	1600
9-set-2012	1603
12-set-2012	1593
15-set-2012	1614
23-set-2012	1603
29-set-2012	1585
6-out-2012	1579
10-out-2012	1561
13-out-2012	1590
18-out-2012	1582
21-out-2012	1569
27-out-2012	1557
4-nov-2012	1548
10-nov-2012	1567
18-nov-2012	1573
25-nov-2012	1588
2-dez-2012	1579
