date	rating
7-ago-1971	1500
15-ago-1971	1502
21-ago-1971	1523
25-ago-1971	1546
28-ago-1971	1544
1-set-1971	1573
5-set-1971	1592
8-set-1971	1580
12-set-1971	1589
19-set-1971	1602
22-set-1971	1608
25-set-1971	1606
3-out-1971	1592
10-out-1971	1594
16-out-1971	1585
23-out-1971	1612
31-out-1971	1630
6-nov-1971	1632
14-nov-1971	1636
21-nov-1971	1650
25-nov-1971	1641
28-nov-1971	1661
1-dez-1971	1683
4-dez-1971	1682
9-dez-1971	1668
12-dez-1971	1684
19-dez-1971	1699
30-jan-1972	1702
1-mar-1972	1695
5-mar-1972	1689
9-mar-1972	1693
16-mar-1972	1688
19-mar-1972	1666
10-set-1972	1654
13-set-1972	1642
17-set-1972	1645
21-set-1972	1637
24-set-1972	1644
27-set-1972	1656
1-out-1972	1675
4-out-1972	1658
8-out-1972	1672
11-out-1972	1677
15-out-1972	1699
18-out-1972	1683
21-out-1972	1691
26-out-1972	1661
29-out-1972	1654
2-nov-1972	1643
5-nov-1972	1663
8-nov-1972	1678
12-nov-1972	1680
16-nov-1972	1668
18-nov-1972	1669
22-nov-1972	1680
26-nov-1972	1676
29-nov-1972	1669
3-dez-1972	1644
10-dez-1972	1647
13-dez-1972	1660
17-dez-1972	1657
29-ago-1973	1631
2-set-1973	1633
5-set-1973	1640
9-set-1973	1648
12-set-1973	1656
16-set-1973	1679
19-set-1973	1680
23-set-1973	1687
26-set-1973	1695
30-set-1973	1687
4-out-1973	1682
7-out-1973	1696
14-out-1973	1692
17-out-1973	1673
21-out-1973	1669
24-out-1973	1646
27-out-1973	1644
31-out-1973	1618
4-nov-1973	1604
11-nov-1973	1607
15-nov-1973	1593
18-nov-1973	1610
24-nov-1973	1600
29-nov-1973	1614
2-dez-1973	1614
8-dez-1973	1602
13-dez-1973	1616
16-dez-1973	1629
13-jan-1974	1632
16-jan-1974	1630
20-jan-1974	1652
23-jan-1974	1651
26-jan-1974	1665
30-jan-1974	1666
2-fev-1974	1680
