date	rating
16-fev-1972	1499
22-fev-1972	1503
24-fev-1972	1489
9-mar-1972	1474
21-mar-1972	1455
23-mar-1972	1443
14-fev-1974	1421
19-fev-1974	1438
21-fev-1974	1441
7-mar-1974	1428
20-mar-1974	1444
22-mar-1974	1475
23-fev-1975	1476
9-mar-1975	1485
13-mar-1975	1481
23-mar-1975	1499
6-abr-1975	1524
10-abr-1975	1512
27-abr-1977	1487
4-mai-1977	1453
8-mai-1977	1433
15-mai-1977	1415
19-mai-1977	1441
22-mai-1977	1460
24-mar-1982	1437
28-mar-1982	1458
31-mar-1982	1456
14-abr-1982	1460
18-abr-1982	1480
21-abr-1982	1492
16-fev-1989	1495
21-fev-1989	1492
24-fev-1989	1492
7-mar-1989	1475
14-mar-1989	1491
28-mar-1989	1507
5-abr-1989	1540
12-abr-1989	1529
19-abr-1989	1548
26-abr-1989	1550
10-mai-1989	1553
17-mai-1989	1590
24-mai-1989	1570
31-mai-1989	1597
8-ago-1990	1598
15-ago-1990	1613
22-ago-1990	1619
13-set-1990	1639
20-set-1990	1625
26-set-1990	1642
22-fev-1991	1623
5-mar-1991	1634
8-mar-1991	1643
31-mar-1991	1631
5-abr-1991	1625
7-abr-1991	1616
17-abr-1991	1611
25-abr-1991	1627
3-mai-1991	1632
10-mai-1991	1661
16-mai-1991	1662
23-mai-1991	1647
26-fev-1992	1629
13-mar-1992	1618
20-mar-1992	1626
25-mar-1992	1660
7-abr-1992	1669
10-abr-1992	1683
29-abr-1992	1672
6-mai-1992	1682
13-mai-1992	1667
20-mai-1992	1646
11-fev-1993	1648
19-fev-1993	1639
11-mar-1993	1659
16-mar-1993	1675
19-mar-1993	1659
26-mar-1993	1659
2-abr-1993	1642
7-abr-1993	1620
14-abr-1993	1637
14-fev-1995	1635
24-fev-1995	1658
10-mar-1995	1669
15-mar-1995	1645
4-abr-1995	1645
7-abr-1995	1641
26-abr-1995	1665
3-mai-1995	1686
26-jul-1995	1698
2-ago-1995	1695
9-ago-1995	1711
16-ago-1995	1696
23-ago-1995	1677
30-ago-1995	1680
23-fev-2000	1646
29-fev-2000	1627
8-mar-2000	1631
16-mar-2000	1657
22-mar-2000	1621
20-abr-2000	1640
9-fev-2006	1657
2-mar-2006	1647
14-mar-2006	1679
23-mar-2006	1678
4-abr-2006	1665
13-abr-2006	1680
25-abr-2006	1647
2-mai-2006	1632
27-fev-2008	1640
6-mar-2008	1656
18-mar-2008	1635
3-abr-2008	1631
10-abr-2008	1645
23-abr-2008	1635
30-abr-2008	1625
6-mai-2008	1616
15-fev-2012	1639
21-fev-2012	1661
8-mar-2012	1655
22-mar-2012	1649
10-abr-2012	1667
19-abr-2012	1651
