date	rating
16-Mar-1930	1482
30-Mar-1930	1462
6-Apr-1930	1463
13-Apr-1930	1474
20-Apr-1930	1467
27-Apr-1930	1467
4-May-1930	1452
11-May-1930	1432
25-May-1930	1421
1-Jun-1930	1410
8-Jun-1930	1403
10-Aug-1930	1411
17-Aug-1930	1402
24-Aug-1930	1415
7-Sep-1930	1406
14-Sep-1930	1423
21-Sep-1930	1445
28-Sep-1930	1438
5-Oct-1930	1434
9-Nov-1930	1450
15-Nov-1930	1452
30-Nov-1930	1460
7-Dec-1930	1480
14-Dec-1930	1492
21-Dec-1930	1486
3-Jan-1931	1501
5-Apr-1931	1490
12-Apr-1931	1495
10-May-1931	1509
17-May-1931	1503
24-May-1931	1491
31-May-1931	1500
7-Jun-1931	1512
14-Jun-1931	1517
21-Jun-1931	1525
20-Sep-1931	1536
27-Sep-1931	1551
4-Oct-1931	1544
11-Oct-1931	1554
18-Oct-1931	1569
24-Oct-1931	1576
1-Nov-1931	1584
8-Nov-1931	1583
15-Nov-1931	1570
22-Nov-1931	1595
29-Nov-1931	1599
6-Dec-1931	1615
13-Dec-1931	1607
20-Dec-1931	1612
27-Dec-1931	1609
3-Jan-1932	1612
10-Jan-1932	1616
1-May-1932	1621
15-May-1932	1597
22-May-1932	1582
5-Jun-1932	1576
12-Jun-1932	1575
19-Jun-1932	1567
3-Jul-1932	1536
13-Nov-1932	1527
27-Nov-1932	1541
4-Dec-1932	1536
18-Dec-1932	1548
