date	rating
19-Jan-2013	1499
23-Jan-2013	1508
26-Jan-2013	1517
30-Jan-2013	1508
2-Feb-2013	1519
7-Feb-2013	1519
17-Feb-2013	1511
24-Feb-2013	1510
17-Mar-2013	1507
23-Mar-2013	1507
27-Mar-2013	1498
31-Mar-2013	1514
7-Apr-2013	1523
13-Apr-2013	1514
21-Apr-2013	1523
19-Jan-2014	1518
22-Jan-2014	1519
25-Jan-2014	1519
29-Jan-2014	1507
1-Feb-2014	1489
4-Feb-2014	1481
9-Feb-2014	1482
15-Feb-2014	1465
20-Feb-2014	1477
23-Feb-2014	1466
26-Feb-2014	1448
6-Mar-2014	1455
9-Mar-2014	1456
16-Mar-2014	1473
23-Mar-2014	1464
