date	rating
18-Jan-2014	1500
21-Jan-2014	1507
25-Jan-2014	1500
28-Jan-2014	1511
2-Feb-2014	1533
6-Feb-2014	1521
9-Feb-2014	1526
15-Feb-2014	1525
19-Feb-2014	1536
22-Feb-2014	1545
28-Feb-2014	1543
5-Mar-2014	1532
11-Mar-2014	1549
18-Mar-2014	1565
23-Mar-2014	1553
31-Jan-2015	1539
3-Feb-2015	1542
8-Feb-2015	1545
11-Feb-2015	1544
18-Feb-2015	1542
21-Feb-2015	1535
27-Feb-2015	1553
6-Mar-2015	1570
11-Mar-2015	1587
15-Mar-2015	1597
21-Mar-2015	1592
25-Mar-2015	1606
29-Mar-2015	1585
3-Apr-2015	1574
8-Apr-2015	1581
31-Jan-2016	1591
4-Feb-2016	1588
10-Feb-2016	1598
13-Feb-2016	1608
20-Feb-2016	1596
24-Feb-2016	1583
27-Feb-2016	1572
5-Mar-2016	1588
13-Mar-2016	1586
20-Mar-2016	1599
23-Mar-2016	1597
26-Mar-2016	1597
30-Mar-2016	1607
2-Apr-2016	1617
10-Apr-2016	1612
17-Apr-2016	1635
23-Apr-2016	1641
1-May-2016	1645
8-May-2016	1640
