date	rating
10-mar-1974	1500
13-mar-1974	1495
17-mar-1974	1483
20-mar-1974	1479
23-mar-1974	1469
30-mar-1974	1495
6-abr-1974	1497
13-abr-1974	1513
16-abr-1974	1499
21-abr-1974	1486
27-abr-1974	1480
4-mai-1974	1467
11-mai-1974	1470
18-mai-1974	1456
25-mai-1974	1444
29-mai-1974	1439
2-jun-1974	1421
5-jun-1974	1416
13-jun-1974	1406
8-set-1976	1398
12-set-1976	1424
15-set-1976	1432
19-set-1976	1427
22-set-1976	1418
25-set-1976	1432
29-set-1976	1429
3-out-1976	1421
14-out-1976	1422
17-out-1976	1438
21-out-1976	1442
24-out-1976	1453
16-out-1977	1474
19-out-1977	1457
23-out-1977	1449
6-nov-1977	1438
10-nov-1977	1428
13-nov-1977	1450
20-nov-1977	1443
23-nov-1977	1472
27-nov-1977	1481
4-dez-1977	1463
8-dez-1977	1449
11-dez-1977	1467
14-dez-1977	1482
22-set-1979	1479
25-set-1979	1466
30-set-1979	1469
11-out-1979	1458
17-out-1979	1457
20-out-1979	1460
24-out-1979	1433
28-out-1979	1424
4-nov-1979	1426
9-mai-2009	1434
16-mai-2009	1443
24-mai-2009	1449
31-mai-2009	1445
7-jun-2009	1455
14-jun-2009	1445
20-jun-2009	1466
27-jun-2009	1463
5-jul-2009	1457
11-jul-2009	1451
15-jul-2009	1482
19-jul-2009	1512
22-jul-2009	1532
25-jul-2009	1556
30-jul-2009	1590
2-ago-2009	1595
5-ago-2009	1608
8-ago-2009	1612
15-ago-2009	1625
20-ago-2009	1628
23-ago-2009	1655
29-ago-2009	1636
6-set-2009	1624
12-set-2009	1615
20-set-2009	1645
27-set-2009	1631
4-out-2009	1634
8-out-2009	1641
12-out-2009	1642
17-out-2009	1657
25-out-2009	1656
28-out-2009	1643
31-out-2009	1663
7-nov-2009	1676
15-nov-2009	1696
22-nov-2009	1672
29-nov-2009	1673
5-dez-2009	1683
9-mai-2010	1703
16-mai-2010	1707
23-mai-2010	1723
26-mai-2010	1701
29-mai-2010	1699
2-jun-2010	1674
5-jun-2010	1657
14-jul-2010	1675
18-jul-2010	1694
21-jul-2010	1697
24-jul-2010	1693
1-ago-2010	1712
7-ago-2010	1680
15-ago-2010	1696
21-ago-2010	1687
25-ago-2010	1676
29-ago-2010	1673
2-set-2010	1663
5-set-2010	1651
9-set-2010	1650
12-set-2010	1642
16-set-2010	1644
19-set-2010	1626
23-set-2010	1606
26-set-2010	1630
29-set-2010	1623
2-out-2010	1626
7-out-2010	1609
10-out-2010	1612
17-out-2010	1593
24-out-2010	1581
30-out-2010	1592
3-nov-2010	1578
7-nov-2010	1585
14-nov-2010	1602
21-nov-2010	1628
28-nov-2010	1645
5-dez-2010	1635
21-mai-2011	1618
28-mai-2011	1603
5-jun-2011	1591
11-jun-2011	1591
19-jun-2011	1576
26-jun-2011	1569
29-jun-2011	1575
6-jul-2011	1576
9-jul-2011	1578
16-jul-2011	1592
21-jul-2011	1580
27-jul-2011	1573
31-jul-2011	1594
3-ago-2011	1619
7-ago-2011	1612
13-ago-2011	1598
17-ago-2011	1587
21-ago-2011	1591
28-ago-2011	1607
31-ago-2011	1625
3-set-2011	1605
7-set-2011	1596
10-set-2011	1596
18-set-2011	1600
21-set-2011	1588
25-set-2011	1580
1-out-2011	1569
9-out-2011	1598
12-out-2011	1602
16-out-2011	1591
22-out-2011	1609
30-out-2011	1603
6-nov-2011	1589
12-nov-2011	1577
16-nov-2011	1581
19-nov-2011	1572
27-nov-2011	1565
4-dez-2011	1571
10-mai-2015	1578
17-mai-2015	1570
24-mai-2015	1589
30-mai-2015	1605
3-jun-2015	1594
7-jun-2015	1610
14-jun-2015	1611
21-jun-2015	1618
27-jun-2015	1610
1-jul-2015	1599
5-jul-2015	1604
8-jul-2015	1591
12-jul-2015	1606
19-jul-2015	1612
25-jul-2015	1603
2-ago-2015	1581
8-ago-2015	1600
13-ago-2015	1583
16-ago-2015	1579
22-ago-2015	1566
30-ago-2015	1598
2-set-2015	1584
6-set-2015	1570
9-set-2015	1562
13-set-2015	1579
16-set-2015	1593
20-set-2015	1611
26-set-2015	1602
4-out-2015	1603
14-out-2015	1587
17-out-2015	1575
25-out-2015	1578
31-out-2015	1584
7-nov-2015	1575
18-nov-2015	1588
22-nov-2015	1573
28-nov-2015	1590
6-dez-2015	1599
