date	rating
3-abr-1964	1500
8-abr-1964	1485
7-ago-1971	1493
11-ago-1971	1502
15-ago-1971	1524
18-ago-1971	1519
25-ago-1971	1496
29-ago-1971	1496
1-set-1971	1488
5-set-1971	1485
12-set-1971	1490
19-set-1971	1496
26-set-1971	1491
3-out-1971	1514
10-out-1971	1516
17-out-1971	1500
20-out-1971	1519
31-out-1971	1526
7-nov-1971	1543
10-nov-1971	1550
14-nov-1971	1567
10-set-1972	1577
13-set-1972	1582
17-set-1972	1571
20-set-1972	1569
24-set-1972	1560
27-set-1972	1554
30-set-1972	1558
4-out-1972	1563
8-out-1972	1581
12-out-1972	1584
15-out-1972	1584
18-out-1972	1580
22-out-1972	1579
26-out-1972	1596
29-out-1972	1584
1-nov-1972	1594
5-nov-1972	1603
8-nov-1972	1588
12-nov-1972	1586
16-nov-1972	1586
19-nov-1972	1593
22-nov-1972	1597
25-nov-1972	1587
29-nov-1972	1575
3-dez-1972	1562
26-ago-1973	1568
29-ago-1973	1566
2-set-1973	1573
5-set-1973	1566
9-set-1973	1559
12-set-1973	1558
15-set-1973	1550
23-set-1973	1560
26-set-1973	1559
30-set-1973	1575
3-out-1973	1567
7-out-1973	1581
14-out-1973	1577
17-out-1973	1590
21-out-1973	1615
24-out-1973	1624
27-out-1973	1629
31-out-1973	1622
4-nov-1973	1623
11-nov-1973	1609
14-nov-1973	1595
18-nov-1973	1605
25-nov-1973	1604
28-nov-1973	1613
2-dez-1973	1599
8-dez-1973	1609
12-dez-1973	1590
16-dez-1973	1591
12-jan-1974	1594
16-jan-1974	1601
19-jan-1974	1613
23-jan-1974	1614
27-jan-1974	1617
30-jan-1974	1614
3-fev-1974	1605
6-fev-1974	1597
10-fev-1974	1600
9-mar-1974	1606
13-mar-1974	1602
17-mar-1974	1600
20-mar-1974	1613
23-mar-1974	1612
30-mar-1974	1597
3-abr-1974	1601
14-abr-1974	1575
21-abr-1974	1578
27-abr-1974	1584
4-mai-1974	1570
11-mai-1974	1584
15-mai-1974	1594
18-mai-1974	1603
25-mai-1974	1615
2-jun-1974	1610
5-jun-1974	1611
9-jun-1974	1604
13-jun-1974	1613
29-jun-1974	1610
2-jul-1974	1593
6-jul-1974	1598
13-jul-1974	1587
17-jul-1974	1581
24-ago-1975	1587
27-ago-1975	1579
30-ago-1975	1603
7-set-1975	1605
10-set-1975	1598
14-set-1975	1595
17-set-1975	1600
21-set-1975	1597
25-set-1975	1593
28-set-1975	1606
5-out-1975	1591
25-out-1975	1598
29-out-1975	1593
2-nov-1975	1595
5-nov-1975	1603
9-nov-1975	1614
1-set-1976	1627
7-set-1976	1626
12-set-1976	1632
15-set-1976	1633
19-set-1976	1626
22-set-1976	1637
26-set-1976	1648
30-set-1976	1656
9-out-1976	1683
13-out-1976	1693
16-out-1976	1692
20-out-1976	1681
24-out-1976	1695
30-out-1976	1691
3-nov-1976	1675
6-nov-1976	1687
10-nov-1976	1702
14-nov-1976	1706
17-nov-1976	1699
24-nov-1976	1678
28-nov-1976	1671
16-out-1977	1664
23-out-1977	1671
2-nov-1977	1686
6-nov-1977	1690
10-nov-1977	1707
13-nov-1977	1714
17-nov-1977	1706
20-nov-1977	1697
23-nov-1977	1677
27-nov-1977	1682
4-dez-1977	1699
7-dez-1977	1709
11-dez-1977	1717
18-dez-1977	1707
29-jan-1978	1708
12-fev-1978	1711
15-fev-1978	1705
19-fev-1978	1713
22-fev-1978	1700
26-mar-1978	1702
30-mar-1978	1687
2-abr-1978	1691
6-abr-1978	1697
9-abr-1978	1703
12-abr-1978	1706
16-abr-1978	1710
23-abr-1978	1692
26-abr-1978	1701
7-mai-1978	1707
14-mai-1978	1712
21-mai-1978	1685
28-mai-1978	1686
31-mai-1978	1697
4-jun-1978	1712
7-jun-1978	1702
10-jun-1978	1710
13-jun-1978	1711
17-jun-1978	1705
2-jul-1978	1720
5-jul-1978	1731
9-jul-1978	1743
13-jul-1978	1734
16-jul-1978	1749
20-jul-1978	1755
23-jul-1978	1752
3-out-1979	1756
6-out-1979	1736
10-out-1979	1711
14-out-1979	1688
17-out-1979	1700
21-out-1979	1689
24-out-1979	1670
28-out-1979	1664
4-nov-1979	1675
8-nov-1979	1659
11-nov-1979	1651
15-nov-1979	1637
18-nov-1979	1645
21-nov-1979	1655
25-nov-1979	1640
28-nov-1979	1632
24-fev-1980	1617
27-fev-1980	1609
1-mar-1980	1619
5-mar-1980	1618
9-mar-1980	1636
16-mar-1980	1625
19-mar-1980	1623
23-mar-1980	1608
30-mar-1980	1639
6-abr-1980	1626
13-abr-1980	1636
20-abr-1980	1628
27-abr-1980	1613
4-mai-1980	1604
7-mai-1980	1593
7-mar-1981	1622
