date	rating
15-mar-1987	1502
22-mar-1987	1508
29-mar-1987	1500
5-abr-1987	1513
8-abr-1987	1514
12-abr-1987	1509
15-abr-1987	1497
18-abr-1987	1485
22-abr-1987	1491
26-abr-1987	1504
29-abr-1987	1494
3-mai-1987	1499
6-mai-1987	1511
10-mai-1987	1503
13-mai-1987	1489
17-mai-1987	1492
20-mai-1987	1516
24-mai-1987	1506
27-mai-1987	1500
31-mai-1987	1503
3-jun-1987	1490
7-jun-1987	1495
10-jun-1987	1487
17-jun-1987	1492
21-jun-1987	1494
24-jun-1987	1488
28-jun-1987	1482
1-jul-1987	1476
5-jul-1987	1464
8-jul-1987	1460
12-jul-1987	1456
19-jul-1987	1459
22-jul-1987	1472
26-jul-1987	1493
29-jul-1987	1485
2-ago-1987	1478
5-ago-1987	1468
8-ago-1987	1463
20-mar-1988	1449
1-mai-1988	1451
4-mai-1988	1458
8-mai-1988	1462
11-mai-1988	1455
15-mai-1988	1469
18-mai-1988	1475
22-mai-1988	1464
25-mai-1988	1466
29-mai-1988	1468
5-jun-1988	1472
