date	rating
20-mai-1906	1514
27-mai-1906	1502
10-jun-1906	1486
8-jul-1906	1469
15-jul-1906	1480
22-jul-1906	1471
26-ago-1906	1489
16-set-1906	1481
23-set-1906	1465
21-out-1906	1456
9-mai-1909	1448
23-mai-1909	1438
6-jun-1909	1452
4-mai-1913	1443
25-mai-1913	1444
8-jun-1913	1439
15-jun-1913	1450
22-jun-1913	1444
27-jul-1913	1430
3-ago-1913	1423
17-ago-1913	1425
7-set-1913	1427
16-mai-1915	1421
23-mai-1915	1416
13-jun-1915	1402
4-jul-1915	1424
18-jul-1915	1420
25-jul-1915	1415
15-ago-1915	1409
22-ago-1915	1390
5-set-1915	1385
26-set-1915	1405
17-out-1915	1431
31-out-1915	1425
7-mai-1916	1452
28-mai-1916	1478
25-jun-1916	1488
16-jul-1916	1487
6-ago-1916	1478
3-set-1916	1474
10-set-1916	1468
1-out-1916	1479
29-out-1916	1463
5-nov-1916	1480
19-nov-1916	1507
26-nov-1916	1503
20-mai-1917	1513
27-mai-1917	1529
3-jun-1917	1523
10-jun-1917	1518
1-jul-1917	1518
8-jul-1917	1509
15-jul-1917	1524
5-ago-1917	1532
26-ago-1917	1525
9-set-1917	1512
30-set-1917	1518
28-out-1917	1494
4-nov-1917	1482
18-nov-1917	1473
9-dez-1917	1464
16-dez-1917	1459
23-dez-1917	1447
24-fev-1918	1442
14-abr-1918	1437
21-abr-1918	1431
28-abr-1918	1423
5-mai-1918	1405
12-mai-1918	1396
19-mai-1918	1408
26-mai-1918	1423
9-jun-1918	1402
23-jun-1918	1396
21-jul-1918	1393
28-jul-1918	1388
18-ago-1918	1403
25-ago-1918	1429
7-set-1918	1446
15-set-1918	1461
29-set-1918	1471
6-out-1918	1477
8-dez-1918	1469
8-jun-1919	1451
29-jun-1919	1443
13-jul-1919	1472
20-jul-1919	1482
3-ago-1919	1475
15-ago-1919	1469
24-ago-1919	1476
31-ago-1919	1500
7-set-1919	1492
5-out-1919	1468
9-nov-1919	1466
16-nov-1919	1458
23-nov-1919	1471
7-dez-1919	1465
14-dez-1919	1454
21-dez-1919	1463
25-dez-1919	1473
28-dez-1919	1490
11-abr-1920	1488
18-abr-1920	1502
25-abr-1920	1491
16-mai-1920	1483
30-mai-1920	1474
20-jun-1920	1497
4-jul-1920	1505
1-ago-1920	1509
8-ago-1920	1503
15-ago-1920	1518
24-out-1920	1497
31-out-1920	1489
7-nov-1920	1506
14-nov-1920	1504
21-nov-1920	1500
28-nov-1920	1516
5-dez-1920	1522
12-dez-1920	1542
3-abr-1921	1542
17-abr-1921	1563
24-abr-1921	1586
1-mai-1921	1602
8-mai-1921	1602
15-mai-1921	1591
19-jun-1921	1606
3-jul-1921	1591
17-jul-1921	1581
24-jul-1921	1584
7-ago-1921	1585
28-ago-1921	1578
2-abr-1922	1568
16-abr-1922	1560
23-abr-1922	1582
30-abr-1922	1571
