date	rating
29-jan-1995	1492
2-fev-1995	1498
5-fev-1995	1511
9-fev-1995	1511
12-fev-1995	1506
16-fev-1995	1494
19-fev-1995	1481
25-fev-1995	1473
1-mar-1995	1480
5-mar-1995	1478
8-mar-1995	1468
12-mar-1995	1474
15-mar-1995	1473
19-mar-1995	1476
10-mar-1996	1464
16-mar-1996	1449
20-mar-1996	1441
24-mar-1996	1435
31-mar-1996	1430
7-abr-1996	1432
13-abr-1996	1441
21-abr-1996	1443
24-abr-1996	1439
28-abr-1996	1435
4-mai-1996	1447
12-mai-1996	1467
19-mai-1996	1456
23-mai-1996	1444
25-mai-1996	1439
29-mai-1996	1446
5-jun-1996	1457
8-jun-1996	1446
12-jun-1996	1443
16-jun-1996	1426
23-jun-1996	1433
29-jun-1996	1434
12-jan-1997	1419
2-fev-1997	1413
16-fev-1997	1406
19-fev-1997	1399
22-fev-1997	1385
2-mar-1997	1379
9-mar-1997	1391
16-mar-1997	1380
18-mar-1997	1386
23-mar-1997	1378
26-mar-1997	1380
