date	rating
25-mar-1981	1485
22-abr-1981	1511
26-abr-1981	1537
6-mai-1981	1542
13-mai-1981	1558
17-mai-1981	1577
23-abr-1985	1570
30-abr-1985	1547
3-mai-1985	1530
15-mai-1985	1521
21-mai-1985	1505
28-mai-1985	1524
20-fev-1991	1508
26-fev-1991	1516
12-mar-1991	1524
20-mar-1991	1509
26-mar-1991	1518
29-mar-1991	1506
17-fev-1993	1511
23-fev-1993	1494
26-fev-1993	1477
10-mar-1993	1468
16-mar-1993	1490
23-mar-1993	1522
24-fev-1999	1509
2-mar-1999	1508
6-mar-1999	1488
18-mar-1999	1476
23-mar-1999	1500
30-mar-1999	1522
14-abr-1999	1528
21-abr-1999	1558
5-mai-1999	1545
12-mai-1999	1548
24-fev-2000	1551
1-mar-2000	1539
14-mar-2000	1532
22-mar-2000	1537
4-abr-2000	1574
18-abr-2000	1596
