date	rating
13-mar-1983	1472
22-mar-1983	1463
5-abr-1983	1474
15-abr-1983	1510
22-abr-1983	1497
26-abr-1983	1489
17-mar-1984	1492
25-mar-1984	1477
28-mar-1984	1502
24-abr-1984	1520
2-mai-1984	1530
6-mai-1984	1530
12-mar-1985	1523
17-mar-1985	1543
21-mar-1985	1552
28-mar-1985	1560
7-abr-1985	1576
14-abr-1985	1586
19-set-1985	1593
19-set-1985	1594
1-out-1985	1580
4-out-1985	1569
24-fev-1999	1563
9-mar-1999	1546
12-mar-1999	1530
17-mar-1999	1510
26-mar-1999	1534
9-abr-1999	1556
23-fev-2000	1575
2-mar-2000	1562
9-mar-2000	1588
22-mar-2000	1564
13-abr-2000	1568
19-abr-2000	1536
31-jan-2007	1531
7-fev-2007	1520
11-fev-2010	1502
16-fev-2010	1481
25-fev-2010	1454
24-mar-2010	1441
6-abr-2010	1444
15-abr-2010	1435
