date	rating
24-jan-2007	1503
27-jan-2007	1502
4-fev-2007	1497
10-fev-2007	1496
17-fev-2007	1511
11-mar-2007	1495
17-mar-2007	1488
25-mar-2007	1479
28-mar-2007	1497
1-abr-2007	1494
8-abr-2007	1487
20-jan-2008	1482
23-jan-2008	1494
26-jan-2008	1484
29-jan-2008	1498
1-fev-2008	1504
6-fev-2008	1504
10-fev-2008	1515
2-mar-2008	1506
9-mar-2008	1503
12-mar-2008	1489
16-mar-2008	1490
22-mar-2008	1503
26-mar-2008	1492
30-mar-2008	1512
5-abr-2008	1536
16-jan-2010	1550
20-jan-2010	1563
24-jan-2010	1560
27-jan-2010	1541
31-jan-2010	1555
4-fev-2010	1545
7-fev-2010	1542
27-fev-2010	1553
3-mar-2010	1562
7-mar-2010	1555
13-mar-2010	1568
21-mar-2010	1556
24-mar-2010	1543
29-mar-2010	1535
4-abr-2010	1546
19-jan-2011	1545
22-jan-2011	1554
27-jan-2011	1573
30-jan-2011	1580
2-fev-2011	1567
6-fev-2011	1561
13-fev-2011	1572
3-mar-2011	1585
9-mar-2011	1565
12-mar-2011	1577
19-mar-2011	1600
26-mar-2011	1604
2-abr-2011	1591
9-abr-2011	1579
17-abr-2011	1591
22-jan-2012	1602
29-jan-2012	1598
1-fev-2012	1613
5-fev-2012	1610
8-fev-2012	1585
11-fev-2012	1594
18-fev-2012	1590
29-fev-2012	1604
4-mar-2012	1591
10-mar-2012	1573
18-mar-2012	1559
24-mar-2012	1541
31-mar-2012	1529
8-abr-2012	1525
15-abr-2012	1531
19-jan-2013	1522
24-jan-2013	1522
27-jan-2013	1512
30-jan-2013	1521
2-fev-2013	1530
7-fev-2013	1537
16-fev-2013	1545
24-fev-2013	1550
16-mar-2013	1539
23-mar-2013	1544
27-mar-2013	1553
30-mar-2013	1546
7-abr-2013	1546
13-abr-2013	1533
21-abr-2013	1544
18-jan-2014	1547
21-jan-2014	1556
26-jan-2014	1552
30-jan-2014	1560
2-fev-2014	1561
5-fev-2014	1550
9-fev-2014	1562
15-fev-2014	1551
20-fev-2014	1539
23-fev-2014	1518
26-fev-2014	1528
5-mar-2014	1527
9-mar-2014	1537
15-mar-2014	1551
23-mar-2014	1559
31-jan-2015	1549
5-fev-2015	1547
8-fev-2015	1535
12-fev-2015	1528
19-fev-2015	1521
22-fev-2015	1511
1-mar-2015	1512
7-mar-2015	1496
11-mar-2015	1494
14-mar-2015	1508
22-mar-2015	1483
26-mar-2015	1479
29-mar-2015	1464
4-abr-2015	1463
8-abr-2015	1463
30-jan-2016	1468
3-fev-2016	1488
10-fev-2016	1495
14-fev-2016	1508
21-fev-2016	1508
25-fev-2016	1507
28-fev-2016	1513
6-mar-2016	1508
13-mar-2016	1519
19-mar-2016	1514
27-mar-2016	1503
30-mar-2016	1514
2-abr-2016	1504
9-abr-2016	1495
17-abr-2016	1490
23-abr-2016	1473
