date	rating
7-abr-1929	1506
14-abr-1929	1512
21-abr-1929	1496
28-abr-1929	1493
5-mai-1929	1486
12-mai-1929	1479
26-mai-1929	1493
2-jun-1929	1489
9-jun-1929	1479
16-jun-1929	1477
21-jul-1929	1483
28-jul-1929	1493
4-ago-1929	1503
11-ago-1929	1511
18-ago-1929	1506
1-set-1929	1500
22-set-1929	1491
29-set-1929	1486
6-out-1929	1491
20-out-1929	1505
6-abr-1930	1495
13-abr-1930	1504
20-abr-1930	1503
27-abr-1930	1500
4-mai-1930	1507
11-mai-1930	1503
18-mai-1930	1493
25-mai-1930	1484
1-jun-1930	1477
8-jun-1930	1495
21-set-1930	1487
28-set-1930	1482
5-out-1930	1470
12-out-1930	1468
19-out-1930	1466
26-out-1930	1459
9-nov-1930	1453
16-nov-1930	1459
23-nov-1930	1455
30-nov-1930	1467
12-abr-1931	1461
26-abr-1931	1457
10-mai-1931	1455
17-mai-1931	1450
24-mai-1931	1447
31-mai-1931	1460
7-jun-1931	1475
16-set-1931	1501
20-set-1931	1517
27-set-1931	1514
4-out-1931	1508
18-out-1931	1513
25-out-1931	1511
8-nov-1931	1516
15-nov-1931	1528
22-nov-1931	1537
29-nov-1931	1551
6-dez-1931	1555
13-dez-1931	1575
20-dez-1931	1569
24-abr-1932	1579
1-mai-1932	1602
8-mai-1932	1589
15-mai-1932	1596
22-mai-1932	1591
29-mai-1932	1585
12-jun-1932	1572
19-jun-1932	1546
26-jun-1932	1551
3-jul-1932	1557
10-jul-1932	1559
24-jul-1932	1568
31-jul-1932	1573
7-ago-1932	1563
14-ago-1932	1575
21-ago-1932	1597
28-ago-1932	1601
11-set-1932	1592
18-set-1932	1573
25-set-1932	1576
2-out-1932	1572
9-out-1932	1561
3-out-1937	1574
10-out-1937	1566
12-out-1937	1585
17-out-1937	1582
23-out-1937	1569
31-out-1937	1568
3-nov-1937	1554
7-nov-1937	1538
14-nov-1937	1558
23-nov-1937	1551
27-nov-1937	1526
5-dez-1937	1528
12-dez-1937	1523
15-dez-1937	1507
22-dez-1937	1496
26-dez-1937	1489
2-jan-1938	1499
5-jan-1938	1508
12-jan-1938	1500
16-jan-1938	1494
19-jan-1938	1510
25-jan-1938	1499
27-ago-1938	1491
4-set-1938	1486
11-set-1938	1487
18-set-1938	1494
25-set-1938	1487
2-out-1938	1481
9-out-1938	1502
6-nov-1938	1517
20-nov-1938	1497
27-nov-1938	1504
4-dez-1938	1498
10-dez-1938	1492
18-dez-1938	1479
29-dez-1938	1476
1-jan-1939	1480
8-jan-1939	1473
2-abr-1939	1468
16-abr-1939	1493
23-abr-1939	1514
7-mai-1939	1521
14-mai-1939	1513
28-mai-1939	1506
4-jun-1939	1502
18-jun-1939	1497
25-jun-1939	1527
9-jul-1939	1521
16-jul-1939	1521
30-jul-1939	1515
6-ago-1939	1509
20-ago-1939	1500
27-ago-1939	1516
10-set-1939	1513
24-set-1939	1507
5-out-1939	1522
15-out-1939	1504
29-out-1939	1500
5-nov-1939	1505
11-nov-1939	1501
17-nov-1939	1487
28-nov-1939	1479
21-abr-1940	1474
5-mai-1940	1467
12-mai-1940	1452
26-mai-1940	1449
5-jun-1940	1454
16-jun-1940	1466
23-jun-1940	1463
7-jul-1940	1459
14-jul-1940	1456
21-jul-1940	1468
1-ago-1940	1462
11-ago-1940	1480
24-ago-1940	1484
1-set-1940	1478
22-set-1940	1475
29-set-1940	1471
5-out-1940	1479
13-out-1940	1479
30-out-1940	1504
3-nov-1940	1500
15-nov-1940	1492
23-nov-1940	1507
15-dez-1940	1503
22-dez-1940	1496
4-mai-1941	1487
11-mai-1941	1485
18-mai-1941	1479
25-mai-1941	1479
1-jun-1941	1469
8-jun-1941	1455
15-jun-1941	1481
21-jun-1941	1478
29-jun-1941	1475
6-jul-1941	1477
13-jul-1941	1474
20-jul-1941	1472
27-jul-1941	1458
3-ago-1941	1472
10-ago-1941	1455
17-ago-1941	1458
24-ago-1941	1455
31-ago-1941	1463
5-abr-1942	1461
12-abr-1942	1445
26-abr-1942	1441
3-mai-1942	1438
10-mai-1942	1442
17-mai-1942	1440
24-mai-1942	1430
31-mai-1942	1412
6-jun-1942	1397
14-jun-1942	1396
21-jun-1942	1382
28-jun-1942	1380
5-jul-1942	1398
12-jul-1942	1393
19-jul-1942	1392
26-jul-1942	1380
2-ago-1942	1382
9-ago-1942	1374
15-ago-1942	1373
22-ago-1942	1377
30-ago-1942	1375
6-set-1942	1393
13-set-1942	1385
20-set-1942	1384
27-set-1942	1390
4-out-1942	1375
11-out-1942	1368
13-jun-1943	1361
20-jun-1943	1351
30-jun-1943	1345
4-jul-1943	1332
11-jul-1943	1338
17-jul-1943	1336
25-jul-1943	1336
1-ago-1943	1331
8-ago-1943	1331
15-ago-1943	1327
21-ago-1943	1322
28-ago-1943	1318
5-set-1943	1323
12-set-1943	1320
18-set-1943	1317
26-set-1943	1316
2-out-1943	1313
10-out-1943	1311
2-jul-1944	1308
9-jul-1944	1305
16-jul-1944	1299
23-jul-1944	1296
30-jul-1944	1295
6-ago-1944	1292
15-ago-1944	1291
20-ago-1944	1286
27-ago-1944	1278
3-set-1944	1276
9-set-1944	1294
17-set-1944	1301
23-set-1944	1299
1-out-1944	1298
8-out-1944	1295
15-out-1944	1293
22-out-1944	1300
29-out-1944	1315
8-jul-1945	1312
15-jul-1945	1311
29-jul-1945	1305
5-ago-1945	1301
12-ago-1945	1300
19-ago-1945	1299
2-set-1945	1290
9-set-1945	1289
16-set-1945	1284
23-set-1945	1304
29-set-1945	1302
7-out-1945	1298
13-out-1945	1297
21-out-1945	1295
28-out-1945	1318
4-nov-1945	1334
11-nov-1945	1327
18-nov-1945	1321
7-jul-1946	1319
14-jul-1946	1318
20-jul-1946	1316
28-jul-1946	1308
4-ago-1946	1303
11-ago-1946	1295
18-ago-1946	1305
24-ago-1946	1303
1-set-1946	1300
8-set-1946	1298
14-set-1946	1295
22-set-1946	1293
29-set-1946	1286
6-out-1946	1284
13-out-1946	1316
19-out-1946	1315
2-nov-1946	1313
10-nov-1946	1309
3-ago-1947	1308
9-ago-1947	1307
17-ago-1947	1305
23-ago-1947	1304
30-ago-1947	1295
6-set-1947	1294
14-set-1947	1309
28-set-1947	1311
5-out-1947	1306
12-out-1947	1301
19-out-1947	1310
26-out-1947	1309
1-nov-1947	1308
9-nov-1947	1307
16-nov-1947	1299
23-nov-1947	1296
30-nov-1947	1283
14-dez-1947	1274
21-dez-1947	1267
28-dez-1947	1260
11-jul-1948	1259
18-jul-1948	1254
25-jul-1948	1281
1-ago-1948	1277
7-ago-1948	1276
15-ago-1948	1275
29-ago-1948	1299
5-set-1948	1290
18-set-1948	1289
25-set-1948	1324
3-out-1948	1322
10-out-1948	1318
17-out-1948	1332
24-out-1948	1347
1-nov-1948	1346
7-nov-1948	1345
21-nov-1948	1335
28-nov-1948	1324
4-dez-1948	1323
11-dez-1948	1331
10-jul-1949	1330
17-jul-1949	1329
24-jul-1949	1343
31-jul-1949	1341
7-ago-1949	1340
20-ago-1949	1331
28-ago-1949	1335
4-set-1949	1322
11-set-1949	1339
18-set-1949	1346
2-out-1949	1345
9-out-1949	1344
16-out-1949	1347
23-out-1949	1346
