date	rating
13-mai-1906	1477
27-mai-1906	1488
3-jun-1906	1469
1-jul-1906	1487
8-jul-1906	1505
15-jul-1906	1494
19-ago-1906	1479
23-set-1906	1492
30-set-1906	1477
7-out-1906	1460
10-mai-1908	1472
31-mai-1908	1492
14-jun-1908	1496
28-jun-1908	1482
9-ago-1908	1498
30-ago-1908	1489
1-set-1908	1495
13-set-1908	1506
20-set-1908	1526
27-set-1908	1533
9-mai-1909	1537
23-mai-1909	1552
30-mai-1909	1585
13-jun-1909	1595
11-jul-1909	1616
22-ago-1909	1609
5-set-1909	1618
12-set-1909	1622
26-set-1909	1622
10-out-1909	1627
22-mai-1910	1608
5-jun-1910	1620
26-jun-1910	1641
3-jul-1910	1651
10-jul-1910	1663
7-ago-1910	1673
4-set-1910	1686
11-set-1910	1698
25-set-1910	1722
2-out-1910	1728
14-mai-1911	1735
4-jun-1911	1741
25-jun-1911	1738
13-mai-1913	1742
18-mai-1913	1716
25-mai-1913	1726
1-jun-1913	1734
22-jun-1913	1739
6-jul-1913	1753
27-jul-1913	1723
3-ago-1913	1729
31-ago-1913	1747
28-set-1913	1741
12-out-1913	1748
16-out-1913	1743
26-out-1913	1752
1-nov-1913	1731
23-nov-1913	1738
24-mai-1914	1743
31-mai-1914	1732
21-jun-1914	1741
5-jul-1914	1739
14-jul-1914	1744
16-ago-1914	1750
6-set-1914	1756
13-set-1914	1749
12-out-1914	1757
1-nov-1914	1740
8-nov-1914	1739
22-nov-1914	1743
9-mai-1915	1748
13-mai-1915	1758
30-mai-1915	1747
4-jul-1915	1745
18-jul-1915	1750
25-jul-1915	1754
15-ago-1915	1759
29-ago-1915	1740
19-set-1915	1740
12-out-1915	1722
17-out-1915	1696
31-out-1915	1667
14-mai-1916	1672
28-mai-1916	1664
25-jun-1916	1646
6-ago-1916	1655
27-ago-1916	1640
3-set-1916	1643
10-set-1916	1649
20-set-1916	1641
22-out-1916	1652
29-out-1916	1655
12-nov-1916	1661
26-nov-1916	1661
27-mai-1917	1672
3-jun-1917	1678
10-jun-1917	1664
29-jun-1917	1645
8-jul-1917	1651
15-jul-1917	1660
22-jul-1917	1646
15-ago-1917	1634
2-set-1917	1644
7-set-1917	1618
16-set-1917	1612
20-set-1917	1621
14-out-1917	1626
4-nov-1917	1639
18-nov-1917	1651
25-nov-1917	1672
9-dez-1917	1648
30-dez-1917	1653
28-abr-1918	1642
3-mai-1918	1668
13-mai-1918	1660
