date	rating
29-ago-1976	1515
1-set-1976	1519
7-set-1976	1534
12-set-1976	1532
19-set-1976	1542
22-set-1976	1535
29-set-1976	1532
30-set-1976	1523
10-out-1976	1538
17-out-1976	1521
20-out-1976	1532
24-out-1976	1529
16-out-1977	1543
19-out-1977	1534
23-out-1977	1538
30-out-1977	1523
6-nov-1977	1519
12-nov-1977	1496
17-nov-1977	1490
20-nov-1977	1475
23-nov-1977	1465
7-dez-1977	1451
11-dez-1977	1437
14-dez-1977	1417
18-dez-1977	1443
26-mar-1978	1430
29-mar-1978	1416
2-abr-1978	1419
6-abr-1978	1416
16-abr-1978	1421
20-abr-1978	1416
23-abr-1978	1431
26-abr-1978	1420
1-mai-1978	1446
4-mai-1978	1469
7-mai-1978	1465
9-mai-1978	1438
21-mai-1978	1458
4-jun-1978	1458
8-jun-1978	1475
13-jun-1978	1489
17-jun-1978	1501
22-jun-1978	1502
2-jul-1978	1495
5-jul-1978	1508
9-jul-1978	1526
13-jul-1978	1519
16-jul-1978	1513
19-jul-1978	1506
23-jul-1978	1510
25-set-1979	1510
30-set-1979	1528
6-out-1979	1510
10-out-1979	1525
17-out-1979	1502
20-out-1979	1476
24-out-1979	1493
28-out-1979	1502
4-nov-1979	1523
8-nov-1979	1509
11-nov-1979	1498
15-nov-1979	1518
18-nov-1979	1512
21-nov-1979	1526
25-nov-1979	1513
28-nov-1979	1512
24-fev-1980	1499
27-fev-1980	1509
1-mar-1980	1523
6-mar-1980	1545
13-mar-1980	1567
16-mar-1980	1551
23-mar-1980	1535
27-mar-1980	1551
30-mar-1980	1550
5-abr-1980	1539
13-abr-1980	1529
17-abr-1980	1536
20-abr-1980	1544
27-abr-1980	1546
3-mai-1980	1535
27-jan-1985	1541
30-jan-1985	1549
3-fev-1985	1549
7-fev-1985	1545
10-fev-1985	1550
13-fev-1985	1558
24-fev-1985	1559
27-fev-1985	1558
3-mar-1985	1529
6-mar-1985	1545
10-mar-1985	1540
17-mar-1985	1547
20-mar-1985	1542
24-mar-1985	1553
27-mar-1985	1549
31-mar-1985	1568
3-abr-1985	1561
7-abr-1985	1551
10-abr-1985	1527
14-abr-1985	1525
17-abr-1985	1512
21-abr-1985	1499
31-ago-1986	1489
2-set-1986	1473
7-set-1986	1478
14-set-1986	1496
18-set-1986	1488
22-set-1986	1470
24-set-1986	1464
27-set-1986	1460
1-out-1986	1478
8-out-1986	1496
