date	rating
31-jul-1966	1488
7-ago-1966	1481
14-ago-1966	1504
21-ago-1966	1500
3-set-1966	1491
7-set-1966	1486
10-set-1966	1481
18-set-1966	1500
21-set-1966	1489
25-set-1966	1509
28-set-1966	1523
2-out-1966	1540
5-out-1966	1532
9-out-1966	1523
13-out-1966	1513
19-out-1966	1503
23-out-1966	1498
30-out-1966	1501
6-nov-1966	1497
13-nov-1966	1495
16-nov-1966	1486
19-nov-1966	1468
27-nov-1966	1462
4-dez-1966	1475
7-dez-1966	1494
11-dez-1966	1479
14-dez-1966	1469
17-dez-1966	1455
19-fev-1989	1447
26-fev-1989	1461
1-mar-1989	1472
5-mar-1989	1473
12-mar-1989	1475
22-mar-1989	1486
26-mar-1989	1481
29-mar-1989	1472
2-abr-1989	1485
5-abr-1989	1487
9-abr-1989	1499
16-abr-1989	1514
20-abr-1989	1507
23-abr-1989	1518
27-abr-1989	1529
30-abr-1989	1535
4-mai-1989	1551
14-mai-1989	1544
17-mai-1989	1536
25-mai-1989	1542
28-mai-1989	1550
1-jun-1989	1560
7-jun-1989	1553
10-jun-1989	1580
14-jun-1989	1589
21-jun-1989	1580
24-jun-1989	1574
31-jan-1990	1583
4-fev-1990	1572
7-fev-1990	1580
11-fev-1990	1594
18-fev-1990	1603
21-fev-1990	1600
4-mar-1990	1609
7-mar-1990	1627
11-mar-1990	1641
14-mar-1990	1627
18-mar-1990	1613
21-mar-1990	1601
25-mar-1990	1605
1-abr-1990	1615
8-abr-1990	1614
15-abr-1990	1626
18-abr-1990	1642
21-abr-1990	1644
25-abr-1990	1634
29-abr-1990	1634
2-mai-1990	1622
6-mai-1990	1631
12-mai-1990	1635
27-jun-1990	1644
5-jul-1990	1659
11-jul-1990	1662
14-jul-1990	1671
18-jul-1990	1683
22-jul-1990	1693
28-jul-1990	1681
1-ago-1990	1688
5-ago-1990	1684
8-ago-1990	1681
12-ago-1990	1689
16-ago-1990	1691
22-ago-1990	1690
26-ago-1990	1689
2-set-1990	1677
5-set-1990	1691
9-set-1990	1701
16-set-1990	1715
19-set-1990	1699
23-set-1990	1707
26-set-1990	1707
30-set-1990	1706
4-out-1990	1693
7-out-1990	1721
10-out-1990	1723
14-out-1990	1720
20-out-1990	1724
24-out-1990	1721
28-out-1990	1720
4-nov-1990	1720
10-nov-1990	1696
14-nov-1990	1710
18-nov-1990	1724
3-fev-1991	1725
6-fev-1991	1744
16-fev-1991	1742
23-fev-1991	1740
3-mar-1991	1739
6-mar-1991	1759
11-mar-1991	1781
17-mar-1991	1778
24-mar-1991	1759
31-mar-1991	1747
4-abr-1991	1748
7-abr-1991	1755
14-abr-1991	1768
21-abr-1991	1780
28-abr-1991	1775
1-mai-1991	1776
5-mai-1991	1795
12-mai-1991	1804
19-mai-1991	1812
25-jul-1991	1808
28-jul-1991	1803
31-jul-1991	1783
4-ago-1991	1767
8-ago-1991	1765
11-ago-1991	1777
14-ago-1991	1776
18-ago-1991	1772
21-ago-1991	1757
24-ago-1991	1756
1-set-1991	1762
4-set-1991	1747
8-set-1991	1742
14-set-1991	1752
18-set-1991	1739
22-set-1991	1745
29-set-1991	1752
6-out-1991	1760
9-out-1991	1741
12-out-1991	1750
16-out-1991	1756
19-out-1991	1769
24-out-1991	1767
27-out-1991	1762
31-out-1991	1748
3-nov-1991	1753
27-jan-1992	1764
2-fev-1992	1766
9-fev-1992	1760
16-fev-1992	1733
19-fev-1992	1746
23-fev-1992	1755
7-mar-1992	1767
11-mar-1992	1762
14-mar-1992	1776
22-mar-1992	1787
29-mar-1992	1792
5-abr-1992	1765
13-abr-1992	1780
19-abr-1992	1766
25-abr-1992	1768
4-mai-1992	1768
10-mai-1992	1745
24-mai-1992	1768
31-mai-1992	1764
7-jun-1992	1777
13-jun-1992	1762
21-jun-1992	1764
27-jun-1992	1778
5-jul-1992	1778
9-jul-1992	1787
12-jul-1992	1776
19-jul-1992	1782
26-jul-1992	1776
2-ago-1992	1776
5-ago-1992	1772
9-ago-1992	1780
16-ago-1992	1789
22-ago-1992	1768
30-ago-1992	1773
2-set-1992	1777
6-set-1992	1761
9-set-1992	1760
13-set-1992	1741
20-set-1992	1746
23-set-1992	1731
27-set-1992	1719
30-set-1992	1718
4-out-1992	1709
8-out-1992	1714
11-out-1992	1702
14-out-1992	1711
18-out-1992	1724
21-out-1992	1730
24-out-1992	1715
28-out-1992	1707
1-nov-1992	1705
24-jan-1993	1716
27-jan-1993	1727
31-jan-1993	1706
3-fev-1993	1714
6-fev-1993	1729
10-fev-1993	1738
14-fev-1993	1724
21-fev-1993	1720
28-fev-1993	1710
3-mar-1993	1707
6-mar-1993	1716
9-mar-1993	1729
10-mar-1993	1716
14-mar-1993	1702
17-mar-1993	1711
21-mar-1993	1709
24-mar-1993	1698
28-mar-1993	1679
31-mar-1993	1676
4-abr-1993	1676
7-abr-1993	1676
10-abr-1993	1688
14-abr-1993	1685
18-abr-1993	1669
21-abr-1993	1671
25-abr-1993	1662
28-abr-1993	1668
1-mai-1993	1663
5-mai-1993	1641
9-mai-1993	1651
6-set-1993	1653
12-set-1993	1658
20-set-1993	1658
25-set-1993	1664
3-out-1993	1649
6-out-1993	1662
10-out-1993	1668
12-out-1993	1668
16-out-1993	1701
23-out-1993	1705
28-out-1993	1702
31-out-1993	1688
7-nov-1993	1682
14-nov-1993	1679
22-jan-1994	1672
26-jan-1994	1663
29-jan-1994	1669
2-fev-1994	1667
6-fev-1994	1676
9-fev-1994	1688
12-fev-1994	1691
16-fev-1994	1706
20-fev-1994	1704
23-fev-1994	1682
27-fev-1994	1672
2-mar-1994	1687
6-mar-1994	1684
10-mar-1994	1689
13-mar-1994	1687
20-mar-1994	1688
24-mar-1994	1686
27-mar-1994	1685
30-mar-1994	1674
6-abr-1994	1661
10-abr-1994	1678
12-abr-1994	1668
17-abr-1994	1648
21-abr-1994	1637
24-abr-1994	1626
28-abr-1994	1619
30-abr-1994	1620
6-mai-1994	1636
8-mai-1994	1646
15-mai-1994	1655
14-ago-1994	1657
17-ago-1994	1648
21-ago-1994	1635
24-ago-1994	1629
28-ago-1994	1629
31-ago-1994	1617
7-set-1994	1630
11-set-1994	1617
18-set-1994	1610
25-set-1994	1601
6-out-1994	1618
9-out-1994	1632
16-out-1994	1631
19-out-1994	1654
23-out-1994	1640
26-out-1994	1616
30-out-1994	1629
2-nov-1994	1648
6-nov-1994	1647
10-nov-1994	1660
13-nov-1994	1660
16-nov-1994	1659
20-nov-1994	1667
27-nov-1994	1666
29-jan-1995	1655
4-fev-1995	1670
8-fev-1995	1655
12-fev-1995	1638
19-fev-1995	1639
23-fev-1995	1634
5-mar-1995	1634
8-mar-1995	1624
12-mar-1995	1634
19-mar-1995	1637
22-mar-1995	1624
25-mar-1995	1628
1-abr-1995	1620
5-abr-1995	1627
9-abr-1995	1645
15-abr-1995	1626
19-abr-1995	1631
23-abr-1995	1648
26-abr-1995	1648
30-abr-1995	1656
6-mai-1995	1649
10-mai-1995	1645
13-mai-1995	1638
17-mai-1995	1643
21-mai-1995	1636
24-mai-1995	1635
28-mai-1995	1635
4-jun-1995	1635
7-jun-1995	1646
11-jun-1995	1634
23-ago-1995	1624
27-ago-1995	1617
30-ago-1995	1635
3-set-1995	1648
6-set-1995	1663
