date	rating
26-Mar-1978	1489
30-Mar-1978	1475
6-Apr-1978	1468
16-Apr-1978	1460
19-Apr-1978	1455
23-Apr-1978	1477
27-Apr-1978	1457
30-Apr-1978	1443
3-May-1978	1446
7-May-1978	1450
11-May-1978	1433
14-May-1978	1422
28-May-1978	1415
31-May-1978	1438
4-Jun-1978	1420
10-Jun-1978	1403
20-Jun-1978	1407
24-Jun-1978	1392
23-Sep-1979	1396
26-Sep-1979	1399
30-Sep-1979	1405
10-Oct-1979	1413
14-Oct-1979	1443
17-Oct-1979	1466
21-Oct-1979	1466
28-Oct-1979	1467
4-Nov-1979	1465
7-Nov-1979	1458
11-Nov-1979	1448
15-Nov-1979	1451
18-Nov-1979	1457
21-Nov-1979	1478
25-Nov-1979	1459
28-Nov-1979	1484
1-Feb-1984	1501
5-Feb-1984	1507
8-Feb-1984	1492
12-Feb-1984	1497
15-Feb-1984	1514
22-Feb-1984	1494
26-Feb-1984	1501
29-Feb-1984	1504
10-Mar-1984	1498
14-Mar-1984	1517
18-Mar-1984	1509
21-Mar-1984	1529
24-Mar-1984	1535
1-Apr-1984	1521
27-Jan-1985	1522
30-Jan-1985	1533
3-Feb-1985	1548
6-Feb-1985	1535
10-Feb-1985	1549
13-Feb-1985	1575
24-Feb-1985	1573
27-Feb-1985	1565
3-Mar-1985	1538
6-Mar-1985	1536
10-Mar-1985	1519
17-Mar-1985	1531
20-Mar-1985	1540
24-Mar-1985	1538
27-Mar-1985	1557
31-Mar-1985	1559
3-Apr-1985	1565
7-Apr-1985	1577
10-Apr-1985	1565
14-Apr-1985	1585
17-Apr-1985	1583
21-Apr-1985	1596
3-Jul-1985	1613
7-Jul-1985	1614
10-Jul-1985	1608
14-Jul-1985	1632
18-Jul-1985	1659
21-Jul-1985	1673
24-Jul-1985	1664
28-Jul-1985	1652
