date	rating
16-mar-1930	1517
23-mar-1930	1488
30-mar-1930	1484
6-abr-1930	1496
13-abr-1930	1489
20-abr-1930	1471
4-mai-1930	1474
11-mai-1930	1462
18-mai-1930	1452
25-mai-1930	1459
8-jun-1930	1469
15-jun-1930	1456
17-ago-1930	1450
24-ago-1930	1462
31-ago-1930	1451
14-set-1930	1450
21-set-1930	1428
28-set-1930	1448
5-out-1930	1442
12-out-1930	1426
19-out-1930	1434
23-nov-1930	1429
30-nov-1930	1419
7-dez-1930	1413
14-dez-1930	1407
28-dez-1930	1403
29-mar-1931	1411
5-abr-1931	1421
12-abr-1931	1408
1-mai-1931	1404
17-mai-1931	1386
24-mai-1931	1383
31-mai-1931	1375
7-jun-1931	1363
14-jun-1931	1378
21-jun-1931	1372
28-jun-1931	1367
27-set-1931	1375
4-out-1931	1365
18-out-1931	1357
25-out-1931	1349
1-nov-1931	1341
8-nov-1931	1337
15-nov-1931	1330
22-nov-1931	1309
29-nov-1931	1312
6-dez-1931	1303
13-dez-1931	1300
20-dez-1931	1309
27-dez-1931	1306
3-jan-1932	1319
10-jan-1932	1317
