date	rating
25-Aug-1973	1507
29-Aug-1973	1500
1-Sep-1973	1513
5-Sep-1973	1541
9-Sep-1973	1525
12-Sep-1973	1526
15-Sep-1973	1510
22-Sep-1973	1507
26-Sep-1973	1515
29-Sep-1973	1503
3-Oct-1973	1520
6-Oct-1973	1513
13-Oct-1973	1498
17-Oct-1973	1493
20-Oct-1973	1483
27-Oct-1973	1474
31-Oct-1973	1494
3-Nov-1973	1504
7-Nov-1973	1492
11-Nov-1973	1481
14-Nov-1973	1460
17-Nov-1973	1443
25-Nov-1973	1458
28-Nov-1973	1443
1-Dec-1973	1461
8-Dec-1973	1472
12-Dec-1973	1475
15-Dec-1973	1478
10-Mar-1974	1472
13-Mar-1974	1488
17-Mar-1974	1492
20-Mar-1974	1485
23-Mar-1974	1499
30-Mar-1974	1502
6-Apr-1974	1491
10-Apr-1974	1479
13-Apr-1974	1465
17-Apr-1974	1487
27-Apr-1974	1482
4-May-1974	1485
8-May-1974	1487
18-May-1974	1495
22-May-1974	1484
29-May-1974	1493
2-Jun-1974	1479
8-Jun-1974	1465
12-Jun-1974	1455
24-Aug-1975	1444
28-Aug-1975	1433
31-Aug-1975	1442
3-Sep-1975	1451
10-Sep-1975	1464
13-Sep-1975	1483
17-Sep-1975	1478
21-Sep-1975	1474
24-Sep-1975	1489
1-Oct-1975	1491
4-Oct-1975	1495
25-Oct-1975	1511
29-Oct-1975	1508
1-Nov-1975	1485
5-Nov-1975	1477
9-Nov-1975	1465
