date	rating
10-set-1972	1500
13-set-1972	1492
17-set-1972	1481
20-set-1972	1481
24-set-1972	1486
27-set-1972	1480
1-out-1972	1472
4-out-1972	1467
8-out-1972	1487
11-out-1972	1494
14-out-1972	1481
18-out-1972	1485
22-out-1972	1474
25-out-1972	1464
29-out-1972	1470
1-nov-1972	1474
5-nov-1972	1467
8-nov-1972	1458
12-nov-1972	1462
16-nov-1972	1438
19-nov-1972	1442
22-nov-1972	1434
26-nov-1972	1436
29-nov-1972	1444
3-dez-1972	1435
25-ago-1973	1426
29-ago-1973	1423
2-set-1973	1415
5-set-1973	1419
9-set-1973	1415
12-set-1973	1412
15-set-1973	1428
23-set-1973	1442
26-set-1973	1447
30-set-1973	1438
3-out-1973	1418
7-out-1973	1406
14-out-1973	1412
17-out-1973	1408
21-out-1973	1399
24-out-1973	1393
27-out-1973	1412
31-out-1973	1407
4-nov-1973	1409
11-nov-1973	1393
14-nov-1973	1400
18-nov-1973	1389
25-nov-1973	1403
28-nov-1973	1409
1-dez-1973	1413
8-dez-1973	1401
12-dez-1973	1420
16-dez-1973	1446
29-ago-1976	1467
7-set-1976	1478
12-set-1976	1480
15-set-1976	1468
18-set-1976	1461
22-set-1976	1442
26-set-1976	1432
29-set-1976	1427
13-out-1976	1428
17-out-1976	1440
20-out-1976	1459
24-out-1976	1461
30-out-1976	1456
3-nov-1976	1453
7-nov-1976	1446
10-nov-1976	1442
14-nov-1976	1474
17-nov-1976	1481
21-nov-1976	1476
24-nov-1976	1463
20-out-1977	1454
27-out-1977	1446
30-out-1977	1461
2-nov-1977	1451
6-nov-1977	1451
13-nov-1977	1469
20-nov-1977	1492
23-nov-1977	1485
26-nov-1977	1476
4-dez-1977	1466
7-dez-1977	1464
14-dez-1977	1484
18-dez-1977	1475
26-mar-1978	1469
29-mar-1978	1488
2-abr-1978	1489
6-abr-1978	1483
9-abr-1978	1501
12-abr-1978	1506
16-abr-1978	1521
26-abr-1978	1542
7-mai-1978	1548
10-mai-1978	1544
14-mai-1978	1538
21-mai-1978	1535
24-mai-1978	1545
28-mai-1978	1553
13-jun-1978	1559
17-jun-1978	1543
25-set-1979	1523
30-set-1979	1500
3-out-1979	1499
6-out-1979	1512
14-out-1979	1498
17-out-1979	1510
21-out-1979	1511
28-out-1979	1532
3-nov-1979	1530
24-fev-1980	1510
27-fev-1980	1531
1-mar-1980	1521
5-mar-1980	1514
9-mar-1980	1503
16-mar-1980	1528
20-mar-1980	1535
23-mar-1980	1530
30-mar-1980	1520
18-jan-1981	1518
21-jan-1981	1506
25-jan-1981	1482
28-jan-1981	1511
31-jan-1981	1508
4-fev-1981	1502
7-fev-1981	1486
14-fev-1981	1483
21-fev-1981	1496
1-fev-1984	1502
5-fev-1984	1520
9-fev-1984	1512
12-fev-1984	1521
15-fev-1984	1526
22-fev-1984	1522
26-fev-1984	1506
29-fev-1984	1511
11-mar-1984	1530
14-mar-1984	1538
18-mar-1984	1523
21-mar-1984	1515
25-mar-1984	1515
30-mar-1984	1500
