date	rating
10-mar-1974	1487
17-mar-1974	1471
20-mar-1974	1457
23-mar-1974	1447
27-mar-1974	1433
30-mar-1974	1439
6-abr-1974	1433
13-abr-1974	1447
21-abr-1974	1457
27-abr-1974	1448
4-mai-1974	1442
15-mai-1974	1438
18-mai-1974	1423
22-mai-1974	1420
29-mai-1974	1413
2-jun-1974	1403
5-jun-1974	1396
8-jun-1974	1384
13-jun-1974	1378
20-ago-1975	1401
24-ago-1975	1425
27-ago-1975	1440
3-set-1975	1442
6-set-1975	1434
11-set-1975	1428
14-set-1975	1442
21-set-1975	1450
24-set-1975	1444
1-out-1975	1454
5-out-1975	1444
26-out-1975	1435
29-out-1975	1437
2-nov-1975	1425
5-nov-1975	1413
9-nov-1975	1402
29-ago-1976	1406
1-set-1976	1417
4-set-1976	1406
7-set-1976	1396
19-set-1976	1403
22-set-1976	1424
26-set-1976	1436
29-set-1976	1440
10-out-1976	1426
13-out-1976	1413
17-out-1976	1401
24-out-1976	1402
16-out-1977	1408
19-out-1977	1404
23-out-1977	1414
30-out-1977	1441
6-nov-1977	1442
12-nov-1977	1465
16-nov-1977	1459
23-nov-1977	1469
26-nov-1977	1453
7-dez-1977	1450
11-dez-1977	1457
14-dez-1977	1451
18-dez-1977	1442
30-mar-1978	1437
2-abr-1978	1437
6-abr-1978	1429
9-abr-1978	1422
16-abr-1978	1408
20-abr-1978	1396
23-abr-1978	1406
30-abr-1978	1403
4-mai-1978	1424
7-mai-1978	1434
11-mai-1978	1455
21-mai-1978	1458
24-mai-1978	1456
28-mai-1978	1438
31-mai-1978	1457
17-jun-1978	1467
25-set-1979	1468
3-out-1979	1457
6-out-1979	1470
10-out-1979	1483
14-out-1979	1497
18-out-1979	1498
21-out-1979	1519
27-out-1979	1505
4-nov-1979	1526
7-nov-1979	1539
11-nov-1979	1526
15-nov-1979	1528
18-nov-1979	1540
21-nov-1979	1519
25-nov-1979	1540
28-nov-1979	1528
18-jan-1981	1522
21-jan-1981	1513
25-jan-1981	1521
29-jan-1981	1533
1-fev-1981	1540
4-fev-1981	1516
7-fev-1981	1515
14-fev-1981	1525
26-fev-1981	1516
7-mar-1981	1525
12-mar-1981	1550
15-mar-1981	1533
19-mar-1981	1542
26-mar-1981	1559
4-abr-1981	1575
17-jan-1982	1565
24-jan-1982	1574
28-jan-1982	1558
31-jan-1982	1559
4-fev-1982	1553
7-fev-1982	1556
10-fev-1982	1557
14-fev-1982	1544
23-jan-1983	1563
26-jan-1983	1578
2-fev-1983	1574
5-fev-1983	1566
19-fev-1983	1562
23-fev-1983	1552
27-fev-1983	1548
6-mar-1983	1533
28-jan-1985	1518
31-jan-1985	1533
3-fev-1985	1515
6-fev-1985	1510
10-fev-1985	1519
13-fev-1985	1521
24-fev-1985	1532
27-fev-1985	1533
3-mar-1985	1523
6-mar-1985	1534
9-mar-1985	1551
17-mar-1985	1536
20-mar-1985	1521
24-mar-1985	1529
27-mar-1985	1538
31-mar-1985	1532
3-abr-1985	1557
7-abr-1985	1553
10-abr-1985	1576
14-abr-1985	1566
17-abr-1985	1564
21-abr-1985	1578
3-jul-1985	1581
7-jul-1985	1584
10-jul-1985	1575
14-jul-1985	1562
17-jul-1985	1569
21-jul-1985	1550
31-ago-1986	1546
4-set-1986	1545
7-set-1986	1537
10-set-1986	1568
17-set-1986	1550
21-set-1986	1560
24-set-1986	1563
27-set-1986	1564
2-out-1986	1550
5-out-1986	1568
16-out-1986	1557
22-out-1986	1561
26-out-1986	1564
29-out-1986	1568
2-nov-1986	1555
5-nov-1986	1557
9-nov-1986	1575
19-nov-1986	1574
23-nov-1986	1577
26-nov-1986	1596
3-dez-1986	1614
7-dez-1986	1596
10-dez-1986	1611
14-dez-1986	1601
25-jan-1987	1592
28-jan-1987	1579
13-set-1987	1569
19-set-1987	1581
23-set-1987	1562
27-set-1987	1565
30-set-1987	1553
4-out-1987	1567
7-out-1987	1552
18-out-1987	1536
21-out-1987	1539
25-out-1987	1540
1-nov-1987	1545
8-nov-1987	1532
11-nov-1987	1525
20-nov-1987	1507
