date	rating
25-fev-1987	1496
8-mar-1987	1496
15-mar-1987	1497
18-mar-1987	1489
22-mar-1987	1507
25-mar-1987	1519
28-mar-1987	1510
1-abr-1987	1498
8-abr-1987	1488
12-abr-1987	1484
15-abr-1987	1478
18-abr-1987	1467
21-abr-1987	1471
26-abr-1987	1471
29-abr-1987	1463
3-mai-1987	1470
6-mai-1987	1476
10-mai-1987	1466
14-mai-1987	1453
17-mai-1987	1463
20-mai-1987	1463
28-mai-1987	1466
31-mai-1987	1486
7-jun-1987	1481
14-jun-1987	1491
18-jun-1987	1487
31-jan-1988	1478
6-fev-1988	1474
21-fev-1988	1475
24-fev-1988	1490
28-fev-1988	1481
2-mar-1988	1478
5-mar-1988	1472
13-mar-1988	1466
20-mar-1988	1465
23-mar-1988	1459
27-mar-1988	1479
2-abr-1988	1475
9-abr-1988	1491
14-abr-1988	1477
17-abr-1988	1464
20-abr-1988	1454
24-abr-1988	1452
1-mai-1988	1435
8-mai-1988	1451
15-mai-1988	1458
22-mai-1988	1459
28-mai-1988	1464
12-fev-1989	1468
19-fev-1989	1465
26-fev-1989	1454
5-mar-1989	1461
12-mar-1989	1483
19-mar-1989	1473
22-mar-1989	1468
26-mar-1989	1461
2-abr-1989	1472
16-abr-1989	1472
22-abr-1989	1473
29-abr-1989	1470
3-mai-1989	1473
7-mai-1989	1490
14-mai-1989	1480
17-mai-1989	1475
21-mai-1989	1475
27-mai-1989	1469
31-mai-1989	1477
4-jun-1989	1468
7-jun-1989	1469
11-jun-1989	1469
27-jan-1990	1461
31-jan-1990	1452
3-fev-1990	1443
7-fev-1990	1450
11-fev-1990	1446
14-fev-1990	1444
18-fev-1990	1438
21-fev-1990	1429
4-mar-1990	1430
7-mar-1990	1440
10-mar-1990	1454
18-mar-1990	1448
21-mar-1990	1467
25-mar-1990	1480
28-mar-1990	1476
31-mar-1990	1483
8-abr-1990	1483
11-abr-1990	1479
15-abr-1990	1479
20-abr-1990	1472
22-abr-1990	1470
28-abr-1990	1463
12-mar-2000	1468
20-mar-2000	1468
22-mar-2000	1454
26-mar-2000	1455
29-mar-2000	1455
2-abr-2000	1443
9-abr-2000	1450
12-abr-2000	1435
16-abr-2000	1418
19-abr-2000	1415
22-abr-2000	1409
21-jan-2001	1421
26-jan-2001	1413
4-fev-2001	1408
11-fev-2001	1397
17-fev-2001	1393
11-mar-2001	1389
18-mar-2001	1381
25-mar-2001	1383
28-mar-2001	1379
2-abr-2001	1367
8-abr-2001	1360
15-abr-2001	1371
22-abr-2001	1384
28-abr-2001	1381
6-mai-2001	1384
12-mai-2001	1390
19-jan-2003	1392
25-jan-2003	1396
29-jan-2003	1397
1-fev-2003	1394
8-fev-2003	1412
12-fev-2003	1415
15-fev-2003	1409
19-fev-2003	1423
23-fev-2003	1417
26-fev-2003	1411
1-mar-2003	1406
25-jan-2004	1401
29-jan-2004	1394
31-jan-2004	1412
7-fev-2004	1403
11-fev-2004	1396
29-fev-2004	1400
4-mar-2004	1393
7-mar-2004	1399
11-mar-2004	1422
14-mar-2004	1420
21-mar-2004	1420
23-jan-2005	1416
26-jan-2005	1428
29-jan-2005	1444
2-fev-2005	1460
5-fev-2005	1449
13-fev-2005	1437
23-fev-2005	1426
27-fev-2005	1407
6-mar-2005	1423
12-mar-2005	1413
20-mar-2005	1424
23-mar-2005	1430
14-jan-2006	1426
19-jan-2006	1442
22-jan-2006	1434
28-jan-2006	1442
1-fev-2006	1458
6-fev-2006	1459
19-fev-2006	1449
1-mar-2006	1454
5-mar-2006	1477
12-mar-2006	1477
15-mar-2006	1500
19-mar-2006	1499
26-mar-2006	1498
25-jan-2007	1490
31-jan-2007	1485
3-fev-2007	1474
10-fev-2007	1475
15-fev-2007	1468
11-mar-2007	1458
17-mar-2007	1475
25-mar-2007	1495
28-mar-2007	1486
31-mar-2007	1503
8-abr-2007	1519
12-abr-2007	1521
15-abr-2007	1526
22-abr-2007	1518
19-jan-2008	1531
24-jan-2008	1542
27-jan-2008	1527
30-jan-2008	1513
2-fev-2008	1529
6-fev-2008	1534
10-fev-2008	1524
1-mar-2008	1518
8-mar-2008	1515
12-mar-2008	1530
16-mar-2008	1518
22-mar-2008	1513
26-mar-2008	1523
30-mar-2008	1520
5-abr-2008	1537
20-jan-2011	1518
23-jan-2011	1510
26-jan-2011	1493
30-jan-2011	1489
2-fev-2011	1479
5-fev-2011	1481
13-fev-2011	1496
3-mar-2011	1480
9-mar-2011	1490
12-mar-2011	1478
20-mar-2011	1484
27-mar-2011	1474
2-abr-2011	1462
9-abr-2011	1458
17-abr-2011	1449
19-jan-2014	1459
23-jan-2014	1459
26-jan-2014	1476
30-jan-2014	1468
2-fev-2014	1478
5-fev-2014	1488
8-fev-2014	1479
15-fev-2014	1492
20-fev-2014	1499
23-fev-2014	1514
26-fev-2014	1519
6-mar-2014	1518
9-mar-2014	1518
16-mar-2014	1500
23-mar-2014	1494
1-fev-2015	1487
5-fev-2015	1488
8-fev-2015	1475
11-fev-2015	1468
19-fev-2015	1484
22-fev-2015	1504
28-fev-2015	1503
8-mar-2015	1490
11-mar-2015	1481
15-mar-2015	1468
22-mar-2015	1462
26-mar-2015	1457
29-mar-2015	1456
4-abr-2015	1441
8-abr-2015	1451
30-jan-2016	1450
3-fev-2016	1440
11-fev-2016	1453
14-fev-2016	1438
21-fev-2016	1435
24-fev-2016	1431
27-fev-2016	1443
6-mar-2016	1436
12-mar-2016	1426
19-mar-2016	1425
26-mar-2016	1437
31-mar-2016	1429
3-abr-2016	1417
9-abr-2016	1430
16-abr-2016	1442
