date	rating
24-Aug-1975	1476
27-Aug-1975	1485
31-Aug-1975	1490
7-Sep-1975	1479
10-Sep-1975	1465
14-Sep-1975	1451
17-Sep-1975	1455
24-Sep-1975	1449
28-Sep-1975	1435
2-Oct-1975	1429
5-Oct-1975	1417
19-Oct-1975	1421
22-Oct-1975	1413
26-Oct-1975	1391
29-Oct-1975	1382
1-Nov-1975	1373
29-Mar-1978	1380
2-Apr-1978	1387
5-Apr-1978	1376
12-Apr-1978	1371
15-Apr-1978	1375
20-Apr-1978	1362
23-Apr-1978	1368
27-Apr-1978	1386
30-Apr-1978	1378
3-May-1978	1375
7-May-1978	1371
9-May-1978	1398
21-May-1978	1378
28-May-1978	1382
4-Jun-1978	1370
13-Jun-1978	1374
20-Jun-1978	1376
22-Jun-1978	1390
30-Sep-1979	1414
6-Oct-1979	1436
10-Oct-1979	1421
13-Oct-1979	1433
17-Oct-1979	1421
21-Oct-1979	1425
25-Oct-1979	1414
1-Nov-1979	1428
3-Nov-1979	1443
8-Nov-1979	1451
12-Nov-1979	1470
17-Nov-1979	1472
21-Nov-1979	1460
25-Nov-1979	1480
28-Nov-1979	1494
30-Nov-1979	1487
18-Jan-1981	1474
21-Jan-1981	1484
25-Jan-1981	1513
29-Jan-1981	1501
1-Feb-1981	1488
4-Feb-1981	1479
7-Feb-1981	1487
14-Feb-1981	1507
26-Feb-1981	1484
