date	rating
1-jul-1962	1518
8-jul-1962	1515
15-jul-1962	1513
22-jul-1962	1526
28-jul-1962	1531
5-ago-1962	1528
12-ago-1962	1523
26-ago-1962	1511
2-set-1962	1500
9-set-1962	1519
16-set-1962	1515
21-set-1962	1508
28-set-1962	1505
6-out-1962	1492
14-out-1962	1503
21-out-1962	1491
28-out-1962	1496
3-nov-1962	1491
8-nov-1962	1486
15-nov-1962	1470
25-nov-1962	1479
2-dez-1962	1483
9-dez-1962	1489
14-dez-1962	1496
30-jun-1963	1492
7-jul-1963	1509
14-jul-1963	1511
21-jul-1963	1521
27-jul-1963	1516
3-ago-1963	1514
11-ago-1963	1511
18-ago-1963	1517
25-ago-1963	1508
8-set-1963	1504
15-set-1963	1513
22-set-1963	1510
29-set-1963	1503
6-out-1963	1510
10-out-1963	1512
13-out-1963	1512
19-out-1963	1507
26-out-1963	1504
3-nov-1963	1500
10-nov-1963	1496
17-nov-1963	1519
1-dez-1963	1526
8-dez-1963	1507
15-dez-1963	1515
5-jul-1964	1513
12-jul-1964	1519
22-jul-1964	1546
2-ago-1964	1569
9-ago-1964	1566
16-ago-1964	1582
20-ago-1964	1585
22-ago-1964	1572
30-ago-1964	1576
6-set-1964	1557
10-set-1964	1553
19-set-1964	1558
25-set-1964	1553
1-out-1964	1545
4-out-1964	1542
17-out-1964	1548
25-out-1964	1555
5-nov-1964	1531
8-nov-1964	1538
15-nov-1964	1548
22-nov-1964	1542
29-nov-1964	1541
5-dez-1964	1537
13-dez-1964	1528
11-set-1966	1526
18-set-1966	1536
21-set-1966	1532
25-set-1966	1528
28-set-1966	1525
2-out-1966	1521
9-out-1966	1514
16-out-1966	1525
19-out-1966	1513
23-out-1966	1499
29-out-1966	1505
26-ago-1967	1513
3-set-1967	1513
6-set-1967	1527
10-set-1967	1535
1-out-1967	1543
8-out-1967	1531
14-out-1967	1546
21-out-1967	1543
28-out-1967	1537
4-nov-1967	1544
11-nov-1967	1534
18-nov-1967	1529
26-nov-1967	1535
29-nov-1967	1532
3-dez-1967	1528
10-dez-1967	1521
13-dez-1967	1528
17-dez-1967	1539
10-mar-1968	1539
16-mar-1968	1543
24-mar-1968	1538
28-mar-1968	1535
31-mar-1968	1532
3-abr-1968	1528
7-abr-1968	1524
14-abr-1968	1536
21-abr-1968	1545
27-abr-1968	1540
2-mai-1968	1538
9-mar-1969	1534
16-mar-1969	1523
19-mar-1969	1532
22-mar-1969	1539
30-mar-1969	1544
12-abr-1969	1541
21-abr-1969	1530
27-abr-1969	1532
1-mai-1969	1526
4-mai-1969	1520
11-mai-1969	1528
28-jun-1970	1523
4-jul-1970	1518
8-jul-1970	1511
11-jul-1970	1518
18-jul-1970	1515
22-jul-1970	1513
26-jul-1970	1528
1-ago-1970	1530
5-ago-1970	1526
9-ago-1970	1522
16-ago-1970	1523
22-ago-1970	1519
30-ago-1970	1512
3-set-1970	1509
10-set-1970	1505
12-set-1970	1502
17-set-1970	1510
20-set-1970	1502
11-mar-1971	1510
14-mar-1971	1497
19-mar-1971	1502
25-mar-1971	1499
31-mar-1971	1496
4-abr-1971	1485
26-fev-1972	1478
5-mar-1972	1486
11-mar-1972	1479
15-mar-1972	1506
19-mar-1972	1508
25-mar-1972	1487
2-abr-1972	1499
9-abr-1972	1504
15-abr-1972	1499
20-abr-1972	1490
23-abr-1972	1482
11-mar-1973	1491
18-mar-1973	1485
21-mar-1973	1476
24-mar-1973	1472
4-abr-1973	1467
8-abr-1973	1457
15-abr-1973	1452
18-abr-1973	1444
22-abr-1973	1442
29-abr-1973	1429
5-mai-1973	1428
3-ago-1974	1432
11-ago-1974	1431
14-ago-1974	1424
18-ago-1974	1419
25-ago-1974	1418
1-set-1974	1418
4-set-1974	1415
11-set-1974	1410
15-set-1974	1421
22-set-1974	1423
25-set-1974	1428
5-out-1974	1425
9-out-1974	1418
12-out-1974	1425
19-out-1974	1408
23-out-1974	1405
27-out-1974	1409
3-nov-1974	1404
9-nov-1974	1399
13-nov-1974	1393
16-nov-1974	1401
23-nov-1974	1406
27-nov-1974	1414
1-dez-1974	1427
8-dez-1974	1442
2-mar-1975	1445
9-mar-1975	1434
12-mar-1975	1426
16-mar-1975	1420
26-mar-1975	1416
30-mar-1975	1415
2-abr-1975	1414
5-abr-1975	1406
9-abr-1975	1401
13-abr-1975	1392
20-abr-1975	1392
1-mai-1975	1386
3-mai-1975	1382
7-mai-1975	1392
11-mai-1975	1394
18-mai-1975	1380
21-mai-1975	1388
24-mai-1975	1384
31-mai-1975	1374
4-jun-1975	1371
7-jun-1975	1384
15-jun-1975	1375
14-mar-1976	1386
17-mar-1976	1383
21-mar-1976	1381
24-mar-1976	1385
27-mar-1976	1382
4-abr-1976	1374
11-abr-1976	1374
14-abr-1976	1369
18-abr-1976	1373
21-abr-1976	1364
24-abr-1976	1382
1-mai-1976	1382
5-mai-1976	1378
9-mai-1976	1361
6-jun-1976	1372
12-jun-1976	1372
20-jun-1976	1357
3-jul-1976	1344
14-jul-1976	1334
17-jul-1976	1325
25-jul-1976	1326
28-jul-1976	1327
1-ago-1976	1320
7-ago-1976	1323
11-ago-1976	1324
14-ago-1976	1321
27-mar-1977	1311
3-abr-1977	1308
6-abr-1977	1305
9-abr-1977	1303
13-abr-1977	1307
17-abr-1977	1299
24-abr-1977	1312
27-abr-1977	1316
1-mai-1977	1331
7-mai-1977	1324
15-mai-1977	1325
18-mai-1977	1320
22-mai-1977	1311
29-mai-1977	1309
17-jul-1977	1307
24-jul-1977	1304
30-jul-1977	1296
4-ago-1977	1286
7-ago-1977	1279
10-ago-1977	1294
24-ago-1977	1307
27-ago-1977	1293
31-ago-1977	1289
4-set-1977	1289
7-set-1977	1283
11-set-1977	1287
18-set-1977	1285
25-set-1977	1300
3-set-1978	1288
6-set-1978	1285
10-set-1978	1283
17-set-1978	1287
20-set-1978	1286
23-set-1978	1276
27-set-1978	1272
30-set-1978	1271
8-out-1978	1275
11-out-1978	1270
15-out-1978	1275
22-out-1978	1269
29-out-1978	1267
1-nov-1978	1260
5-nov-1978	1283
8-nov-1978	1287
12-nov-1978	1285
16-nov-1978	1284
19-nov-1978	1282
25-nov-1978	1287
29-nov-1978	1295
2-dez-1978	1286
6-mai-1979	1291
12-mai-1979	1303
20-mai-1979	1316
27-mai-1979	1315
30-mai-1979	1330
3-jun-1979	1333
7-jun-1979	1337
10-jun-1979	1332
14-jun-1979	1331
17-jun-1979	1350
23-jun-1979	1361
27-jun-1979	1358
1-jul-1979	1372
8-jul-1979	1371
11-jul-1979	1375
15-jul-1979	1387
22-jul-1979	1382
29-jul-1979	1380
1-ago-1979	1377
19-ago-1979	1383
26-ago-1979	1386
29-ago-1979	1395
1-set-1979	1389
12-set-1979	1387
15-set-1979	1400
22-set-1979	1394
30-set-1979	1408
3-out-1979	1421
6-out-1979	1449
13-out-1979	1449
17-out-1979	1461
21-out-1979	1439
24-out-1979	1422
31-out-1979	1439
4-nov-1979	1438
8-nov-1979	1447
11-nov-1979	1482
15-nov-1979	1468
18-nov-1979	1481
