date	rating
4-mai-1941	1496
11-mai-1941	1514
18-mai-1941	1507
24-mai-1941	1494
1-jun-1941	1480
8-jun-1941	1494
15-jun-1941	1492
22-jun-1941	1495
29-jun-1941	1491
6-jul-1941	1487
13-jul-1941	1506
20-jul-1941	1501
27-jul-1941	1505
3-ago-1941	1495
10-ago-1941	1513
17-ago-1941	1510
24-ago-1941	1496
31-ago-1941	1527
5-abr-1942	1523
12-abr-1942	1539
26-abr-1942	1547
3-mai-1942	1526
10-mai-1942	1523
17-mai-1942	1536
24-mai-1942	1531
31-mai-1942	1526
7-jun-1942	1528
14-jun-1942	1525
21-jun-1942	1538
28-jun-1942	1526
5-jul-1942	1528
11-jul-1942	1527
19-jul-1942	1528
26-jul-1942	1535
1-ago-1942	1531
9-ago-1942	1534
16-ago-1942	1531
22-ago-1942	1527
30-ago-1942	1538
6-set-1942	1540
13-set-1942	1538
20-set-1942	1530
27-set-1942	1525
4-out-1942	1540
11-out-1942	1542
13-jun-1943	1538
20-jun-1943	1548
27-jun-1943	1546
4-jul-1943	1539
11-jul-1943	1527
18-jul-1943	1515
25-jul-1943	1513
1-ago-1943	1525
8-ago-1943	1514
15-ago-1943	1511
21-ago-1943	1517
29-ago-1943	1525
2-set-1943	1516
12-set-1943	1538
19-set-1943	1548
26-set-1943	1545
3-out-1943	1536
10-out-1943	1526
2-jul-1944	1541
9-jul-1944	1547
16-jul-1944	1553
23-jul-1944	1550
30-jul-1944	1563
6-ago-1944	1590
13-ago-1944	1590
20-ago-1944	1609
27-ago-1944	1616
3-set-1944	1601
10-set-1944	1594
17-set-1944	1587
24-set-1944	1584
1-out-1944	1572
8-out-1944	1563
15-out-1944	1573
22-out-1944	1577
28-out-1944	1571
8-jul-1945	1569
15-jul-1945	1562
22-jul-1945	1557
29-jul-1945	1562
5-ago-1945	1569
12-ago-1945	1560
26-ago-1945	1541
2-set-1945	1557
16-set-1945	1582
23-set-1945	1575
30-set-1945	1566
7-out-1945	1581
14-out-1945	1579
21-out-1945	1568
27-out-1945	1559
4-nov-1945	1567
11-nov-1945	1574
17-nov-1945	1567
7-jul-1946	1582
14-jul-1946	1574
21-jul-1946	1590
28-jul-1946	1570
4-ago-1946	1565
11-ago-1946	1561
18-ago-1946	1543
25-ago-1946	1556
1-set-1946	1560
7-set-1946	1552
15-set-1946	1548
22-set-1946	1543
29-set-1946	1536
5-out-1946	1530
13-out-1946	1527
19-out-1946	1505
3-nov-1946	1523
10-nov-1946	1528
3-ago-1947	1538
10-ago-1947	1551
24-ago-1947	1547
30-ago-1947	1542
6-set-1947	1533
14-set-1947	1531
20-set-1947	1509
27-set-1947	1503
5-out-1947	1477
12-out-1947	1482
19-out-1947	1481
26-out-1947	1493
8-nov-1947	1490
16-nov-1947	1488
23-nov-1947	1487
30-nov-1947	1483
7-dez-1947	1485
13-dez-1947	1478
21-dez-1947	1461
28-dez-1947	1469
11-jul-1948	1466
18-jul-1948	1463
25-jul-1948	1436
1-ago-1948	1418
7-ago-1948	1399
15-ago-1948	1396
22-ago-1948	1414
29-ago-1948	1413
5-set-1948	1427
26-set-1948	1440
3-out-1948	1449
10-out-1948	1447
17-out-1948	1433
24-out-1948	1425
31-out-1948	1447
7-nov-1948	1455
13-nov-1948	1448
21-nov-1948	1446
28-nov-1948	1459
12-dez-1948	1445
3-jul-1949	1446
10-jul-1949	1441
17-jul-1949	1424
24-jul-1949	1433
31-jul-1949	1431
7-ago-1949	1429
13-ago-1949	1421
27-ago-1949	1415
4-set-1949	1429
18-set-1949	1420
25-set-1949	1404
2-out-1949	1402
9-out-1949	1405
16-out-1949	1403
23-out-1949	1401
30-out-1949	1399
6-nov-1949	1422
20-nov-1949	1415
27-nov-1949	1394
11-dez-1949	1388
13-ago-1950	1380
20-ago-1950	1384
3-set-1950	1374
10-set-1950	1370
17-set-1950	1383
24-set-1950	1401
1-out-1950	1393
8-out-1950	1390
15-out-1950	1398
22-out-1950	1396
29-out-1950	1403
5-nov-1950	1411
12-nov-1950	1400
19-nov-1950	1398
26-nov-1950	1394
2-dez-1950	1391
10-dez-1950	1403
17-dez-1950	1402
24-dez-1950	1391
30-dez-1950	1377
4-ago-1951	1373
19-ago-1951	1372
26-ago-1951	1363
1-set-1951	1361
9-set-1951	1369
16-set-1951	1361
23-set-1951	1359
30-set-1951	1367
7-out-1951	1354
21-out-1951	1355
28-out-1951	1353
4-nov-1951	1351
11-nov-1951	1349
18-nov-1951	1345
25-nov-1951	1334
2-dez-1951	1333
9-dez-1951	1317
16-dez-1951	1313
23-dez-1951	1317
30-dez-1951	1314
17-ago-1952	1312
23-ago-1952	1311
30-ago-1952	1307
7-set-1952	1317
14-set-1952	1320
19-set-1952	1317
27-set-1952	1316
5-out-1952	1319
11-out-1952	1315
19-out-1952	1319
9-nov-1952	1328
16-nov-1952	1325
23-nov-1952	1325
30-nov-1952	1323
7-dez-1952	1339
13-dez-1952	1333
21-dez-1952	1331
4-jan-1953	1351
11-jan-1953	1346
21-jan-1953	1347
16-jul-1953	1356
19-jul-1953	1355
26-jul-1953	1352
2-ago-1953	1347
9-ago-1953	1338
16-ago-1953	1329
23-ago-1953	1333
30-ago-1953	1332
6-set-1953	1346
13-set-1953	1345
20-set-1953	1349
27-set-1953	1348
4-out-1953	1345
10-out-1953	1344
18-out-1953	1343
25-out-1953	1335
31-out-1953	1330
7-nov-1953	1353
15-nov-1953	1351
22-nov-1953	1341
28-nov-1953	1326
5-dez-1953	1312
22-ago-1954	1311
29-ago-1954	1310
5-set-1954	1308
12-set-1954	1307
19-set-1954	1304
26-set-1954	1313
2-out-1954	1303
10-out-1954	1308
24-out-1954	1297
31-out-1954	1286
7-nov-1954	1291
14-nov-1954	1290
21-nov-1954	1289
28-nov-1954	1288
4-dez-1954	1285
12-dez-1954	1284
19-dez-1954	1282
26-dez-1954	1305
2-jan-1955	1320
8-jan-1955	1333
16-jan-1955	1337
23-jan-1955	1326
7-ago-1955	1325
14-ago-1955	1324
21-ago-1955	1352
28-ago-1955	1350
4-set-1955	1348
11-set-1955	1346
25-set-1955	1349
2-out-1955	1343
9-out-1955	1366
23-out-1955	1384
30-out-1955	1371
6-nov-1955	1379
20-nov-1955	1370
30-nov-1955	1369
4-dez-1955	1367
11-dez-1955	1364
20-dez-1955	1367
8-jan-1956	1366
12-jan-1956	1355
22-jan-1956	1353
29-jan-1956	1343
3-fev-1956	1332
22-jul-1956	1330
29-jul-1956	1328
12-ago-1956	1343
19-ago-1956	1342
23-ago-1956	1345
2-set-1956	1344
8-set-1956	1342
16-set-1956	1333
23-set-1956	1329
29-set-1956	1350
7-out-1956	1372
14-out-1956	1369
21-out-1956	1366
28-out-1956	1364
3-nov-1956	1357
11-nov-1956	1356
18-nov-1956	1360
25-nov-1956	1362
1-dez-1956	1344
9-dez-1956	1342
15-dez-1956	1355
20-dez-1956	1374
27-jul-1957	1385
4-ago-1957	1382
11-ago-1957	1380
18-ago-1957	1399
25-ago-1957	1395
31-ago-1957	1412
7-set-1957	1424
15-set-1957	1441
21-set-1957	1460
30-set-1957	1458
6-out-1957	1457
13-out-1957	1456
18-out-1957	1451
20-out-1957	1441
27-out-1957	1457
3-nov-1957	1455
10-nov-1957	1470
15-nov-1957	1466
24-nov-1957	1463
30-nov-1957	1460
7-dez-1957	1456
13-dez-1957	1464
19-dez-1957	1453
19-jul-1958	1450
27-jul-1958	1440
3-ago-1958	1431
10-ago-1958	1438
16-ago-1958	1436
24-ago-1958	1445
31-ago-1958	1443
4-set-1958	1452
14-set-1958	1449
20-set-1958	1462
25-set-1958	1486
5-out-1958	1483
12-out-1958	1481
26-out-1958	1474
1-nov-1958	1482
8-nov-1958	1464
15-nov-1958	1483
23-nov-1958	1490
30-nov-1958	1478
7-dez-1958	1468
13-dez-1958	1465
19-jul-1959	1475
26-jul-1959	1481
2-ago-1959	1477
8-ago-1959	1474
18-ago-1959	1467
23-ago-1959	1458
30-ago-1959	1447
5-set-1959	1445
10-set-1959	1443
27-set-1959	1441
4-out-1959	1441
10-out-1959	1438
18-out-1959	1424
25-out-1959	1433
3-nov-1959	1422
8-nov-1959	1438
14-nov-1959	1437
20-nov-1959	1434
29-nov-1959	1436
5-dez-1959	1464
11-dez-1959	1472
20-dez-1959	1469
27-jul-1960	1483
3-ago-1960	1480
7-ago-1960	1481
14-ago-1960	1499
20-ago-1960	1496
28-ago-1960	1493
4-set-1960	1481
9-set-1960	1476
18-set-1960	1474
27-set-1960	1489
1-out-1960	1498
8-out-1960	1497
16-out-1960	1495
23-out-1960	1476
30-out-1960	1471
5-nov-1960	1469
12-nov-1960	1466
19-nov-1960	1462
27-nov-1960	1451
30-nov-1960	1448
7-dez-1960	1456
15-dez-1960	1450
2-ago-1961	1460
5-ago-1961	1468
9-ago-1961	1467
12-ago-1961	1463
16-ago-1961	1462
20-ago-1961	1467
27-ago-1961	1456
2-set-1961	1453
10-set-1961	1463
14-set-1961	1461
24-set-1961	1471
30-jun-1962	1467
10-jul-1962	1461
15-jul-1962	1463
22-jul-1962	1446
28-jul-1962	1447
5-ago-1962	1437
12-ago-1962	1433
19-ago-1962	1429
30-ago-1962	1427
2-set-1962	1411
15-set-1962	1401
23-set-1962	1398
30-set-1962	1406
6-out-1962	1404
14-out-1962	1392
21-out-1962	1384
28-out-1962	1386
4-nov-1962	1392
8-nov-1962	1388
15-nov-1962	1385
18-nov-1962	1384
25-nov-1962	1384
8-dez-1962	1372
14-dez-1962	1368
30-jun-1963	1366
7-jul-1963	1361
14-jul-1963	1358
21-jul-1963	1349
28-jul-1963	1348
3-ago-1963	1351
11-ago-1963	1349
18-ago-1963	1343
25-ago-1963	1359
1-set-1963	1352
7-set-1963	1351
15-set-1963	1338
29-set-1963	1337
6-out-1963	1334
9-out-1963	1343
13-out-1963	1336
20-out-1963	1335
27-out-1963	1348
5-nov-1963	1347
10-nov-1963	1351
17-nov-1963	1366
24-nov-1963	1359
1-dez-1963	1357
11-dez-1963	1360
12-jul-1964	1353
19-jul-1964	1349
26-jul-1964	1347
2-ago-1964	1343
9-ago-1964	1341
16-ago-1964	1329
19-ago-1964	1326
23-ago-1964	1324
30-ago-1964	1320
6-set-1964	1317
12-set-1964	1309
20-set-1964	1300
1-out-1964	1316
4-out-1964	1309
14-out-1964	1308
17-out-1964	1306
24-out-1964	1304
1-nov-1964	1294
8-nov-1964	1291
15-nov-1964	1290
22-nov-1964	1296
29-nov-1964	1294
6-dez-1964	1290
13-dez-1964	1286
