date	rating
31-Jan-2015	1490
4-Feb-2015	1485
7-Feb-2015	1487
10-Feb-2015	1491
15-Feb-2015	1494
21-Feb-2015	1510
28-Feb-2015	1500
7-Mar-2015	1509
11-Mar-2015	1502
14-Mar-2015	1516
22-Mar-2015	1513
25-Mar-2015	1499
28-Mar-2015	1500
3-Apr-2015	1490
8-Apr-2015	1515
30-Jan-2016	1514
3-Feb-2016	1501
11-Feb-2016	1499
14-Feb-2016	1482
20-Feb-2016	1474
24-Feb-2016	1492
28-Feb-2016	1485
6-Mar-2016	1476
13-Mar-2016	1479
19-Mar-2016	1483
23-Mar-2016	1494
26-Mar-2016	1476
30-Mar-2016	1479
3-Apr-2016	1475
10-Apr-2016	1465
