date	rating
7-Feb-1993	1485
16-Feb-1993	1498
19-Feb-1993	1475
10-Mar-1993	1475
16-Mar-1993	1452
26-Mar-1993	1457
31-Mar-1993	1442
15-Feb-1995	1468
21-Feb-1995	1458
24-Feb-1995	1449
3-Mar-1995	1445
22-Mar-1995	1461
31-Mar-1995	1444
26-Apr-1995	1450
4-May-1995	1433
13-Mar-1996	1410
21-Mar-1996	1416
28-Mar-1996	1409
3-Apr-1996	1410
16-Apr-1996	1396
18-Apr-1996	1391
6-Feb-1998	1396
13-Feb-1998	1416
24-Feb-1998	1398
26-Feb-1998	1403
26-Sep-2001	1390
18-Oct-2001	1419
25-Oct-2001	1429
31-Oct-2001	1458
27-Nov-2001	1434
29-Nov-2001	1428
4-Feb-2004	1425
12-Feb-2004	1414
24-Feb-2004	1432
2-Mar-2004	1449
16-Mar-2004	1433
14-Apr-2004	1431
17-Feb-2005	1434
23-Feb-2005	1415
1-Mar-2005	1402
5-Apr-2005	1428
13-Apr-2005	1410
3-May-2005	1393
1-Mar-2006	1391
7-Mar-2006	1401
14-Mar-2006	1388
28-Mar-2006	1423
12-Apr-2006	1433
20-Apr-2006	1428
22-Feb-2007	1452
8-Mar-2007	1476
20-Mar-2007	1451
30-Mar-2007	1440
5-Apr-2007	1475
25-Apr-2007	1462
2-May-2007	1474
10-May-2007	1471
12-Feb-2008	1496
26-Feb-2008	1511
4-Mar-2008	1500
18-Mar-2008	1509
1-Apr-2008	1483
16-Apr-2008	1459
17-Feb-2009	1445
25-Feb-2009	1475
3-Mar-2009	1509
11-Mar-2009	1499
14-Apr-2009	1514
29-Apr-2009	1514
7-May-2009	1500
12-May-2009	1531
27-May-2009	1541
17-Jun-2009	1550
18-Feb-2010	1536
10-Mar-2010	1530
17-Mar-2010	1532
24-Mar-2010	1534
13-Apr-2010	1517
21-Apr-2010	1512
15-Feb-2011	1499
3-Mar-2011	1530
9-Mar-2011	1559
22-Mar-2011	1540
6-Apr-2011	1558
14-Apr-2011	1542
13-Feb-2013	1537
20-Feb-2013	1558
5-Mar-2013	1548
12-Mar-2013	1572
3-Apr-2013	1539
18-Apr-2013	1533
