date	rating
27-set-1979	1502
4-out-1979	1490
6-out-1979	1494
10-out-1979	1503
14-out-1979	1504
17-out-1979	1518
21-out-1979	1534
24-out-1979	1516
28-out-1979	1532
7-nov-1979	1521
11-nov-1979	1507
15-nov-1979	1504
18-nov-1979	1491
21-nov-1979	1498
25-nov-1979	1511
28-nov-1979	1512
16-out-1986	1504
19-out-1986	1519
22-out-1986	1540
26-out-1986	1527
26-out-1986	1526
2-nov-1986	1533
5-nov-1986	1534
12-nov-1986	1535
23-nov-1986	1524
26-nov-1986	1514
3-dez-1986	1503
7-dez-1986	1495
10-dez-1986	1480
14-dez-1986	1483
25-jan-1987	1488
28-jan-1987	1476
