date	rating
11-fev-1962	1485
15-fev-1962	1501
25-fev-1962	1513
28-fev-1962	1507
12-abr-1964	1507
27-abr-1964	1508
10-mai-1964	1490
17-mai-1964	1520
26-fev-1967	1533
5-mar-1967	1516
9-mar-1967	1532
14-mar-1967	1499
18-mar-1967	1480
3-abr-1967	1480
5-abr-1967	1464
16-abr-1967	1452
19-abr-1967	1472
27-abr-1967	1458
7-mai-1967	1446
15-mai-1967	1464
31-jan-1969	1491
9-fev-1969	1474
13-fev-1969	1488
23-fev-1969	1503
2-mar-1969	1501
9-mar-1969	1528
27-mar-1969	1523
31-mar-1969	1533
8-abr-1969	1521
18-abr-1969	1523
7-fev-1971	1527
15-fev-1971	1541
21-fev-1971	1539
5-mar-1971	1542
20-mar-1971	1542
24-mar-1971	1524
20-fev-1972	1526
1-mar-1972	1533
5-mar-1972	1522
9-mar-1972	1501
19-mar-1972	1523
23-mar-1972	1548
4-fev-1973	1572
19-fev-1973	1596
22-fev-1973	1593
2-mar-1973	1574
13-mar-1973	1588
20-mar-1973	1612
11-abr-1973	1638
26-abr-1973	1659
4-mai-1973	1623
15-mai-1973	1609
5-fev-1974	1622
16-fev-1974	1642
20-fev-1974	1628
24-fev-1974	1625
3-mar-1974	1630
8-mar-1974	1632
28-fev-1975	1629
7-mar-1975	1612
14-mar-1975	1592
21-mar-1975	1577
4-abr-1975	1556
9-abr-1975	1539
5-mar-1978	1555
26-mar-1978	1572
30-mar-1978	1573
5-abr-1978	1570
25-abr-1978	1567
13-mai-1978	1582
14-set-1978	1556
17-set-1978	1557
5-out-1978	1581
18-out-1978	1556
21-mar-1980	1538
28-mar-1980	1553
8-abr-1980	1570
16-abr-1980	1567
22-abr-1980	1548
25-abr-1980	1546
7-jul-1981	1553
14-jul-1981	1543
21-jul-1981	1537
31-jul-1981	1546
8-ago-1981	1584
11-ago-1981	1574
3-mar-1985	1574
14-mar-1985	1572
19-mar-1985	1573
27-mar-1985	1598
31-mar-1985	1575
3-abr-1985	1597
6-jul-1988	1598
26-jul-1988	1592
29-jul-1988	1568
10-ago-1988	1554
16-ago-1988	1565
19-ago-1988	1581
14-mar-1990	1568
30-mar-1990	1600
6-abr-1990	1607
18-abr-1990	1625
24-abr-1990	1612
27-abr-1990	1616
8-ago-1990	1615
15-ago-1990	1599
20-fev-1991	1595
6-mar-1991	1591
19-mar-1991	1601
22-mar-1991	1599
27-mar-1991	1609
5-abr-1991	1605
10-abr-1991	1618
19-abr-1991	1613
24-abr-1991	1629
2-mai-1991	1646
8-mai-1991	1620
4-mar-1992	1634
10-mar-1992	1643
13-mar-1992	1644
25-mar-1992	1658
1-abr-1992	1650
8-abr-1992	1651
29-abr-1992	1625
6-mai-1992	1651
13-mai-1992	1648
20-mai-1992	1645
5-fev-1993	1646
12-fev-1993	1648
23-fev-1993	1665
10-mar-1993	1650
16-mar-1993	1651
19-mar-1993	1668
7-abr-1993	1667
14-abr-1993	1688
21-abr-1993	1689
28-abr-1993	1690
5-mai-1993	1680
12-mai-1993	1687
2-mar-1994	1673
16-mar-1994	1634
18-mar-1994	1613
24-mar-1994	1596
8-abr-1994	1593
15-abr-1994	1605
15-fev-1995	1611
24-fev-1995	1619
21-mar-1995	1625
28-mar-1995	1633
31-mar-1995	1651
7-abr-1995	1661
26-abr-1995	1629
3-mai-1995	1644
13-mar-1996	1662
26-mar-1996	1641
29-mar-1996	1623
3-abr-1996	1624
9-abr-1996	1634
16-abr-1996	1648
30-abr-1996	1643
8-mai-1996	1624
19-fev-1997	1605
4-mar-1997	1586
7-mar-1997	1568
12-mar-1997	1565
21-mar-1997	1578
11-abr-1997	1604
25-fev-1998	1580
3-mar-1998	1582
10-mar-1998	1613
18-mar-1998	1601
24-mar-1998	1586
27-mar-1998	1606
15-abr-1998	1625
29-abr-1998	1644
20-mai-1998	1620
27-mai-1998	1649
16-jul-1998	1633
22-jul-1998	1649
24-fev-1999	1666
3-mar-1999	1652
10-mar-1999	1632
17-mar-1999	1635
24-mar-1999	1674
7-abr-1999	1665
14-abr-1999	1686
21-abr-1999	1665
5-mai-1999	1622
12-mai-1999	1638
19-mai-1999	1608
26-mai-1999	1624
17-fev-2000	1637
2-mar-2000	1616
7-mar-2000	1617
15-mar-2000	1593
21-mar-2000	1613
6-abr-2000	1638
4-mai-2000	1615
10-mai-2000	1605
8-fev-2001	1628
15-fev-2001	1635
22-mar-2001	1642
4-abr-2001	1645
10-abr-2001	1672
2-mai-2001	1652
10-mai-2001	1664
16-mai-2001	1636
5-fev-2002	1630
19-fev-2002	1655
5-mar-2002	1642
13-mar-2002	1653
4-abr-2002	1623
10-abr-2002	1646
6-fev-2003	1660
6-mar-2003	1657
12-mar-2003	1649
18-mar-2003	1630
27-mar-2003	1603
15-abr-2003	1612
23-abr-2003	1597
6-mai-2003	1613
2-mar-2005	1618
10-mar-2005	1618
7-abr-2005	1633
19-abr-2005	1649
28-abr-2005	1665
12-mai-2005	1665
19-mai-2005	1652
26-mai-2005	1669
15-fev-2006	1673
23-fev-2006	1695
14-mar-2006	1663
23-mar-2006	1663
6-abr-2006	1640
13-abr-2006	1659
15-fev-2007	1648
7-mar-2007	1627
13-mar-2007	1622
20-mar-2007	1633
10-abr-2007	1644
24-abr-2007	1632
30-jan-2008	1614
6-fev-2008	1604
11-fev-2010	1606
9-mar-2010	1587
17-mar-2010	1577
1-abr-2010	1567
8-abr-2010	1554
22-abr-2010	1554
17-fev-2011	1586
2-mar-2011	1592
10-mar-2011	1586
6-abr-2011	1600
14-abr-2011	1590
20-abr-2011	1607
15-fev-2013	1590
21-fev-2013	1571
7-mar-2013	1554
2-abr-2013	1538
10-abr-2013	1508
16-abr-2013	1510
