date	rating
7-mai-1964	1530
13-mai-1964	1543
17-mai-1964	1556
28-mai-1964	1523
15-jul-1964	1505
1-ago-1964	1489
4-mar-1967	1467
14-mar-1967	1500
18-mar-1967	1514
22-mar-1967	1529
26-mar-1967	1542
5-abr-1967	1561
9-abr-1967	1539
16-abr-1967	1551
19-abr-1967	1526
23-abr-1967	1524
26-abr-1967	1505
17-mai-1967	1531
31-mai-1967	1504
7-jun-1967	1526
22-jun-1967	1510
28-jun-1967	1496
5-jul-1967	1501
12-jul-1967	1489
21-fev-1971	1492
24-fev-1971	1476
6-mar-1971	1462
17-mar-1971	1482
24-mar-1971	1500
31-mar-1971	1501
1-mar-1973	1533
11-mar-1973	1529
14-mar-1973	1512
18-mar-1973	1510
25-mar-1973	1535
28-mar-1973	1558
6-abr-1973	1583
11-abr-1973	1557
4-mai-1973	1593
8-mai-1973	1600
22-mai-1973	1604
29-mai-1973	1607
6-jun-1973	1596
2-mar-1974	1576
7-mar-1974	1558
12-mar-1974	1536
14-mar-1974	1513
21-mar-1974	1497
26-mar-1974	1472
19-mar-1980	1474
8-abr-1980	1456
11-abr-1980	1442
16-abr-1980	1470
22-abr-1980	1489
25-abr-1980	1488
4-ago-1982	1494
18-ago-1982	1496
22-ago-1982	1519
7-set-1982	1535
10-set-1982	1554
22-set-1982	1538
23-mar-1983	1558
5-abr-1983	1571
8-abr-1983	1592
12-abr-1983	1573
16-abr-1983	1555
8-jun-1983	1539
24-abr-1985	1559
30-abr-1985	1582
3-mai-1985	1575
18-mai-1985	1593
28-mai-1985	1574
31-mai-1985	1564
25-mar-1987	1554
5-mai-1987	1559
8-mai-1987	1582
3-jun-1987	1586
12-jun-1987	1612
19-jun-1987	1615
20-jul-1988	1594
2-ago-1988	1605
5-ago-1988	1613
11-ago-1988	1609
19-ago-1988	1618
23-ago-1988	1630
8-set-1988	1608
14-set-1988	1602
24-fev-1989	1588
28-fev-1989	1603
7-mar-1989	1582
10-mar-1989	1560
14-mar-1989	1586
29-mar-1989	1592
11-abr-1990	1591
24-abr-1990	1601
27-abr-1990	1596
4-mai-1990	1578
12-mai-1990	1594
15-mai-1990	1608
8-ago-1990	1615
15-ago-1990	1621
20-fev-1991	1616
1-mar-1991	1631
13-mar-1991	1645
22-mar-1991	1662
2-abr-1991	1655
5-abr-1991	1649
17-abr-1991	1644
24-abr-1991	1655
3-mai-1991	1685
8-mai-1991	1661
16-mai-1991	1649
22-mai-1991	1677
29-mai-1991	1678
5-jun-1991	1705
18-fev-1992	1712
21-fev-1992	1706
3-mar-1992	1689
6-mar-1992	1661
17-mar-1992	1653
20-mar-1992	1651
31-mar-1992	1665
3-abr-1992	1664
30-abr-1992	1675
6-mai-1992	1645
2-mar-1994	1659
13-mar-1994	1671
18-mar-1994	1689
23-mar-1994	1708
5-abr-1994	1699
8-abr-1994	1669
20-abr-1994	1662
27-abr-1994	1656
19-fev-1997	1654
27-fev-1997	1661
6-mar-1997	1667
12-mar-1997	1689
25-mar-1997	1698
27-mar-1997	1703
7-mai-1997	1718
14-mai-1997	1697
21-mai-1997	1680
28-mai-1997	1701
23-jul-1997	1687
30-jul-1997	1704
25-fev-1998	1716
10-mar-1998	1685
13-mar-1998	1686
18-mar-1998	1703
27-mar-1998	1683
3-abr-1998	1661
15-abr-1998	1643
30-abr-1998	1641
25-fev-1999	1655
4-mar-1999	1625
11-mar-1999	1622
17-mar-1999	1600
24-mar-1999	1613
7-abr-1999	1611
14-abr-1999	1587
21-abr-1999	1604
6-fev-2003	1582
26-fev-2003	1575
6-mar-2003	1588
13-mar-2003	1589
3-abr-2003	1596
10-abr-2003	1572
3-fev-2004	1561
3-mar-2004	1552
18-mar-2004	1535
25-mar-2004	1565
8-abr-2004	1590
21-abr-2004	1572
1-fev-2005	1568
8-fev-2005	1565
24-jan-2006	1548
31-jan-2006	1533
22-fev-2007	1524
7-mar-2007	1510
20-mar-2007	1535
30-mar-2007	1546
3-abr-2007	1584
25-abr-2007	1571
2-mai-2007	1556
8-mai-2007	1578
21-fev-2008	1553
28-fev-2008	1572
20-mar-2008	1606
27-mar-2008	1596
10-abr-2008	1611
22-abr-2008	1613
18-fev-2009	1601
3-mar-2009	1635
12-mar-2009	1663
9-abr-2009	1662
22-abr-2009	1649
29-abr-2009	1640
16-fev-2010	1644
24-fev-2010	1626
16-mar-2010	1631
25-mar-2010	1620
6-abr-2010	1624
15-abr-2010	1631
17-fev-2011	1599
1-mar-2011	1613
16-mar-2011	1634
6-abr-2011	1622
12-abr-2011	1630
20-abr-2011	1613
