date	rating
25-ago-1973	1494
29-ago-1973	1510
2-set-1973	1492
5-set-1973	1485
9-set-1973	1486
12-set-1973	1505
16-set-1973	1514
23-set-1973	1503
26-set-1973	1504
30-set-1973	1493
3-out-1973	1513
7-out-1973	1501
14-out-1973	1514
17-out-1973	1521
21-out-1973	1511
24-out-1973	1513
27-out-1973	1490
31-out-1973	1485
4-nov-1973	1487
11-nov-1973	1503
14-nov-1973	1503
17-nov-1973	1516
25-nov-1973	1501
28-nov-1973	1481
2-dez-1973	1506
8-dez-1973	1509
13-dez-1973	1496
16-dez-1973	1514
24-ago-1975	1521
26-ago-1975	1531
31-ago-1975	1549
3-set-1975	1561
7-set-1975	1565
17-set-1975	1566
20-set-1975	1552
24-set-1975	1545
28-set-1975	1526
1-out-1975	1509
19-out-1975	1522
22-out-1975	1513
30-out-1975	1519
5-nov-1975	1526
2-abr-1978	1527
5-abr-1978	1543
9-abr-1978	1542
12-abr-1978	1530
16-abr-1978	1527
23-abr-1978	1532
26-abr-1978	1541
29-abr-1978	1534
3-mai-1978	1531
7-mai-1978	1527
11-mai-1978	1525
28-mai-1978	1540
13-jun-1978	1536
17-jun-1978	1518
20-jun-1978	1529
24-jun-1978	1526
26-set-1979	1502
30-set-1979	1490
3-out-1979	1488
6-out-1979	1502
14-out-1979	1499
18-out-1979	1523
21-out-1979	1542
4-nov-1979	1559
8-nov-1979	1546
11-nov-1979	1554
15-nov-1979	1565
18-nov-1979	1544
21-nov-1979	1558
25-nov-1979	1545
28-nov-1979	1533
27-jan-1983	1537
30-jan-1983	1553
2-fev-1983	1563
6-fev-1983	1553
9-fev-1983	1567
19-fev-1983	1563
23-fev-1983	1579
5-mar-1983	1571
13-mar-1983	1554
16-mar-1983	1538
19-mar-1983	1527
26-mar-1983	1518
30-mar-1983	1525
3-abr-1983	1530
31-ago-1986	1533
7-set-1986	1516
11-set-1986	1520
14-set-1986	1530
21-set-1986	1519
25-set-1986	1515
30-set-1986	1519
2-out-1986	1533
7-out-1986	1546
9-out-1986	1543
23-out-1986	1531
29-out-1986	1526
1-nov-1986	1510
5-nov-1986	1529
9-nov-1986	1534
12-nov-1986	1552
16-nov-1986	1544
19-nov-1986	1545
23-nov-1986	1535
26-nov-1986	1516
29-nov-1986	1508
3-dez-1986	1515
7-dez-1986	1520
11-dez-1986	1525
14-dez-1986	1514
25-jan-1987	1504
