date	rating
28-jun-1959	1491
5-jul-1959	1507
12-jul-1959	1490
19-jul-1959	1504
22-jul-1959	1501
26-jul-1959	1491
2-ago-1959	1484
9-ago-1959	1494
16-ago-1959	1493
23-ago-1959	1500
30-ago-1959	1487
3-set-1959	1484
7-set-1959	1509
13-set-1959	1495
16-set-1959	1497
20-set-1959	1491
23-set-1959	1489
27-set-1959	1506
3-out-1959	1484
11-out-1959	1485
14-out-1959	1501
18-out-1959	1493
22-out-1959	1484
25-out-1959	1495
29-out-1959	1491
1-nov-1959	1488
4-nov-1959	1486
8-nov-1959	1473
12-nov-1959	1490
15-nov-1959	1497
21-nov-1959	1488
28-nov-1959	1497
3-dez-1959	1498
9-dez-1959	1495
12-dez-1959	1476
20-dez-1959	1485
27-dez-1959	1486
30-dez-1959	1477
12-jun-1960	1477
19-jun-1960	1506
22-jun-1960	1487
3-jul-1960	1476
6-jul-1960	1464
10-jul-1960	1466
17-jul-1960	1456
20-jul-1960	1454
24-jul-1960	1472
31-jul-1960	1463
7-ago-1960	1490
13-ago-1960	1480
21-ago-1960	1498
28-ago-1960	1515
31-ago-1960	1529
10-set-1960	1522
14-set-1960	1536
17-set-1960	1524
21-set-1960	1533
24-set-1960	1536
28-set-1960	1520
2-out-1960	1522
9-out-1960	1525
23-out-1960	1537
26-out-1960	1519
29-out-1960	1515
6-nov-1960	1532
13-nov-1960	1527
19-nov-1960	1536
27-nov-1960	1528
8-dez-1960	1540
11-dez-1960	1549
11-dez-1960	1536
17-dez-1960	1518
2-jul-1961	1527
5-jul-1961	1519
9-jul-1961	1516
16-jul-1961	1508
30-jul-1961	1511
6-ago-1961	1533
13-ago-1961	1541
20-ago-1961	1535
23-ago-1961	1544
27-ago-1961	1556
30-ago-1961	1553
3-set-1961	1553
9-set-1961	1547
17-set-1961	1536
24-set-1961	1547
8-out-1961	1562
15-out-1961	1572
22-out-1961	1576
1-nov-1961	1567
5-nov-1961	1569
8-nov-1961	1567
12-nov-1961	1557
15-nov-1961	1543
19-nov-1961	1538
22-nov-1961	1512
26-nov-1961	1509
2-dez-1961	1525
6-dez-1961	1518
10-dez-1961	1532
17-dez-1961	1520
8-jul-1962	1520
15-jul-1962	1532
18-jul-1962	1541
25-jul-1962	1535
29-jul-1962	1524
5-ago-1962	1546
12-ago-1962	1554
15-ago-1962	1552
19-ago-1962	1566
2-set-1962	1560
9-set-1962	1552
12-set-1962	1542
16-set-1962	1548
23-set-1962	1531
30-set-1962	1528
14-out-1962	1528
21-out-1962	1524
24-out-1962	1505
28-out-1962	1521
31-out-1962	1510
4-nov-1962	1528
