date	rating
29-ago-1976	1517
5-set-1976	1528
8-set-1976	1535
15-set-1976	1538
22-set-1976	1529
25-set-1976	1508
29-set-1976	1504
3-out-1976	1503
13-out-1976	1487
17-out-1976	1500
20-out-1976	1487
24-out-1976	1482
16-out-1977	1488
23-out-1977	1498
29-out-1977	1511
3-nov-1977	1531
6-nov-1977	1538
9-nov-1977	1558
13-nov-1977	1561
20-nov-1977	1536
23-nov-1977	1551
27-nov-1977	1545
4-dez-1977	1536
7-dez-1977	1551
11-dez-1977	1528
15-dez-1977	1524
26-mar-1978	1511
2-abr-1978	1510
6-abr-1978	1522
12-abr-1978	1515
16-abr-1978	1512
20-abr-1978	1497
27-abr-1978	1491
30-abr-1978	1486
3-mai-1978	1482
11-mai-1978	1461
14-mai-1978	1456
21-mai-1978	1464
24-mai-1978	1454
28-mai-1978	1473
4-jun-1978	1449
17-jun-1978	1425
23-set-1979	1442
30-set-1979	1444
6-out-1979	1430
14-out-1979	1421
17-out-1979	1422
21-out-1979	1396
24-out-1979	1412
1-nov-1979	1400
4-nov-1979	1380
29-jan-1984	1367
2-fev-1984	1363
5-fev-1984	1352
11-fev-1984	1349
15-fev-1984	1373
19-fev-1984	1368
26-fev-1984	1360
29-fev-1984	1356
