date	rating
7-ago-1971	1487
15-ago-1971	1505
18-ago-1971	1503
22-ago-1971	1515
25-ago-1971	1503
29-ago-1971	1493
5-set-1971	1506
8-set-1971	1527
11-set-1971	1521
19-set-1971	1545
25-set-1971	1552
3-out-1971	1567
10-out-1971	1584
13-out-1971	1560
17-out-1971	1576
20-out-1971	1559
27-out-1971	1579
7-nov-1971	1585
14-nov-1971	1612
20-nov-1971	1617
24-nov-1971	1604
28-nov-1971	1622
2-dez-1971	1603
5-dez-1971	1608
9-dez-1971	1596
10-set-1972	1615
13-set-1972	1619
17-set-1972	1630
20-set-1972	1633
24-set-1972	1644
27-set-1972	1658
1-out-1972	1639
4-out-1972	1652
8-out-1972	1647
11-out-1972	1642
15-out-1972	1670
18-out-1972	1687
22-out-1972	1687
25-out-1972	1683
29-out-1972	1691
1-nov-1972	1711
5-nov-1972	1699
8-nov-1972	1694
12-nov-1972	1693
16-nov-1972	1706
19-nov-1972	1694
22-nov-1972	1703
25-nov-1972	1698
30-nov-1972	1705
3-dez-1972	1691
10-dez-1972	1702
13-dez-1972	1686
16-dez-1972	1672
26-ago-1973	1666
29-ago-1973	1673
31-ago-1973	1698
5-set-1973	1679
8-set-1973	1686
12-set-1973	1692
15-set-1973	1700
23-set-1973	1700
26-set-1973	1716
30-set-1973	1688
3-out-1973	1671
7-out-1973	1681
14-out-1973	1696
17-out-1973	1710
21-out-1973	1685
24-out-1973	1691
27-out-1973	1680
3-nov-1973	1683
7-nov-1973	1681
10-nov-1973	1683
14-nov-1973	1691
18-nov-1973	1678
25-nov-1973	1668
28-nov-1973	1683
1-dez-1973	1695
8-dez-1973	1684
12-dez-1973	1697
16-dez-1973	1688
13-jan-1974	1693
16-jan-1974	1680
20-jan-1974	1680
23-jan-1974	1693
27-jan-1974	1690
30-jan-1974	1704
2-fev-1974	1690
6-fev-1974	1703
10-fev-1974	1697
9-mar-1974	1679
14-mar-1974	1688
17-mar-1974	1672
20-mar-1974	1654
23-mar-1974	1668
30-mar-1974	1681
6-abr-1974	1688
13-abr-1974	1672
21-abr-1974	1669
27-abr-1974	1664
4-mai-1974	1671
8-mai-1974	1683
11-mai-1974	1663
18-mai-1974	1648
25-mai-1974	1663
2-jun-1974	1665
5-jun-1974	1670
8-jun-1974	1670
12-jun-1974	1666
29-jun-1974	1656
3-jul-1974	1635
7-jul-1974	1654
13-jul-1974	1652
17-jul-1974	1644
20-ago-1975	1659
27-ago-1975	1649
31-ago-1975	1665
7-set-1975	1677
10-set-1975	1691
14-set-1975	1673
24-set-1975	1683
28-set-1975	1677
1-out-1975	1658
5-out-1975	1656
8-out-1975	1639
12-out-1975	1611
15-out-1975	1597
19-out-1975	1603
23-out-1975	1630
26-out-1975	1618
29-out-1975	1624
2-nov-1975	1630
6-nov-1975	1616
9-nov-1975	1616
29-ago-1976	1603
8-set-1976	1616
15-set-1976	1613
19-set-1976	1609
23-set-1976	1617
26-set-1976	1626
29-set-1976	1644
3-out-1976	1642
10-out-1976	1654
13-out-1976	1643
17-out-1976	1647
21-out-1976	1666
24-out-1976	1677
30-out-1976	1696
3-nov-1976	1709
7-nov-1976	1694
10-nov-1976	1713
17-nov-1976	1680
21-nov-1976	1666
24-nov-1976	1675
27-nov-1976	1679
16-out-1977	1658
19-out-1977	1655
23-out-1977	1645
30-out-1977	1627
6-nov-1977	1624
13-nov-1977	1632
17-nov-1977	1645
23-nov-1977	1616
27-nov-1977	1622
4-dez-1977	1634
7-dez-1977	1604
11-dez-1977	1587
17-dez-1977	1574
26-mar-1978	1588
30-mar-1978	1601
6-abr-1978	1613
9-abr-1978	1611
16-abr-1978	1594
23-abr-1978	1604
26-abr-1978	1616
30-abr-1978	1604
3-mai-1978	1602
7-mai-1978	1608
10-mai-1978	1616
14-mai-1978	1635
21-mai-1978	1618
24-mai-1978	1603
28-mai-1978	1595
4-jun-1978	1611
10-jun-1978	1611
17-jun-1978	1635
20-jun-1978	1636
24-jun-1978	1647
2-jul-1978	1655
5-jul-1978	1646
9-jul-1978	1652
13-jul-1978	1656
15-jul-1978	1643
19-jul-1978	1658
23-jul-1978	1658
23-set-1979	1646
30-set-1979	1651
6-out-1979	1645
13-out-1979	1635
17-out-1979	1617
20-out-1979	1611
28-out-1979	1619
31-out-1979	1639
3-nov-1979	1617
7-nov-1979	1624
12-nov-1979	1644
17-nov-1979	1635
21-nov-1979	1644
25-nov-1979	1652
28-nov-1979	1652
30-nov-1979	1659
4-dez-1979	1676
6-dez-1979	1677
8-dez-1979	1687
24-fev-1980	1681
27-fev-1980	1684
2-mar-1980	1703
5-mar-1980	1711
8-mar-1980	1688
16-mar-1980	1694
19-mar-1980	1700
23-mar-1980	1689
30-mar-1980	1698
6-abr-1980	1707
13-abr-1980	1703
16-abr-1980	1715
20-abr-1980	1724
26-abr-1980	1716
4-mai-1980	1733
11-mai-1980	1748
14-mai-1980	1759
17-mai-1980	1748
2-fev-1984	1756
5-fev-1984	1739
8-fev-1984	1723
12-fev-1984	1708
18-fev-1984	1694
22-fev-1984	1702
26-fev-1984	1687
29-fev-1984	1670
2-mar-1984	1675
11-mar-1984	1688
15-mar-1984	1667
18-mar-1984	1678
21-mar-1984	1678
25-mar-1984	1650
1-abr-1984	1665
7-abr-1984	1659
11-abr-1984	1648
15-abr-1984	1656
18-abr-1984	1658
22-abr-1984	1654
25-abr-1984	1660
29-abr-1984	1664
6-mai-1984	1646
27-jan-1985	1670
31-jan-1985	1680
3-fev-1985	1665
6-fev-1985	1647
10-fev-1985	1646
13-fev-1985	1640
24-fev-1985	1621
27-fev-1985	1606
3-mar-1985	1631
