date	rating
30-set-1979	1523
3-out-1979	1541
7-out-1979	1545
14-out-1979	1515
17-out-1979	1501
21-out-1979	1486
24-out-1979	1500
28-out-1979	1510
4-nov-1979	1496
12-out-1986	1502
16-out-1986	1510
19-out-1986	1499
22-out-1986	1513
26-out-1986	1512
30-out-1986	1522
2-nov-1986	1543
12-nov-1986	1553
26-nov-1986	1548
29-nov-1986	1538
3-dez-1986	1555
7-dez-1986	1539
10-dez-1986	1557
14-dez-1986	1567
25-jan-1987	1566
28-jan-1987	1577
13-set-1987	1565
17-set-1987	1586
20-set-1987	1601
23-set-1987	1583
27-set-1987	1567
30-set-1987	1579
4-out-1987	1592
24-out-1987	1610
28-out-1987	1629
1-nov-1987	1613
4-nov-1987	1629
8-nov-1987	1631
22-nov-1987	1631
25-nov-1987	1634
4-set-1988	1633
7-set-1988	1617
11-set-1988	1608
17-set-1988	1597
25-set-1988	1587
2-out-1988	1587
9-out-1988	1607
16-out-1988	1598
23-out-1988	1598
28-out-1988	1587
2-nov-1988	1576
6-nov-1988	1568
13-nov-1988	1570
16-nov-1988	1561
20-nov-1988	1562
24-nov-1988	1567
27-nov-1988	1563
1-dez-1988	1557
4-dez-1988	1543
7-dez-1988	1530
10-dez-1988	1516
15-dez-1988	1522
18-dez-1988	1519
6-mar-1992	1563
24-mar-1992	1575
27-mar-1992	1576
1-abr-1992	1561
10-abr-1992	1583
18-abr-1992	1599
30-abr-1992	1609
4-mai-1992	1619
13-mai-1992	1612
20-mai-1992	1621
4-set-1993	1602
12-set-1993	1617
15-set-1993	1623
18-set-1993	1605
22-set-1993	1622
25-set-1993	1598
29-set-1993	1618
6-out-1993	1608
10-out-1993	1609
13-out-1993	1616
16-out-1993	1619
20-out-1993	1616
24-out-1993	1602
27-out-1993	1614
13-ago-1994	1622
17-ago-1994	1613
21-ago-1994	1618
24-ago-1994	1619
28-ago-1994	1620
1-set-1994	1646
7-set-1994	1633
11-set-1994	1637
18-set-1994	1653
25-set-1994	1647
2-out-1994	1623
9-out-1994	1643
15-out-1994	1643
19-out-1994	1620
22-out-1994	1617
26-out-1994	1618
30-out-1994	1628
3-nov-1994	1605
6-nov-1994	1593
9-nov-1994	1606
16-nov-1994	1616
20-nov-1994	1605
23-nov-1994	1625
27-nov-1994	1627
20-ago-1995	1619
27-ago-1995	1621
30-ago-1995	1636
3-set-1995	1626
10-set-1995	1628
17-set-1995	1626
20-set-1995	1646
24-set-1995	1661
27-set-1995	1678
30-set-1995	1669
7-out-1995	1660
11-out-1995	1677
14-out-1995	1664
21-out-1995	1666
29-out-1995	1669
4-nov-1995	1674
8-nov-1995	1672
12-nov-1995	1660
15-nov-1995	1659
18-nov-1995	1648
21-nov-1995	1629
26-nov-1995	1650
29-nov-1995	1651
