date	rating
20-set-2000	1522
10-out-2000	1545
12-out-2000	1526
25-out-2000	1498
2-nov-2000	1527
23-nov-2000	1549
20-fev-2001	1571
27-fev-2001	1583
6-mar-2001	1581
21-mar-2001	1593
12-abr-2001	1574
4-mai-2001	1591
10-mai-2001	1579
16-mai-2001	1607
23-mai-2001	1611
30-mai-2001	1644
7-jun-2001	1670
14-jun-2001	1671
20-jun-2001	1661
28-jun-2001	1682
29-out-2002	1673
31-out-2002	1678
6-nov-2002	1671
14-nov-2002	1678
21-nov-2002	1686
28-nov-2002	1655
5-fev-2003	1643
18-fev-2003	1653
5-mar-2003	1609
26-mar-2003	1648
3-abr-2003	1627
8-abr-2003	1647
6-mai-2003	1648
13-mai-2003	1649
21-mai-2003	1653
28-mai-2003	1643
8-fev-2012	1651
22-fev-2012	1663
14-mar-2012	1668
21-mar-2012	1658
3-abr-2012	1649
18-abr-2012	1662
