date	rating
19-fev-1967	1512
22-fev-1967	1536
18-mar-1967	1555
20-mar-1967	1573
28-abr-1967	1595
1-mai-1967	1606
3-mai-1967	1602
10-mai-1967	1617
14-jun-1967	1637
18-jun-1967	1655
5-jul-1967	1642
8-jul-1967	1624
7-ago-1971	1636
11-ago-1971	1650
15-ago-1971	1661
21-ago-1971	1665
25-ago-1971	1668
29-ago-1971	1684
1-set-1971	1666
4-set-1971	1667
11-set-1971	1684
19-set-1971	1677
26-set-1971	1679
29-set-1971	1669
3-out-1971	1658
10-out-1971	1656
17-out-1971	1668
24-out-1971	1662
30-out-1971	1673
7-nov-1971	1676
14-nov-1971	1679
21-nov-1971	1680
24-nov-1971	1665
28-nov-1971	1681
1-dez-1971	1684
5-dez-1971	1685
8-dez-1971	1669
9-set-1972	1664
13-set-1972	1671
17-set-1972	1683
20-set-1972	1672
24-set-1972	1681
27-set-1972	1696
1-out-1972	1701
4-out-1972	1713
8-out-1972	1716
11-out-1972	1734
14-out-1972	1752
18-out-1972	1748
22-out-1972	1745
25-out-1972	1730
29-out-1972	1716
1-nov-1972	1714
5-nov-1972	1708
8-nov-1972	1716
12-nov-1972	1715
16-nov-1972	1728
19-nov-1972	1739
22-nov-1972	1746
26-nov-1972	1743
29-nov-1972	1723
3-dez-1972	1718
10-dez-1972	1706
14-dez-1972	1686
17-dez-1972	1686
26-ago-1973	1697
29-ago-1973	1691
31-ago-1973	1705
5-set-1973	1677
9-set-1973	1686
12-set-1973	1692
15-set-1973	1700
23-set-1973	1700
26-set-1973	1696
30-set-1973	1698
3-out-1973	1702
7-out-1973	1697
14-out-1973	1686
17-out-1973	1691
21-out-1973	1700
24-out-1973	1689
27-out-1973	1698
31-out-1973	1695
4-nov-1973	1696
11-nov-1973	1692
14-nov-1973	1702
17-nov-1973	1715
25-nov-1973	1689
28-nov-1973	1669
2-dez-1973	1668
8-dez-1973	1681
13-dez-1973	1695
16-dez-1973	1692
12-jan-1974	1703
16-jan-1974	1712
19-jan-1974	1707
23-jan-1974	1706
26-jan-1974	1726
30-jan-1974	1727
3-fev-1974	1741
7-fev-1974	1751
10-fev-1974	1752
13-fev-1974	1743
17-fev-1974	1758
20-fev-1974	1744
10-mar-1974	1740
13-mar-1974	1745
17-mar-1974	1755
20-mar-1974	1748
23-mar-1974	1731
31-mar-1974	1724
6-abr-1974	1736
10-abr-1974	1731
13-abr-1974	1720
20-abr-1974	1727
27-abr-1974	1732
11-mai-1974	1743
15-mai-1974	1747
18-mai-1974	1742
25-mai-1974	1735
2-jun-1974	1735
5-jun-1974	1746
9-jun-1974	1739
13-jun-1974	1728
29-jun-1974	1740
3-jul-1974	1750
6-jul-1974	1760
13-jul-1974	1776
17-jul-1974	1782
21-jul-1974	1780
24-jul-1974	1779
28-jul-1974	1798
23-fev-1975	1811
9-mar-1975	1785
13-mar-1975	1789
23-mar-1975	1785
6-abr-1975	1760
10-abr-1975	1767
21-mai-1975	1783
23-mai-1975	1801
3-jun-1975	1769
6-jun-1975	1739
24-ago-1975	1732
27-ago-1975	1742
31-ago-1975	1759
3-set-1975	1771
7-set-1975	1768
10-set-1975	1764
14-set-1975	1783
17-set-1975	1776
20-set-1975	1771
24-set-1975	1775
9-out-1975	1768
12-out-1975	1782
16-out-1975	1793
19-out-1975	1794
22-out-1975	1780
26-out-1975	1786
29-out-1975	1794
1-nov-1975	1794
5-nov-1975	1799
8-nov-1975	1814
12-nov-1975	1810
15-nov-1975	1784
19-nov-1975	1772
23-nov-1975	1790
26-nov-1975	1801
30-nov-1975	1808
4-dez-1975	1805
7-dez-1975	1814
14-dez-1975	1803
7-mar-1976	1820
14-mar-1976	1827
18-mar-1976	1817
24-mar-1976	1825
28-mar-1976	1849
4-abr-1976	1858
9-mai-1976	1866
12-mai-1976	1872
20-mai-1976	1878
30-mai-1976	1885
21-jul-1976	1898
28-jul-1976	1875
30-jul-1976	1884
4-set-1976	1874
7-set-1976	1879
12-set-1976	1871
16-set-1976	1861
19-set-1976	1866
26-set-1976	1856
29-set-1976	1860
3-out-1976	1842
16-out-1976	1845
21-out-1976	1838
24-out-1976	1843
27-out-1976	1846
3-jul-1977	1862
17-jul-1977	1872
24-jul-1977	1869
31-jul-1977	1874
6-set-1977	1852
11-set-1977	1863
14-set-1977	1857
16-out-1977	1865
23-out-1977	1869
30-out-1977	1859
2-nov-1977	1849
6-nov-1977	1836
10-nov-1977	1841
13-nov-1977	1802
16-nov-1977	1792
27-nov-1977	1806
4-dez-1977	1790
11-dez-1977	1782
14-dez-1977	1792
18-dez-1977	1784
29-jan-1978	1775
12-fev-1978	1772
15-fev-1978	1776
19-fev-1978	1753
22-fev-1978	1747
26-mar-1978	1729
2-abr-1978	1737
6-abr-1978	1748
9-abr-1978	1748
12-abr-1978	1753
16-abr-1978	1757
23-abr-1978	1783
26-abr-1978	1790
30-abr-1978	1794
7-mai-1978	1797
10-mai-1978	1779
14-mai-1978	1771
21-mai-1978	1774
24-mai-1978	1781
28-mai-1978	1780
4-jun-1978	1779
8-jun-1978	1785
13-jun-1978	1791
18-jun-1978	1797
24-jun-1978	1807
2-jul-1978	1809
5-jul-1978	1816
9-jul-1978	1808
13-jul-1978	1800
16-jul-1978	1785
20-jul-1978	1777
23-jul-1978	1775
23-set-1979	1778
30-set-1979	1769
4-out-1979	1745
6-out-1979	1745
10-out-1979	1757
14-out-1979	1765
18-out-1979	1769
24-out-1979	1789
4-nov-1979	1781
7-nov-1979	1789
11-nov-1979	1799
15-nov-1979	1804
18-nov-1979	1811
