date	rating
1-Feb-1965	1485
7-Feb-1965	1487
25-Feb-1965	1474
28-Feb-1965	1456
11-Feb-1967	1442
19-Feb-1967	1429
11-Mar-1967	1446
15-Mar-1967	1473
18-Mar-1967	1454
25-Mar-1967	1434
28-Mar-1967	1415
19-Apr-1967	1413
21-Jan-1968	1441
31-Jan-1968	1458
4-Feb-1968	1454
11-Feb-1968	1440
18-Feb-1968	1435
3-Mar-1968	1420
15-Feb-1970	1403
21-Feb-1970	1394
27-Feb-1970	1390
3-Mar-1970	1375
10-Mar-1970	1368
16-Mar-1970	1363
31-Jan-1971	1365
7-Feb-1971	1362
14-Feb-1971	1360
28-Feb-1971	1357
3-Mar-1971	1352
14-Mar-1971	1340
16-Feb-1975	1346
23-Feb-1975	1335
26-Feb-1975	1342
9-Mar-1975	1346
16-Mar-1975	1339
18-Mar-1975	1379
25-Feb-1976	1368
4-Mar-1976	1362
6-Mar-1976	1359
30-Mar-1976	1353
1-Apr-1976	1345
7-Apr-1976	1330
11-Mar-1979	1338
18-Mar-1979	1346
21-Mar-1979	1337
29-Mar-1979	1344
11-Apr-1979	1330
15-Apr-1979	1313
23-Mar-1980	1335
13-Apr-1980	1349
17-Apr-1980	1377
20-Apr-1980	1396
27-Apr-1980	1391
30-Apr-1980	1388
