date	rating
31-jan-1965	1485
7-fev-1965	1473
21-fev-1965	1474
26-fev-1965	1455
23-fev-1969	1470
26-fev-1969	1478
2-mar-1969	1487
9-mar-1969	1485
12-mar-1969	1473
16-mar-1969	1460
20-abr-1986	1460
29-abr-1986	1484
6-mai-1986	1518
22-jul-1986	1523
25-jul-1986	1510
29-jul-1986	1510
12-fev-1989	1490
24-fev-1989	1490
3-mar-1989	1494
10-mar-1989	1506
14-mar-1989	1489
17-mar-1989	1473
5-abr-1989	1482
12-abr-1989	1476
25-fev-1998	1480
3-mar-1998	1496
10-mar-1998	1484
18-mar-1998	1489
24-mar-1998	1465
27-mar-1998	1459
25-fev-2009	1470
10-mar-2009	1492
19-mar-2009	1474
14-abr-2009	1496
22-abr-2009	1487
9-fev-2010	1464
11-mar-2010	1475
25-mar-2010	1489
1-abr-2010	1501
13-abr-2010	1517
22-abr-2010	1506
8-fev-2012	1512
14-fev-2012	1494
7-mar-2012	1536
22-mar-2012	1528
10-abr-2012	1555
17-abr-2012	1589
