date	rating
23-mar-1980	1477
13-abr-1980	1474
17-abr-1980	1470
20-abr-1980	1451
27-abr-1980	1445
30-abr-1980	1442
24-mar-1982	1441
28-mar-1982	1424
31-mar-1982	1425
14-abr-1982	1409
18-abr-1982	1414
21-abr-1982	1402
27-mar-1983	1386
10-abr-1983	1387
13-abr-1983	1392
24-abr-1983	1398
6-mai-1983	1378
10-mar-1985	1381
17-mar-1985	1380
21-mar-1985	1372
24-mar-1985	1395
19-jul-1987	1422
22-jul-1987	1431
26-jul-1987	1444
5-ago-1987	1437
9-ago-1987	1428
16-ago-1987	1449
20-jul-1988	1451
28-jul-1988	1438
5-ago-1988	1430
11-ago-1988	1432
23-ago-1988	1421
26-ago-1988	1405
19-fev-1989	1422
24-fev-1989	1448
7-mar-1989	1459
12-mar-1989	1482
24-mar-1989	1473
28-mar-1989	1463
5-abr-1989	1440
12-abr-1989	1473
23-fev-1991	1471
1-mar-1991	1480
8-mar-1991	1471
16-mar-1991	1484
5-abr-1991	1490
7-abr-1991	1484
16-abr-1991	1479
24-abr-1991	1469
29-set-1999	1449
5-out-1999	1469
19-out-1999	1470
27-out-1999	1472
9-nov-1999	1445
11-nov-1999	1424
21-set-2000	1443
28-set-2000	1458
12-out-2000	1477
25-out-2000	1456
21-nov-2000	1471
23-nov-2000	1449
22-fev-2001	1456
27-fev-2001	1447
21-mar-2001	1443
18-abr-2001	1430
21-abr-2001	1427
2-mai-2001	1419
24-out-2002	1407
31-out-2002	1401
6-nov-2002	1389
19-nov-2002	1371
21-nov-2002	1363
28-nov-2002	1382
11-fev-2004	1392
24-fev-2004	1397
9-mar-2004	1427
17-mar-2004	1429
8-abr-2004	1456
14-abr-2004	1464
4-mai-2004	1503
13-mai-2004	1507
19-mai-2004	1499
26-mai-2004	1490
2-mar-2005	1512
10-mar-2005	1502
7-abr-2005	1486
19-abr-2005	1471
4-mai-2005	1464
12-mai-2005	1447
25-jan-2006	1442
1-fev-2006	1436
30-jan-2007	1424
8-fev-2007	1406
10-fev-2009	1427
4-mar-2009	1423
11-mar-2009	1441
17-mar-2009	1421
16-abr-2009	1439
30-abr-2009	1431
26-jan-2010	1452
2-fev-2010	1436
15-fev-2011	1447
1-mar-2011	1434
10-mar-2011	1441
6-abr-2011	1427
12-abr-2011	1420
20-abr-2011	1414
15-fev-2012	1426
22-fev-2012	1414
13-mar-2012	1400
27-mar-2012	1403
3-abr-2012	1412
18-abr-2012	1406
