date	rating
26-ago-1973	1514
29-ago-1973	1540
2-set-1973	1529
5-set-1973	1524
9-set-1973	1523
12-set-1973	1537
16-set-1973	1523
23-set-1973	1509
26-set-1973	1513
30-set-1973	1513
3-out-1973	1514
7-out-1973	1527
14-out-1973	1516
17-out-1973	1533
21-out-1973	1526
24-out-1973	1514
27-out-1973	1511
31-out-1973	1513
4-nov-1973	1515
11-nov-1973	1527
14-nov-1973	1540
17-nov-1973	1542
28-nov-1973	1538
2-dez-1973	1513
5-dez-1973	1531
8-dez-1973	1530
12-dez-1973	1518
16-dez-1973	1507
10-mar-1974	1519
13-mar-1974	1526
17-mar-1974	1537
23-mar-1974	1525
27-mar-1974	1508
30-mar-1974	1512
6-abr-1974	1505
13-abr-1974	1503
20-abr-1974	1494
24-abr-1974	1484
27-abr-1974	1499
4-mai-1974	1492
8-mai-1974	1505
18-mai-1974	1505
25-mai-1974	1497
2-jun-1974	1501
5-jun-1974	1503
9-jun-1974	1486
13-jun-1974	1475
20-ago-1975	1482
24-ago-1975	1470
27-ago-1975	1464
31-ago-1975	1458
7-set-1975	1466
14-set-1975	1462
17-set-1975	1477
21-set-1975	1455
24-set-1975	1449
28-set-1975	1433
5-out-1975	1445
25-out-1975	1429
29-out-1975	1435
2-nov-1975	1447
5-nov-1975	1436
9-nov-1975	1460
4-set-1976	1457
7-set-1976	1470
12-set-1976	1444
18-set-1976	1459
22-set-1976	1455
26-set-1976	1447
29-set-1976	1432
3-out-1976	1439
10-out-1976	1424
13-out-1976	1428
17-out-1976	1416
24-out-1976	1404
16-out-1977	1400
20-out-1977	1397
27-out-1977	1412
2-nov-1977	1403
6-nov-1977	1392
10-nov-1977	1411
13-nov-1977	1411
16-nov-1977	1428
20-nov-1977	1453
23-nov-1977	1474
1-dez-1977	1454
4-dez-1977	1476
11-dez-1977	1488
14-dez-1977	1483
18-dez-1977	1479
2-fev-1978	1472
12-fev-1978	1464
15-fev-1978	1452
18-fev-1978	1459
23-fev-1978	1464
29-mar-1978	1468
2-abr-1978	1468
9-abr-1978	1487
16-abr-1978	1483
20-abr-1978	1501
26-abr-1978	1505
30-abr-1978	1504
3-mai-1978	1482
7-mai-1978	1468
11-mai-1978	1470
14-mai-1978	1456
21-mai-1978	1474
28-mai-1978	1484
17-jun-1978	1463
20-jun-1978	1452
23-jun-1978	1440
23-set-1979	1427
26-set-1979	1442
29-set-1979	1443
7-out-1979	1463
17-out-1979	1477
21-out-1979	1477
24-out-1979	1497
28-out-1979	1495
4-nov-1979	1513
8-nov-1979	1515
11-nov-1979	1525
15-nov-1979	1539
18-nov-1979	1551
21-nov-1979	1537
25-nov-1979	1530
28-nov-1979	1552
24-fev-1980	1568
27-fev-1980	1555
2-mar-1980	1551
5-mar-1980	1541
9-mar-1980	1542
16-mar-1980	1526
19-mar-1980	1546
22-mar-1980	1538
30-mar-1980	1550
6-abr-1980	1567
13-abr-1980	1571
16-abr-1980	1548
20-abr-1980	1558
27-abr-1980	1579
4-mai-1980	1563
10-mai-1980	1557
15-mai-1980	1563
18-mai-1980	1579
18-jan-1981	1562
21-jan-1981	1548
25-jan-1981	1540
28-jan-1981	1546
1-fev-1981	1533
4-fev-1981	1529
7-fev-1981	1518
14-fev-1981	1505
21-fev-1981	1497
17-jan-1982	1491
20-jan-1982	1483
24-jan-1982	1476
31-jan-1982	1501
3-fev-1982	1493
10-fev-1982	1516
14-fev-1982	1506
18-fev-1982	1526
27-jan-1985	1539
30-jan-1985	1521
3-fev-1985	1534
6-fev-1985	1511
10-fev-1985	1501
13-fev-1985	1492
24-fev-1985	1482
27-fev-1985	1470
3-mar-1985	1498
6-mar-1985	1520
10-mar-1985	1498
17-mar-1985	1485
20-mar-1985	1484
24-mar-1985	1497
27-mar-1985	1481
31-mar-1985	1475
3-abr-1985	1493
7-abr-1985	1512
10-abr-1985	1495
14-abr-1985	1475
17-abr-1985	1474
21-abr-1985	1473
4-set-1993	1466
12-set-1993	1443
15-set-1993	1436
18-set-1993	1442
22-set-1993	1463
26-set-1993	1453
29-set-1993	1436
6-out-1993	1443
10-out-1993	1447
13-out-1993	1440
16-out-1993	1446
20-out-1993	1439
24-out-1993	1446
27-out-1993	1450
