date	rating
4-fev-1968	1497
11-fev-1968	1514
18-fev-1968	1533
24-fev-1968	1511
27-fev-1968	1493
3-mar-1968	1476
25-fev-1973	1451
11-mar-1973	1454
14-mar-1973	1470
18-mar-1973	1486
22-mar-1973	1470
25-mar-1973	1445
17-fev-1974	1474
27-fev-1974	1476
6-mar-1974	1502
10-mar-1974	1504
20-mar-1974	1522
27-mar-1974	1507
16-fev-1975	1486
26-fev-1975	1480
2-mar-1975	1508
9-mar-1975	1510
16-mar-1975	1492
18-mar-1975	1453
3-abr-1977	1455
9-abr-1977	1479
13-abr-1977	1521
24-abr-1977	1543
30-abr-1977	1527
5-mai-1977	1522
27-jun-1978	1528
30-jun-1978	1521
5-jul-1978	1547
11-jul-1978	1532
14-jul-1978	1521
26-jul-1978	1505
4-mar-1979	1520
20-mar-1979	1503
23-mar-1979	1493
1-abr-1979	1491
5-abr-1979	1513
8-abr-1979	1498
27-mar-1983	1518
13-abr-1983	1512
17-abr-1983	1513
24-abr-1983	1485
6-mai-1983	1505
11-mai-1983	1520
4-abr-1984	1534
8-abr-1984	1567
15-abr-1984	1587
25-abr-1984	1579
3-mai-1984	1584
8-mai-1984	1564
23-mai-1985	1574
7-jul-1985	1586
14-jul-1985	1610
19-jul-1985	1616
31-jul-1985	1621
2-ago-1985	1618
22-set-1985	1642
25-set-1985	1629
2-out-1985	1660
6-out-1985	1630
22-mar-1987	1644
1-abr-1987	1624
5-abr-1987	1603
13-mai-1987	1584
20-mai-1987	1620
24-mai-1987	1637
17-fev-1993	1651
26-fev-1993	1668
5-mar-1993	1688
10-mar-1993	1654
23-mar-1993	1622
26-mar-1993	1596
7-abr-1993	1616
14-abr-1993	1578
22-fev-1995	1573
7-mar-1995	1598
17-mar-1995	1586
22-mar-1995	1557
4-abr-1995	1544
7-abr-1995	1531
19-fev-1997	1516
26-fev-1997	1538
2-mar-1997	1567
12-mar-1997	1581
18-mar-1997	1562
7-mai-1997	1584
14-mai-1997	1575
16-fev-2000	1563
16-mar-2000	1598
21-mar-2000	1594
6-abr-2000	1617
13-abr-2000	1598
20-abr-2000	1619
3-mai-2000	1623
9-mai-2000	1606
13-fev-2001	1580
28-fev-2001	1602
13-mar-2001	1621
10-abr-2001	1633
18-abr-2001	1614
3-mai-2001	1594
8-mai-2001	1589
15-mai-2001	1580
5-fev-2002	1597
26-fev-2002	1580
5-mar-2002	1598
12-mar-2002	1574
19-mar-2002	1601
9-abr-2002	1618
25-abr-2002	1624
1-mai-2002	1611
5-fev-2003	1581
26-fev-2003	1586
12-mar-2003	1593
19-mar-2003	1604
27-mar-2003	1593
16-abr-2003	1599
12-fev-2004	1600
26-fev-2004	1580
2-mar-2004	1563
16-mar-2004	1584
23-mar-2004	1580
20-abr-2004	1567
14-fev-2006	1570
8-mar-2006	1560
22-mar-2006	1532
30-mar-2006	1534
12-abr-2006	1566
20-abr-2006	1568
20-fev-2007	1560
27-fev-2007	1534
6-mar-2007	1539
22-mar-2007	1529
3-abr-2007	1517
18-abr-2007	1509
27-jan-2009	1475
5-fev-2009	1476
