date	rating
10-abr-1977	1475
10-mai-1977	1490
17-mai-1977	1509
20-mai-1977	1491
27-mai-1977	1503
2-jun-1977	1478
12-mar-1978	1482
26-mar-1978	1465
30-mar-1978	1467
2-abr-1978	1486
25-abr-1978	1490
28-abr-1978	1476
5-abr-1981	1477
22-abr-1981	1451
26-abr-1981	1441
3-mai-1981	1441
13-mai-1981	1425
18-mai-1981	1416
24-mar-1982	1418
28-mar-1982	1396
31-mar-1982	1402
14-abr-1982	1418
18-abr-1982	1398
21-abr-1982	1389
18-jul-1987	1380
22-jul-1987	1376
26-jul-1987	1364
4-ago-1987	1359
8-ago-1987	1351
16-ago-1987	1331
16-set-1998	1351
29-set-1998	1357
13-out-1998	1393
28-out-1998	1419
10-nov-1998	1400
12-nov-1998	1377
23-fev-1999	1397
6-mar-1999	1417
13-mar-1999	1450
17-mar-1999	1424
30-mar-1999	1402
2-abr-1999	1393
14-abr-1999	1422
21-abr-1999	1409
5-mai-1999	1452
12-mai-1999	1437
22-out-2002	1454
29-out-2002	1463
6-nov-2002	1475
12-nov-2002	1455
14-nov-2002	1448
28-nov-2002	1429
