date	rating
25-set-1979	1501
30-set-1979	1513
6-out-1979	1512
14-out-1979	1528
18-out-1979	1527
21-out-1979	1527
28-out-1979	1505
1-nov-1979	1492
4-nov-1979	1490
24-fev-1980	1492
27-fev-1980	1497
2-mar-1980	1503
5-mar-1980	1500
8-mar-1980	1510
16-mar-1980	1521
19-mar-1980	1507
30-mar-1980	1509
6-abr-1980	1492
12-abr-1980	1496
16-abr-1980	1483
20-abr-1980	1473
26-abr-1980	1481
4-mai-1980	1472
18-jan-1981	1485
22-jan-1981	1472
25-jan-1981	1482
28-jan-1981	1518
1-fev-1981	1502
4-fev-1981	1510
7-fev-1981	1510
14-fev-1981	1522
26-fev-1981	1531
7-mar-1981	1525
12-mar-1981	1514
15-mar-1981	1495
21-mar-1981	1488
28-mar-1981	1479
4-abr-1981	1463
17-jan-1982	1455
24-jan-1982	1436
28-jan-1982	1429
31-jan-1982	1426
4-fev-1982	1444
7-fev-1982	1440
10-fev-1982	1439
14-fev-1982	1420
23-jan-1983	1417
26-jan-1983	1404
30-jan-1983	1411
5-fev-1983	1424
9-fev-1983	1413
23-fev-1983	1400
27-fev-1983	1396
6-mar-1983	1391
1-fev-1984	1400
5-fev-1984	1411
9-fev-1984	1407
12-fev-1984	1390
15-fev-1984	1365
19-fev-1984	1370
23-fev-1984	1365
29-fev-1984	1360
2-mar-1984	1354
