date	rating
26-Aug-1973	1505
29-Aug-1973	1513
1-Sep-1973	1500
5-Sep-1973	1506
9-Sep-1973	1488
12-Sep-1973	1481
16-Sep-1973	1485
23-Sep-1973	1475
26-Sep-1973	1496
30-Sep-1973	1511
3-Oct-1973	1513
7-Oct-1973	1522
14-Oct-1973	1524
17-Oct-1973	1519
21-Oct-1973	1528
24-Oct-1973	1518
27-Oct-1973	1515
31-Oct-1973	1501
4-Nov-1973	1504
11-Nov-1973	1494
14-Nov-1973	1500
18-Nov-1973	1516
25-Nov-1973	1519
28-Nov-1973	1525
2-Dec-1973	1531
8-Dec-1973	1517
12-Dec-1973	1502
16-Dec-1973	1489
20-Aug-1975	1481
24-Aug-1975	1484
28-Aug-1975	1495
31-Aug-1975	1483
3-Sep-1975	1481
14-Sep-1975	1487
17-Sep-1975	1497
21-Sep-1975	1519
24-Sep-1975	1514
1-Oct-1975	1519
5-Oct-1975	1534
8-Oct-1975	1551
12-Oct-1975	1573
15-Oct-1975	1577
18-Oct-1975	1581
22-Oct-1975	1583
26-Oct-1975	1577
29-Oct-1975	1580
1-Nov-1975	1572
5-Nov-1975	1579
9-Nov-1975	1559
1-Sep-1976	1549
4-Sep-1976	1531
8-Sep-1976	1540
11-Sep-1976	1529
15-Sep-1976	1527
18-Sep-1976	1512
23-Sep-1976	1502
26-Sep-1976	1515
10-Oct-1976	1530
17-Oct-1976	1514
20-Oct-1976	1499
24-Oct-1976	1478
26-Mar-1978	1480
29-Mar-1978	1472
2-Apr-1978	1474
6-Apr-1978	1462
9-Apr-1978	1476
20-Apr-1978	1458
23-Apr-1978	1450
27-Apr-1978	1470
30-Apr-1978	1462
4-May-1978	1465
7-May-1978	1470
11-May-1978	1479
24-May-1978	1470
28-May-1978	1455
4-Jun-1978	1473
13-Jun-1978	1461
17-Jun-1978	1483
24-Jun-1978	1482
30-Sep-1979	1479
3-Oct-1979	1486
14-Oct-1979	1491
17-Oct-1979	1484
21-Oct-1979	1506
25-Oct-1979	1503
28-Oct-1979	1494
31-Oct-1979	1503
4-Nov-1979	1516
11-Nov-1979	1520
15-Nov-1979	1528
18-Nov-1979	1549
22-Nov-1979	1554
25-Nov-1979	1554
28-Nov-1979	1536
10-Aug-2002	1527
14-Aug-2002	1531
18-Aug-2002	1535
21-Aug-2002	1523
24-Aug-2002	1507
28-Aug-2002	1525
8-Sep-2002	1518
11-Sep-2002	1507
14-Sep-2002	1536
18-Sep-2002	1562
21-Sep-2002	1576
25-Sep-2002	1569
29-Sep-2002	1584
3-Oct-2002	1611
9-Oct-2002	1614
12-Oct-2002	1602
16-Oct-2002	1618
20-Oct-2002	1608
23-Oct-2002	1621
26-Oct-2002	1612
30-Oct-2002	1605
2-Nov-2002	1592
6-Nov-2002	1581
13-Nov-2002	1598
17-Nov-2002	1599
30-Mar-2003	1603
6-Apr-2003	1608
12-Apr-2003	1596
16-Apr-2003	1599
21-Apr-2003	1588
27-Apr-2003	1590
4-May-2003	1584
11-May-2003	1618
17-May-2003	1601
25-May-2003	1617
1-Jun-2003	1633
7-Jun-2003	1637
15-Jun-2003	1624
22-Jun-2003	1619
28-Jun-2003	1641
5-Jul-2003	1659
9-Jul-2003	1645
13-Jul-2003	1667
16-Jul-2003	1677
19-Jul-2003	1654
23-Jul-2003	1655
27-Jul-2003	1634
3-Aug-2003	1623
7-Aug-2003	1639
10-Aug-2003	1627
16-Aug-2003	1644
20-Aug-2003	1659
24-Aug-2003	1650
31-Aug-2003	1649
14-Sep-2003	1655
21-Sep-2003	1679
25-Sep-2003	1676
28-Sep-2003	1674
4-Oct-2003	1650
9-Oct-2003	1642
12-Oct-2003	1664
19-Oct-2003	1660
22-Oct-2003	1661
25-Oct-2003	1654
2-Nov-2003	1685
5-Nov-2003	1687
9-Nov-2003	1699
22-Nov-2003	1712
29-Nov-2003	1696
6-Dec-2003	1724
13-Dec-2003	1739
21-Apr-2004	1750
25-Apr-2004	1768
28-Apr-2004	1782
2-May-2004	1757
9-May-2004	1744
16-May-2004	1759
22-May-2004	1753
29-May-2004	1747
13-Jun-2004	1761
19-Jun-2004	1764
26-Jun-2004	1780
3-Jul-2004	1776
6-Jul-2004	1772
10-Jul-2004	1785
13-Jul-2004	1781
17-Jul-2004	1767
20-Jul-2004	1764
24-Jul-2004	1764
28-Jul-2004	1774
1-Aug-2004	1751
4-Aug-2004	1745
8-Aug-2004	1744
11-Aug-2004	1728
14-Aug-2004	1701
18-Aug-2004	1703
22-Aug-2004	1685
29-Aug-2004	1695
1-Sep-2004	1711
8-Sep-2004	1700
12-Sep-2004	1715
19-Sep-2004	1694
24-Sep-2004	1679
28-Sep-2004	1680
2-Oct-2004	1692
6-Oct-2004	1678
16-Oct-2004	1694
24-Oct-2004	1678
27-Oct-2004	1663
30-Oct-2004	1681
7-Nov-2004	1662
14-Nov-2004	1655
20-Nov-2004	1675
27-Nov-2004	1687
4-Dec-2004	1672
12-Dec-2004	1686
19-Dec-2004	1666
23-Apr-2005	1646
1-May-2005	1633
7-May-2005	1637
14-May-2005	1627
22-May-2005	1618
28-May-2005	1643
11-Jun-2005	1644
18-Jun-2005	1644
26-Jun-2005	1659
3-Jul-2005	1659
9-Jul-2005	1639
16-Jul-2005	1629
20-Jul-2005	1608
24-Jul-2005	1635
28-Jul-2005	1637
31-Jul-2005	1640
4-Aug-2005	1616
7-Aug-2005	1603
10-Aug-2005	1629
14-Aug-2005	1627
21-Aug-2005	1620
25-Aug-2005	1607
28-Aug-2005	1608
7-Sep-2005	1639
11-Sep-2005	1624
18-Sep-2005	1617
21-Sep-2005	1630
25-Sep-2005	1654
1-Oct-2005	1631
5-Oct-2005	1645
8-Oct-2005	1624
12-Oct-2005	1624
15-Oct-2005	1649
19-Oct-2005	1648
22-Oct-2005	1670
26-Oct-2005	1673
29-Oct-2005	1684
3-Nov-2005	1656
6-Nov-2005	1644
12-Nov-2005	1657
16-Nov-2005	1682
19-Nov-2005	1666
27-Nov-2005	1679
4-Dec-2005	1699
16-Apr-2006	1693
22-Apr-2006	1719
30-Apr-2006	1697
7-May-2006	1687
14-May-2006	1700
20-May-2006	1725
24-May-2006	1723
27-May-2006	1720
1-Jun-2006	1730
4-Jun-2006	1700
12-Jul-2006	1715
15-Jul-2006	1705
22-Jul-2006	1719
29-Jul-2006	1704
5-Aug-2006	1703
12-Aug-2006	1718
16-Aug-2006	1715
20-Aug-2006	1713
24-Aug-2006	1692
27-Aug-2006	1705
30-Aug-2006	1705
2-Sep-2006	1705
10-Sep-2006	1705
17-Sep-2006	1682
20-Sep-2006	1698
24-Sep-2006	1686
4-Oct-2006	1683
8-Oct-2006	1697
15-Oct-2006	1706
