date	rating
29-Aug-1976	1496
1-Sep-1976	1483
11-Sep-1976	1471
15-Sep-1976	1468
19-Sep-1976	1457
22-Sep-1976	1476
25-Sep-1976	1465
29-Sep-1976	1450
10-Oct-1976	1462
13-Oct-1976	1460
20-Oct-1976	1450
24-Oct-1976	1448
16-Oct-1977	1433
23-Oct-1977	1422
26-Oct-1977	1419
2-Nov-1977	1416
6-Nov-1977	1412
9-Nov-1977	1400
13-Nov-1977	1400
20-Nov-1977	1402
24-Nov-1977	1397
27-Nov-1977	1400
1-Dec-1977	1398
7-Dec-1977	1387
11-Dec-1977	1403
14-Dec-1977	1390
18-Dec-1977	1393
3-Oct-1979	1395
6-Oct-1979	1381
10-Oct-1979	1374
14-Oct-1979	1392
18-Oct-1979	1409
25-Oct-1979	1413
28-Oct-1979	1403
31-Oct-1979	1416
4-Nov-1979	1420
