date	rating
3-mai-1906	1521
13-mai-1906	1543
10-jun-1906	1560
14-jul-1906	1575
5-ago-1906	1558
12-ago-1906	1567
9-set-1906	1581
30-set-1906	1597
14-out-1906	1613
21-out-1906	1622
3-mai-1908	1642
24-mai-1908	1654
14-jun-1908	1650
5-jul-1908	1663
19-jul-1908	1670
2-ago-1908	1681
16-ago-1908	1685
1-set-1908	1680
6-set-1908	1686
4-out-1908	1690
9-mai-1909	1686
23-mai-1909	1696
30-mai-1909	1708
13-jun-1909	1720
4-jul-1909	1725
11-jul-1909	1731
22-ago-1909	1738
5-set-1909	1734
19-set-1909	1742
26-set-1909	1747
10-out-1909	1749
1-mai-1910	1760
5-jun-1910	1765
19-jun-1910	1771
26-jun-1910	1750
10-jul-1910	1755
31-jul-1910	1765
21-ago-1910	1758
25-set-1910	1735
9-out-1910	1738
20-out-1910	1740
7-mai-1911	1744
11-jun-1911	1751
9-jul-1911	1765
3-set-1911	1768
10-set-1911	1774
1-out-1911	1784
3-mai-1913	1766
1-jun-1913	1747
8-jun-1913	1753
22-jun-1913	1758
6-jul-1913	1764
27-jul-1913	1757
3-ago-1913	1730
17-ago-1913	1738
31-ago-1913	1720
28-set-1913	1714
12-out-1913	1704
19-out-1913	1680
1-nov-1913	1701
9-nov-1913	1679
15-nov-1913	1674
3-mai-1914	1682
13-mai-1914	1683
31-mai-1914	1690
21-jun-1914	1681
26-jul-1914	1671
16-ago-1914	1678
6-set-1914	1690
11-out-1914	1698
25-out-1914	1702
1-nov-1914	1710
8-nov-1914	1711
15-nov-1914	1700
3-mai-1915	1706
9-mai-1915	1685
16-mai-1915	1691
23-mai-1915	1696
4-jul-1915	1698
1-ago-1915	1705
22-ago-1915	1706
29-ago-1915	1713
5-set-1915	1719
12-out-1915	1737
17-out-1915	1748
1-nov-1915	1733
3-mai-1916	1727
13-mai-1916	1711
25-jun-1916	1728
6-ago-1916	1712
20-ago-1916	1697
3-set-1916	1702
10-set-1916	1706
22-out-1916	1697
1-nov-1916	1689
19-nov-1916	1662
26-nov-1916	1662
3-dez-1916	1658
8-dez-1916	1675
27-mai-1917	1690
10-jun-1917	1696
1-jul-1917	1704
8-jul-1917	1710
14-jul-1917	1729
5-ago-1917	1733
15-ago-1917	1744
26-ago-1917	1750
2-set-1917	1742
9-set-1917	1753
16-set-1917	1757
4-nov-1917	1760
11-nov-1917	1733
18-nov-1917	1720
25-nov-1917	1725
9-dez-1917	1735
23-dez-1917	1734
30-dez-1917	1746
14-abr-1918	1752
21-abr-1918	1758
3-mai-1918	1760
12-mai-1918	1767
19-mai-1918	1782
26-mai-1918	1785
23-jun-1918	1802
30-jun-1918	1806
14-jul-1918	1802
21-jul-1918	1805
28-jul-1918	1809
15-ago-1918	1791
15-set-1918	1805
20-set-1918	1801
29-set-1918	1809
6-out-1918	1806
8-dez-1918	1807
22-dez-1918	1789
8-jun-1919	1795
22-jun-1919	1797
13-jul-1919	1800
20-jul-1919	1807
27-jul-1919	1787
15-ago-1919	1792
24-ago-1919	1803
31-ago-1919	1811
7-set-1919	1817
5-out-1919	1821
26-out-1919	1822
9-nov-1919	1825
16-nov-1919	1826
23-nov-1919	1840
30-nov-1919	1846
14-dez-1919	1849
21-dez-1919	1862
28-dez-1919	1869
11-abr-1920	1871
25-abr-1920	1876
2-mai-1920	1878
9-mai-1920	1882
23-mai-1920	1868
27-jun-1920	1862
4-jul-1920	1864
18-jul-1920	1875
8-ago-1920	1879
24-out-1920	1879
31-out-1920	1846
7-nov-1920	1833
14-nov-1920	1836
21-nov-1920	1827
28-nov-1920	1839
12-dez-1920	1840
19-dez-1920	1838
26-dez-1920	1831
10-abr-1921	1838
17-abr-1921	1816
1-mai-1921	1800
22-mai-1921	1797
29-mai-1921	1786
12-jun-1921	1792
26-jun-1921	1764
3-jul-1921	1745
17-jul-1921	1755
24-jul-1921	1743
7-ago-1921	1744
14-ago-1921	1731
7-set-1921	1735
9-abr-1922	1746
16-abr-1922	1754
23-abr-1922	1743
7-mai-1922	1728
13-mai-1922	1740
21-mai-1922	1729
4-jun-1922	1729
18-jun-1922	1735
25-jun-1922	1737
2-jul-1922	1749
9-jul-1922	1758
16-jul-1922	1756
1-set-1922	1771
29-abr-1923	1781
6-mai-1923	1762
13-mai-1923	1763
20-mai-1923	1748
27-mai-1923	1761
10-jun-1923	1756
17-jun-1923	1729
8-jul-1923	1736
14-jul-1923	1739
22-jul-1923	1733
29-jul-1923	1720
5-ago-1923	1733
12-ago-1923	1746
26-ago-1923	1732
26-abr-1925	1728
3-mai-1925	1723
10-mai-1925	1729
17-mai-1925	1718
24-mai-1925	1725
7-jun-1925	1731
14-jun-1925	1751
21-jun-1925	1749
28-jun-1925	1762
5-jul-1925	1769
27-set-1925	1775
11-out-1925	1780
25-out-1925	1788
1-nov-1925	1798
8-nov-1925	1799
19-nov-1925	1803
22-nov-1925	1819
20-dez-1925	1823
4-abr-1926	1808
18-abr-1926	1818
25-abr-1926	1821
2-mai-1926	1827
9-mai-1926	1830
16-mai-1926	1833
23-mai-1926	1841
6-jun-1926	1843
20-jun-1926	1841
27-jun-1926	1845
4-jul-1926	1824
14-jul-1926	1826
18-jul-1926	1830
25-jul-1926	1834
1-ago-1926	1840
8-ago-1926	1821
29-ago-1926	1826
19-set-1926	1809
1-mai-1927	1816
8-mai-1927	1819
22-mai-1927	1826
29-mai-1927	1828
5-jun-1927	1835
12-jun-1927	1823
19-jun-1927	1800
26-jun-1927	1808
3-jul-1927	1808
10-jul-1927	1814
17-jul-1927	1817
24-jul-1927	1829
31-jul-1927	1823
7-ago-1927	1824
14-ago-1927	1820
21-ago-1927	1818
4-set-1927	1814
18-set-1927	1824
8-abr-1928	1798
15-abr-1928	1801
22-abr-1928	1811
29-abr-1928	1813
6-mai-1928	1815
13-mai-1928	1819
20-mai-1928	1818
27-mai-1928	1833
10-jun-1928	1841
17-jun-1928	1821
1-jul-1928	1828
8-jul-1928	1829
5-ago-1928	1834
12-ago-1928	1836
26-ago-1928	1839
9-set-1928	1829
23-set-1928	1801
23-set-1928	1790
7-out-1928	1766
21-out-1928	1751
7-abr-1929	1726
14-abr-1929	1711
21-abr-1929	1715
5-mai-1929	1705
12-mai-1929	1713
26-mai-1929	1726
2-jun-1929	1731
9-jun-1929	1741
16-jun-1929	1729
14-jul-1929	1738
21-jul-1929	1745
28-jul-1929	1752
4-ago-1929	1744
18-ago-1929	1734
1-set-1929	1740
22-set-1929	1733
26-set-1929	1726
6-out-1929	1733
12-out-1929	1736
26-out-1929	1750
6-abr-1930	1753
13-abr-1930	1740
20-abr-1930	1721
4-mai-1930	1737
11-mai-1930	1741
18-mai-1930	1745
25-mai-1930	1721
1-jun-1930	1727
8-jun-1930	1741
14-set-1930	1731
21-set-1930	1734
28-set-1930	1742
5-out-1930	1745
19-out-1930	1734
26-out-1930	1740
9-nov-1930	1726
20-nov-1930	1699
23-nov-1930	1708
30-nov-1930	1711
7-dez-1930	1713
28-dez-1930	1715
12-abr-1931	1707
