date	rating
26-ago-1973	1499
29-ago-1973	1501
1-set-1973	1491
5-set-1973	1510
9-set-1973	1529
12-set-1973	1521
16-set-1973	1528
22-set-1973	1545
26-set-1973	1542
30-set-1973	1544
3-out-1973	1550
7-out-1973	1562
14-out-1973	1562
17-out-1973	1573
20-out-1973	1583
25-out-1973	1600
27-out-1973	1604
31-out-1973	1608
4-nov-1973	1592
11-nov-1973	1591
14-nov-1973	1589
18-nov-1973	1583
25-nov-1973	1584
28-nov-1973	1578
2-dez-1973	1591
8-dez-1973	1613
12-dez-1973	1609
16-dez-1973	1629
12-jan-1974	1619
16-jan-1974	1609
20-jan-1974	1597
23-jan-1974	1584
26-jan-1974	1575
31-jan-1974	1569
2-fev-1974	1556
6-fev-1974	1541
10-fev-1974	1543
10-mar-1974	1568
13-mar-1974	1552
17-mar-1974	1563
21-mar-1974	1552
23-mar-1974	1550
30-mar-1974	1536
3-abr-1974	1566
6-abr-1974	1579
13-abr-1974	1598
24-abr-1974	1583
4-mai-1974	1580
12-mai-1974	1597
15-mai-1974	1588
18-mai-1974	1594
26-mai-1974	1572
29-mai-1974	1579
5-jun-1974	1568
8-jun-1974	1566
13-jun-1974	1592
29-jun-1974	1619
3-jul-1974	1609
7-jul-1974	1609
13-jul-1974	1611
18-jul-1974	1617
20-ago-1975	1634
24-ago-1975	1648
31-ago-1975	1637
3-set-1975	1635
10-set-1975	1630
14-set-1975	1603
17-set-1975	1619
20-set-1975	1624
25-set-1975	1625
28-set-1975	1622
19-out-1975	1627
22-out-1975	1635
25-out-1975	1618
5-nov-1975	1621
29-ago-1976	1610
4-set-1976	1624
7-set-1976	1632
11-set-1976	1648
15-set-1976	1643
18-set-1976	1646
23-set-1976	1664
26-set-1976	1658
10-out-1976	1657
13-out-1976	1655
16-out-1976	1644
20-out-1976	1635
24-out-1976	1645
23-out-1977	1643
26-out-1977	1624
30-out-1977	1613
2-nov-1977	1621
6-nov-1977	1619
10-nov-1977	1606
13-nov-1977	1594
20-nov-1977	1579
23-nov-1977	1561
27-nov-1977	1571
1-dez-1977	1566
4-dez-1977	1546
8-dez-1977	1532
11-dez-1977	1517
15-dez-1977	1533
30-mar-1978	1526
2-abr-1978	1502
6-abr-1978	1503
9-abr-1978	1496
13-abr-1978	1510
20-abr-1978	1495
23-abr-1978	1497
27-abr-1978	1493
7-mai-1978	1501
10-mai-1978	1516
14-mai-1978	1530
21-mai-1978	1538
28-mai-1978	1549
4-jun-1978	1557
17-jun-1978	1542
24-jun-1978	1537
25-set-1979	1536
30-set-1979	1523
3-out-1979	1501
6-out-1979	1488
14-out-1979	1506
17-out-1979	1484
21-out-1979	1463
31-out-1979	1481
3-nov-1979	1483
18-jan-1981	1484
21-jan-1981	1494
24-jan-1981	1490
28-jan-1981	1485
1-fev-1981	1483
4-fev-1981	1476
7-fev-1981	1470
14-fev-1981	1487
21-fev-1981	1482
7-mar-1981	1487
12-mar-1981	1480
15-mar-1981	1476
21-mar-1981	1463
28-mar-1981	1455
4-abr-1981	1451
27-jan-1983	1447
30-jan-1983	1453
2-fev-1983	1457
6-fev-1983	1459
9-fev-1983	1445
19-fev-1983	1449
23-fev-1983	1445
27-fev-1983	1425
29-jan-1984	1426
2-fev-1984	1421
5-fev-1984	1416
