date	rating
23-Sep-1979	1512
3-Oct-1979	1522
7-Oct-1979	1509
11-Oct-1979	1524
14-Oct-1979	1538
17-Oct-1979	1538
21-Oct-1979	1518
28-Oct-1979	1535
4-Nov-1979	1531
7-Nov-1979	1524
11-Nov-1979	1508
15-Nov-1979	1506
18-Nov-1979	1498
21-Nov-1979	1478
25-Nov-1979	1472
28-Nov-1979	1474
24-Feb-1980	1495
27-Feb-1980	1468
2-Mar-1980	1477
6-Mar-1980	1482
9-Mar-1980	1483
16-Mar-1980	1477
19-Mar-1980	1470
23-Mar-1980	1477
30-Mar-1980	1471
25-Jul-1999	1467
31-Jul-1999	1461
8-Aug-1999	1453
15-Aug-1999	1479
18-Aug-1999	1487
22-Aug-1999	1518
28-Aug-1999	1515
2-Sep-1999	1507
8-Sep-1999	1501
11-Sep-1999	1509
19-Sep-1999	1528
22-Sep-1999	1548
25-Sep-1999	1568
29-Sep-1999	1570
10-Oct-1999	1587
13-Oct-1999	1578
16-Oct-1999	1567
24-Oct-1999	1573
30-Oct-1999	1557
7-Nov-1999	1574
10-Nov-1999	1579
30-Jul-2000	1592
2-Aug-2000	1606
5-Aug-2000	1596
8-Aug-2000	1589
12-Aug-2000	1606
16-Aug-2000	1594
19-Aug-2000	1598
23-Aug-2000	1583
30-Aug-2000	1568
2-Sep-2000	1560
6-Sep-2000	1560
10-Sep-2000	1556
13-Sep-2000	1583
16-Sep-2000	1588
20-Sep-2000	1610
24-Sep-2000	1604
30-Sep-2000	1594
4-Oct-2000	1613
7-Oct-2000	1596
18-Oct-2000	1585
21-Oct-2000	1579
25-Oct-2000	1584
28-Oct-2000	1568
12-Nov-2000	1560
1-Aug-2001	1567
5-Aug-2001	1573
8-Aug-2001	1579
12-Aug-2001	1567
16-Aug-2001	1584
19-Aug-2001	1576
26-Aug-2001	1579
29-Aug-2001	1582
2-Sep-2001	1571
9-Sep-2001	1563
16-Sep-2001	1555
19-Sep-2001	1564
22-Sep-2001	1570
30-Sep-2001	1588
3-Oct-2001	1593
6-Oct-2001	1598
9-Oct-2001	1579
13-Oct-2001	1595
21-Oct-2001	1583
28-Oct-2001	1573
3-Nov-2001	1589
7-Nov-2001	1621
10-Nov-2001	1633
15-Nov-2001	1623
18-Nov-2001	1656
25-Nov-2001	1642
2-Dec-2001	1664
11-Aug-2002	1654
15-Aug-2002	1646
18-Aug-2002	1660
22-Aug-2002	1675
25-Aug-2002	1662
28-Aug-2002	1670
31-Aug-2002	1656
4-Sep-2002	1660
7-Sep-2002	1658
12-Sep-2002	1647
15-Sep-2002	1634
18-Sep-2002	1658
26-Sep-2002	1661
29-Sep-2002	1645
2-Oct-2002	1647
5-Oct-2002	1662
8-Oct-2002	1643
13-Oct-2002	1628
16-Oct-2002	1643
19-Oct-2002	1629
23-Oct-2002	1616
26-Oct-2002	1607
6-Nov-2002	1596
13-Nov-2002	1584
17-Nov-2002	1614
