date	rating
24-ago-1975	1510
27-ago-1975	1505
31-ago-1975	1492
4-set-1975	1487
7-set-1975	1475
10-set-1975	1478
14-set-1975	1464
17-set-1975	1486
25-set-1975	1490
28-set-1975	1506
5-out-1975	1517
19-out-1975	1513
22-out-1975	1505
25-out-1975	1498
29-out-1975	1507
1-nov-1975	1523
29-ago-1976	1500
1-set-1976	1506
7-set-1976	1490
12-set-1976	1483
16-set-1976	1469
19-set-1976	1483
25-set-1976	1485
29-set-1976	1476
10-out-1976	1504
14-out-1976	1509
17-out-1976	1498
21-out-1976	1472
16-out-1977	1459
19-out-1977	1476
2-nov-1977	1471
6-nov-1977	1475
13-nov-1977	1474
16-nov-1977	1463
20-nov-1977	1462
23-nov-1977	1458
27-nov-1977	1437
1-dez-1977	1417
4-dez-1977	1394
7-dez-1977	1413
14-dez-1977	1406
22-set-1979	1409
26-set-1979	1404
6-out-1979	1418
11-out-1979	1435
17-out-1979	1438
20-out-1979	1427
28-out-1979	1415
1-nov-1979	1408
4-nov-1979	1395
