date	rating
26-Aug-1973	1503
29-Aug-1973	1523
2-Sep-1973	1541
5-Sep-1973	1554
9-Sep-1973	1553
12-Sep-1973	1555
16-Sep-1973	1542
22-Sep-1973	1529
26-Sep-1973	1540
30-Sep-1973	1530
3-Oct-1973	1529
7-Oct-1973	1542
14-Oct-1973	1569
17-Oct-1973	1573
20-Oct-1973	1573
24-Oct-1973	1597
27-Oct-1973	1618
31-Oct-1973	1635
4-Nov-1973	1629
11-Nov-1973	1599
14-Nov-1973	1598
17-Nov-1973	1595
25-Nov-1973	1571
28-Nov-1973	1586
2-Dec-1973	1583
8-Dec-1973	1580
12-Dec-1973	1590
16-Dec-1973	1604
13-Jan-1974	1609
16-Jan-1974	1600
20-Jan-1974	1603
23-Jan-1974	1594
27-Jan-1974	1618
30-Jan-1974	1603
3-Feb-1974	1591
6-Feb-1974	1597
10-Feb-1974	1595
10-Mar-1974	1604
13-Mar-1974	1607
17-Mar-1974	1623
21-Mar-1974	1608
23-Mar-1974	1608
30-Mar-1974	1589
6-Apr-1974	1576
20-Apr-1974	1568
4-May-1974	1565
8-May-1974	1579
11-May-1974	1599
15-May-1974	1613
18-May-1974	1610
22-May-1974	1615
26-May-1974	1603
29-May-1974	1619
5-Jun-1974	1603
12-Jun-1974	1603
13-Jun-1974	1619
30-Jun-1974	1606
3-Jul-1974	1612
6-Jul-1974	1616
14-Jul-1974	1613
17-Jul-1974	1601
20-Aug-1975	1605
31-Aug-1975	1618
3-Sep-1975	1615
7-Sep-1975	1611
14-Sep-1975	1625
18-Sep-1975	1638
21-Sep-1975	1641
24-Sep-1975	1647
28-Sep-1975	1651
1-Oct-1975	1646
5-Oct-1975	1647
8-Oct-1975	1669
12-Oct-1975	1655
14-Oct-1975	1637
19-Oct-1975	1647
22-Oct-1975	1644
26-Oct-1975	1621
29-Oct-1975	1622
2-Nov-1975	1612
6-Nov-1975	1616
9-Nov-1975	1616
29-Aug-1976	1611
1-Sep-1976	1620
4-Sep-1976	1611
7-Sep-1976	1626
15-Sep-1976	1616
19-Sep-1976	1614
26-Sep-1976	1630
29-Sep-1976	1640
10-Oct-1976	1640
13-Oct-1976	1630
17-Oct-1976	1605
20-Oct-1976	1603
23-Oct-1976	1609
20-Oct-1977	1602
23-Oct-1977	1588
26-Oct-1977	1587
30-Oct-1977	1578
6-Nov-1977	1575
12-Nov-1977	1572
20-Nov-1977	1580
23-Nov-1977	1593
27-Nov-1977	1589
1-Dec-1977	1588
11-Dec-1977	1602
14-Dec-1977	1608
18-Dec-1977	1592
25-Mar-1978	1571
29-Mar-1978	1567
2-Apr-1978	1574
12-Apr-1978	1585
16-Apr-1978	1599
20-Apr-1978	1609
23-Apr-1978	1616
26-Apr-1978	1614
30-Apr-1978	1604
3-May-1978	1614
14-May-1978	1631
21-May-1978	1658
24-May-1978	1655
4-Jun-1978	1670
7-Jun-1978	1684
11-Jun-1978	1665
17-Jun-1978	1649
20-Jun-1978	1641
24-Jun-1978	1663
2-Jul-1978	1670
5-Jul-1978	1672
9-Jul-1978	1648
13-Jul-1978	1641
