date	rating
14-Mar-1976	1493
17-Mar-1976	1503
24-Mar-1976	1499
28-Mar-1976	1498
4-Apr-1976	1512
11-Apr-1976	1507
14-Apr-1976	1498
18-Apr-1976	1495
21-Apr-1976	1505
24-Apr-1976	1497
2-May-1976	1494
5-May-1976	1492
8-May-1976	1498
16-May-1976	1506
12-Jun-1976	1502
20-Jun-1976	1508
23-Jun-1976	1514
7-Jul-1976	1519
11-Jul-1976	1507
18-Jul-1976	1502
25-Jul-1976	1502
27-Jul-1976	1497
1-Aug-1976	1492
4-Aug-1976	1507
8-Aug-1976	1492
12-Aug-1976	1487
15-Aug-1976	1496
4-Sep-1976	1495
27-Mar-1977	1490
3-Apr-1977	1489
6-Apr-1977	1488
17-Apr-1977	1504
21-Apr-1977	1510
24-Apr-1977	1506
1-May-1977	1491
4-May-1977	1496
7-May-1977	1491
15-May-1977	1491
18-May-1977	1487
21-May-1977	1479
25-May-1977	1454
29-May-1977	1454
31-Jul-1977	1443
4-Aug-1977	1453
7-Aug-1977	1449
14-Aug-1977	1448
17-Aug-1977	1443
21-Aug-1977	1443
24-Aug-1977	1421
3-Sep-1977	1401
7-Sep-1977	1398
11-Sep-1977	1398
14-Sep-1977	1389
18-Sep-1977	1390
21-Sep-1977	1387
23-Sep-1977	1381
20-Oct-1977	1388
27-Oct-1977	1397
30-Oct-1977	1398
2-Nov-1977	1415
5-Nov-1977	1405
9-Nov-1977	1427
17-Nov-1977	1450
20-Nov-1977	1450
24-Nov-1977	1481
4-Dec-1977	1475
8-Dec-1977	1492
11-Dec-1977	1484
14-Dec-1977	1489
26-Mar-1978	1499
2-Apr-1978	1509
6-Apr-1978	1490
9-Apr-1978	1487
12-Apr-1978	1492
16-Apr-1978	1494
20-Apr-1978	1499
30-Apr-1978	1489
4-May-1978	1484
11-May-1978	1503
14-May-1978	1515
31-May-1978	1522
4-Jun-1978	1511
8-Jun-1978	1507
11-Jun-1978	1509
13-Jun-1978	1518
18-Jun-1978	1511
20-Jun-1978	1526
24-Jun-1978	1545
2-Jul-1978	1526
5-Jul-1978	1512
9-Jul-1978	1505
13-Jul-1978	1496
16-Jul-1978	1486
19-Jul-1978	1511
23-Jul-1978	1499
4-Feb-1979	1491
11-Feb-1979	1481
14-Feb-1979	1478
18-Feb-1979	1469
21-Feb-1979	1467
4-Mar-1979	1450
7-Mar-1979	1455
11-Mar-1979	1451
18-Mar-1979	1466
25-Mar-1979	1470
29-Mar-1979	1466
1-Apr-1979	1456
8-Apr-1979	1448
12-Apr-1979	1459
14-Apr-1979	1454
18-Apr-1979	1463
21-Apr-1979	1476
25-Apr-1979	1470
6-May-1979	1465
13-May-1979	1475
20-May-1979	1494
23-May-1979	1482
27-May-1979	1492
3-Jun-1979	1511
6-Jun-1979	1505
10-Jun-1979	1504
14-Jun-1979	1501
17-Jun-1979	1507
24-Jun-1979	1513
27-Jun-1979	1510
1-Jul-1979	1527
8-Jul-1979	1533
11-Jul-1979	1531
15-Jul-1979	1548
22-Jul-1979	1547
29-Jul-1979	1552
5-Aug-1979	1552
12-Aug-1979	1568
1-Sep-1979	1574
5-Sep-1979	1566
9-Sep-1979	1564
12-Sep-1979	1562
16-Sep-1979	1563
19-Sep-1979	1561
29-Sep-1979	1552
5-Oct-1979	1547
14-Oct-1979	1543
17-Oct-1979	1539
21-Oct-1979	1552
27-Oct-1979	1546
3-Nov-1979	1537
7-Nov-1979	1533
10-Nov-1979	1551
15-Nov-1979	1537
18-Nov-1979	1523
21-Nov-1979	1507
25-Nov-1979	1495
28-Nov-1979	1481
17-Aug-1980	1480
24-Aug-1980	1483
5-Sep-1980	1490
10-Sep-1980	1489
14-Sep-1980	1485
17-Sep-1980	1481
21-Sep-1980	1479
24-Sep-1980	1472
28-Sep-1980	1482
5-Oct-1980	1469
9-Oct-1980	1465
15-Oct-1980	1453
18-Oct-1980	1463
3-Jul-1983	1481
10-Jul-1983	1497
16-Jul-1983	1494
23-Jul-1983	1504
31-Jul-1983	1509
14-Aug-1983	1525
21-Aug-1983	1524
27-Aug-1983	1517
4-Sep-1983	1510
7-Sep-1983	1505
11-Sep-1983	1506
24-Sep-1983	1499
2-Oct-1983	1504
9-Oct-1983	1509
15-Oct-1983	1504
22-Oct-1983	1495
26-Oct-1983	1505
30-Oct-1983	1514
6-Nov-1983	1530
13-Nov-1983	1545
20-Nov-1983	1549
27-Nov-1983	1539
1-Jul-1984	1529
8-Jul-1984	1542
14-Jul-1984	1538
22-Jul-1984	1545
29-Jul-1984	1543
5-Aug-1984	1533
26-Aug-1984	1537
2-Sep-1984	1525
9-Sep-1984	1531
15-Sep-1984	1526
22-Sep-1984	1547
30-Sep-1984	1546
7-Oct-1984	1543
14-Oct-1984	1550
20-Oct-1984	1545
28-Oct-1984	1558
4-Nov-1984	1572
10-Nov-1984	1565
15-Nov-1984	1556
18-Nov-1984	1547
24-Nov-1984	1543
2-Dec-1984	1542
25-Aug-1985	1538
28-Aug-1985	1552
1-Sep-1985	1545
5-Sep-1985	1536
8-Sep-1985	1531
11-Sep-1985	1525
15-Sep-1985	1544
22-Sep-1985	1558
29-Sep-1985	1554
3-Oct-1985	1549
6-Oct-1985	1547
13-Oct-1985	1543
19-Oct-1985	1532
27-Oct-1985	1551
30-Oct-1985	1552
3-Nov-1985	1548
6-Nov-1985	1553
10-Nov-1985	1551
14-Nov-1985	1547
17-Nov-1985	1534
24-Nov-1985	1531
1-Dec-1985	1528
16-Feb-1986	1515
23-Feb-1986	1512
2-Mar-1986	1525
9-Mar-1986	1517
16-Mar-1986	1513
19-Mar-1986	1543
23-Mar-1986	1543
29-Mar-1986	1544
6-Apr-1986	1543
13-Apr-1986	1549
20-Apr-1986	1538
27-Apr-1986	1530
1-May-1986	1536
4-May-1986	1535
18-May-1986	1553
25-May-1986	1549
29-May-1986	1536
2-Jul-1986	1539
6-Jul-1986	1530
13-Jul-1986	1520
20-Jul-1986	1513
26-Jul-1986	1515
8-Feb-1987	1521
15-Feb-1987	1538
25-Feb-1987	1528
7-Mar-1987	1544
14-Mar-1987	1563
22-Mar-1987	1545
25-Mar-1987	1533
29-Mar-1987	1549
4-Apr-1987	1556
8-Apr-1987	1560
12-Apr-1987	1558
15-Apr-1987	1558
19-Apr-1987	1566
22-Apr-1987	1567
26-Apr-1987	1577
30-Apr-1987	1586
3-May-1987	1582
6-May-1987	1565
10-May-1987	1560
14-May-1987	1573
20-May-1987	1581
23-May-1987	1585
28-May-1987	1567
30-May-1987	1554
7-Jun-1987	1555
14-Jun-1987	1549
31-Jan-1988	1544
7-Feb-1988	1538
21-Feb-1988	1538
24-Feb-1988	1532
28-Feb-1988	1541
3-Mar-1988	1541
6-Mar-1988	1550
17-Mar-1988	1546
20-Mar-1988	1548
23-Mar-1988	1551
27-Mar-1988	1557
3-Apr-1988	1550
10-Apr-1988	1552
14-Apr-1988	1567
17-Apr-1988	1544
21-Apr-1988	1539
24-Apr-1988	1529
7-May-1988	1525
12-May-1988	1518
15-May-1988	1506
22-May-1988	1519
28-May-1988	1512
6-Oct-1991	1497
14-Oct-1991	1514
19-Oct-1991	1510
27-Oct-1991	1501
31-Oct-1991	1490
3-Nov-1991	1474
10-Nov-1991	1475
17-Nov-1991	1468
24-Nov-1991	1463
1-Dec-1991	1475
7-Dec-1991	1465
10-Oct-1992	1463
18-Oct-1992	1466
22-Oct-1992	1482
26-Oct-1992	1480
1-Nov-1992	1487
4-Nov-1992	1480
8-Nov-1992	1490
15-Nov-1992	1472
18-Nov-1992	1459
22-Nov-1992	1462
25-Nov-1992	1459
30-Nov-1992	1449
6-Dec-1992	1434
