date	rating
7-ago-1971	1537
11-ago-1971	1566
15-ago-1971	1563
18-ago-1971	1561
22-ago-1971	1570
25-ago-1971	1585
1-set-1971	1604
5-set-1971	1610
12-set-1971	1605
19-set-1971	1582
25-set-1971	1591
3-out-1971	1605
6-out-1971	1603
10-out-1971	1619
17-out-1971	1605
24-out-1971	1624
30-out-1971	1613
7-nov-1971	1605
14-nov-1971	1611
21-nov-1971	1616
24-nov-1971	1629
28-nov-1971	1616
2-dez-1971	1635
5-dez-1971	1623
9-dez-1971	1627
10-set-1972	1654
13-set-1972	1666
17-set-1972	1681
20-set-1972	1667
24-set-1972	1661
27-set-1972	1655
30-set-1972	1651
4-out-1972	1649
8-out-1972	1659
11-out-1972	1653
14-out-1972	1642
18-out-1972	1646
22-out-1972	1653
25-out-1972	1663
28-out-1972	1660
2-nov-1972	1649
5-nov-1972	1633
8-nov-1972	1624
12-nov-1972	1618
16-nov-1972	1602
19-nov-1972	1618
22-nov-1972	1628
26-nov-1972	1640
30-nov-1972	1641
3-dez-1972	1655
9-dez-1972	1655
14-dez-1972	1671
17-dez-1972	1654
26-ago-1973	1671
29-ago-1973	1665
2-set-1973	1664
5-set-1973	1665
9-set-1973	1670
15-set-1973	1683
23-set-1973	1693
26-set-1973	1697
30-set-1973	1708
3-out-1973	1688
7-out-1973	1703
10-out-1973	1697
14-out-1973	1710
17-out-1973	1705
21-out-1973	1711
24-out-1973	1718
27-out-1973	1727
1-nov-1973	1721
4-nov-1973	1729
11-nov-1973	1731
14-nov-1973	1730
17-nov-1973	1739
25-nov-1973	1710
28-nov-1973	1712
2-dez-1973	1729
8-dez-1973	1740
12-dez-1973	1715
16-dez-1973	1723
13-jan-1974	1710
16-jan-1974	1719
20-jan-1974	1708
23-jan-1974	1716
27-jan-1974	1731
30-jan-1974	1731
3-fev-1974	1705
6-fev-1974	1713
9-fev-1974	1722
10-mar-1974	1730
13-mar-1974	1741
17-mar-1974	1757
20-mar-1974	1761
23-mar-1974	1748
30-mar-1974	1739
6-abr-1974	1744
13-abr-1974	1751
20-abr-1974	1759
27-abr-1974	1767
4-mai-1974	1774
11-mai-1974	1760
15-mai-1974	1764
18-mai-1974	1774
25-mai-1974	1783
2-jun-1974	1791
5-jun-1974	1774
9-jun-1974	1781
13-jun-1974	1775
29-jun-1974	1782
3-jul-1974	1793
7-jul-1974	1779
10-jul-1974	1786
17-jul-1974	1794
20-ago-1975	1771
24-ago-1975	1759
27-ago-1975	1766
31-ago-1975	1757
7-set-1975	1758
11-set-1975	1754
14-set-1975	1747
17-set-1975	1742
21-set-1975	1745
24-set-1975	1751
28-set-1975	1747
8-out-1975	1762
11-out-1975	1760
15-out-1975	1756
18-out-1975	1774
23-out-1975	1746
26-out-1975	1753
29-out-1975	1750
2-nov-1975	1736
5-nov-1975	1723
8-nov-1975	1708
12-nov-1975	1707
16-nov-1975	1693
19-nov-1975	1681
23-nov-1975	1673
26-nov-1975	1675
29-nov-1975	1691
3-dez-1975	1688
1-set-1976	1699
4-set-1976	1705
7-set-1976	1693
12-set-1976	1691
19-set-1976	1694
23-set-1976	1703
26-set-1976	1711
3-out-1976	1718
10-out-1976	1739
13-out-1976	1747
17-out-1976	1744
21-out-1976	1751
24-out-1976	1760
31-out-1976	1749
7-nov-1976	1748
10-nov-1976	1734
14-nov-1976	1746
17-nov-1976	1722
21-nov-1976	1727
24-nov-1976	1709
28-nov-1976	1712
16-out-1977	1733
19-out-1977	1725
23-out-1977	1733
6-nov-1977	1764
9-nov-1977	1773
13-nov-1977	1751
16-nov-1977	1732
20-nov-1977	1739
27-nov-1977	1735
7-dez-1977	1726
11-dez-1977	1714
14-dez-1977	1730
18-dez-1977	1716
29-jan-1978	1724
1-fev-1978	1732
12-fev-1978	1746
15-fev-1978	1744
19-fev-1978	1727
26-mar-1978	1722
29-mar-1978	1729
2-abr-1978	1735
6-abr-1978	1742
9-abr-1978	1724
12-abr-1978	1719
16-abr-1978	1713
19-abr-1978	1721
23-abr-1978	1737
30-abr-1978	1750
7-mai-1978	1756
11-mai-1978	1762
28-mai-1978	1763
31-mai-1978	1730
4-jun-1978	1726
11-jun-1978	1745
13-jun-1978	1744
17-jun-1978	1739
20-jun-1978	1745
24-jun-1978	1744
2-jul-1978	1757
5-jul-1978	1765
9-jul-1978	1789
13-jul-1978	1797
15-jul-1978	1805
20-jul-1978	1829
23-jul-1978	1826
23-set-1979	1838
26-set-1979	1853
30-set-1979	1842
3-out-1979	1855
6-out-1979	1842
14-out-1979	1812
17-out-1979	1825
21-out-1979	1803
25-out-1979	1781
8-nov-1979	1787
11-nov-1979	1751
15-nov-1979	1765
18-nov-1979	1753
21-nov-1979	1773
25-nov-1979	1780
28-nov-1979	1788
24-fev-1980	1782
27-fev-1980	1779
1-mar-1980	1790
6-mar-1980	1789
9-mar-1980	1811
16-mar-1980	1802
19-mar-1980	1808
23-mar-1980	1787
30-mar-1980	1791
5-abr-1980	1765
13-abr-1980	1773
16-abr-1980	1779
20-abr-1980	1789
27-abr-1980	1794
4-mai-1980	1803
11-mai-1980	1813
14-mai-1980	1786
17-mai-1980	1798
18-jan-1981	1795
21-jan-1981	1798
25-jan-1981	1805
28-jan-1981	1797
31-jan-1981	1806
4-fev-1981	1787
7-fev-1981	1797
14-fev-1981	1775
21-fev-1981	1758
7-mar-1981	1736
12-mar-1981	1743
15-mar-1981	1719
21-mar-1981	1733
28-mar-1981	1741
4-abr-1981	1751
17-jan-1982	1734
20-jan-1982	1741
24-jan-1982	1752
28-jan-1982	1754
3-fev-1982	1735
7-fev-1982	1757
14-fev-1982	1766
18-fev-1982	1745
28-fev-1982	1729
7-mar-1982	1724
11-mar-1982	1719
14-mar-1982	1733
17-mar-1982	1741
23-mar-1982	1764
13-ago-1982	1764
24-ago-1982	1754
27-ago-1982	1735
3-set-1982	1737
17-set-1982	1757
24-set-1982	1732
23-jan-1983	1737
26-jan-1983	1718
30-jan-1983	1734
5-fev-1983	1748
9-fev-1983	1741
19-fev-1983	1738
23-fev-1983	1733
27-fev-1983	1714
4-mar-1983	1717
10-mar-1983	1723
13-mar-1983	1703
16-mar-1983	1702
19-mar-1983	1710
22-mar-1983	1720
25-mar-1983	1729
30-mar-1983	1726
3-abr-1983	1725
9-abr-1983	1724
13-abr-1983	1722
17-abr-1983	1753
20-abr-1983	1763
20-abr-1983	1764
26-abr-1983	1772
30-abr-1983	1746
31-mai-1983	1758
5-jun-1983	1782
21-jun-1983	1795
24-jun-1983	1772
6-jul-1983	1780
8-jul-1983	1778
22-jul-1983	1779
28-jul-1983	1795
29-jan-1984	1806
1-fev-1984	1787
5-fev-1984	1794
12-fev-1984	1809
15-fev-1984	1802
23-fev-1984	1798
26-fev-1984	1802
29-fev-1984	1819
11-mar-1984	1823
14-mar-1984	1818
18-mar-1984	1829
21-mar-1984	1811
25-mar-1984	1822
1-abr-1984	1801
7-abr-1984	1797
11-abr-1984	1808
15-abr-1984	1802
18-abr-1984	1800
22-abr-1984	1813
25-abr-1984	1823
1-mai-1984	1831
6-mai-1984	1843
12-mai-1984	1852
19-mai-1984	1823
26-jun-1984	1851
3-jul-1984	1856
6-jul-1984	1830
9-jul-1984	1838
19-jul-1984	1838
24-jul-1984	1820
27-jul-1984	1819
27-jan-1985	1827
30-jan-1985	1841
3-fev-1985	1832
7-fev-1985	1829
10-fev-1985	1843
14-fev-1985	1836
24-fev-1985	1828
27-fev-1985	1822
3-mar-1985	1818
7-mar-1985	1806
10-mar-1985	1790
14-mar-1985	1776
17-mar-1985	1770
20-mar-1985	1792
24-mar-1985	1802
27-mar-1985	1783
31-mar-1985	1778
7-abr-1985	1751
11-abr-1985	1750
14-abr-1985	1772
2-set-1986	1779
7-set-1986	1758
10-set-1986	1754
14-set-1986	1756
18-set-1986	1764
21-set-1986	1779
25-set-1986	1768
27-set-1986	1778
1-out-1986	1750
5-out-1986	1722
12-out-1986	1725
15-out-1986	1720
22-out-1986	1706
25-out-1986	1712
26-out-1986	1726
2-nov-1986	1720
9-nov-1986	1689
16-nov-1986	1672
23-nov-1986	1656
26-nov-1986	1669
29-nov-1986	1665
7-dez-1986	1689
10-dez-1986	1679
14-dez-1986	1677
25-jan-1987	1667
28-jan-1987	1678
13-set-1987	1688
20-set-1987	1689
23-set-1987	1704
26-set-1987	1707
3-out-1987	1693
8-out-1987	1711
12-out-1987	1726
18-out-1987	1738
23-out-1987	1741
29-out-1987	1741
2-nov-1987	1716
7-nov-1987	1734
11-nov-1987	1719
14-nov-1987	1702
19-nov-1987	1714
4-set-1988	1726
7-set-1988	1751
11-set-1988	1749
18-set-1988	1739
25-set-1988	1728
2-out-1988	1740
9-out-1988	1741
15-out-1988	1758
23-out-1988	1767
30-out-1988	1775
6-nov-1988	1772
9-nov-1988	1783
13-nov-1988	1775
17-nov-1988	1746
20-nov-1988	1744
23-nov-1988	1731
27-nov-1988	1715
1-dez-1988	1726
4-dez-1988	1711
7-dez-1988	1719
11-dez-1988	1701
15-dez-1988	1695
18-dez-1988	1694
7-set-1989	1681
10-set-1989	1670
17-set-1989	1690
20-set-1989	1713
24-set-1989	1710
27-set-1989	1693
7-out-1989	1682
